Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6440;P6450;P6460;P6460s1;P6400;P6422;P6424s2;P6424s3;P6424s1;P6426;P6430s1;P6480;P6480s1;P6500;P6510;P6510s1;P6510s2;P6590;P6590s1;P6600;P6600s1;P6610;P6610s1;P6620;P6620s1;P6585s2a1;P6585s3a1;P6585s4a1;P6585s3a2;P6585s2a2;P6585s1a2;P6585s2;P6585s3;P6585s1a1;P6585s4;P6585s1;P6580;P6580s1;P6580s2;P6630s3;P6630s4a1;P6630s3a1;P6630s2a1;P6630s1a1;P6630s4;P6630s2;P6630s1;P6640;P6765;P6765s1;P6772;P6750;P6760;P550;P6780;P6780s1;P6790;P6410;P6640s1;P9440;P6630s6;P6630s6a1;P6410s1;P6545s1;P6545;P6545s2;P6585s4a2;P6773s1;P6775;P6772s1;P388;P6800;P6810;P6810s1;P6850;P6830;P6830s1;P6870;P6880;P6880s1;P6920;P6930;P6940;P6960;P6980;P6980s1;P6980s2;P6980s3;P6980s4;P6980s5;P6980s6;P6980s7;P6980s8;P6980s7a1;P6990;P7020;P7026;P7028;P7028s1;P7040;P7045;P7050;P7050s1;P7070;P760;P9450;P6915s1;P6915;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140s1;P7140s2;P7140s3;P7140s4;P7140s5;P7140s6;P7140s7;P7140s8;P7140s9;P7140s9a1;P7150;P7160;P7170s1;P7170s5;P7170s6;P7180;P7240;P7240s1;P514;P515;Oficio;Rama2d;Oci;P6430;Rama4d;Rama4dp8;Rama2dp8;Inglabo;Mes;Dpto;Fex_c_2011
3556511;1;1;1;60;2;2; ; ; ; ; ; ; ; ;156; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;10000;1;120000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;21;2; ;21; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;55;4; ;2; ; ; ; ;12;2; ;2; ; ; ;1;24;2;1;1;1;2;1;2;2;2;2;2;2;2; ;2;1;2;2;2;2;3; ;1;2;53;55;1;4;5521; ; ;10000;09;63;1728,42387279262
3556512;1;2;1;60;2;1;1; ; ;1;1;2;2;2;1; ;1; ;300000;2; ; ;1;140000;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;45; ;.;45; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;2;8; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;8; ;1;2;62;01;1;8;0113; ; ;440000;09;63;1421,86872782513
3556512;2;1;2;60;2;1;1; ; ;1;1;2;2;2;2; ;1; ;288000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;60; ;.;60; ; ;2;7; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;12;1; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;8; ;1;1;50;55;1;1;5529; ; ;288000;09;63;1421,86872782513
3556514;1;1;1;60;2;2; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;400000;1;2600000;1; ;6; ; ; ; ; ; ; ; ; ; ; ;2; ;63;60; ;.;60; ; ;1;4; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;24;1; ;2; ; ; ; ;6;2; ;2; ; ; ;1;18;1;1;1;1;2;1;2;1;2;2;2;2;2; ;1;1;1;2;1;2;8; ;2;1;98;60;1;4;6041; ; ;400000;09;63;1901,05597915265
3556514;1;2;1;60;2;2; ; ; ; ; ; ; ; ;96; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;40000;1;360000;1; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;63;16;1; ;8;6; ;1;2; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;1;40;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;3; ;2;1;55;74;1;4;7493; ; ;40000;09;63;1901,05597915265
3556549;1;1;1;60;2;2; ; ; ; ; ; ; ; ;180; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;400000;1;4800000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;63;40; ;.;40; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;48;1; ;2; ; ; ; ;1;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;8; ;1;1;61;01;1;4;0113; ; ;400000;09;63;1524,05912077496
3556549;1;2;1;60;2;1;2;1; ;1;1;2;2;2;17; ;1; ;616000;2; ; ;1;220000;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;50; ;.;50; ; ;6;7; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;42;1; ;1;15;4; ;320000;12;2; ;2;1;1;63;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;3; ;1;1;55;92;1;1;9242; ; ;1156000;09;63;1524,05912077496
3556550;1;1;1;60;2;1;1; ; ;1;1;1;1;1;3; ;1; ;550000;2; ; ;1;250000;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;1; ; ; ; ; ; ; ; ;12; ;2;2;2; ; ; ;2; ; ; ; ; ;63;45; ;.;45; ; ;2;2; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;3;1; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;54;95;1;3;9500; ; ;800000;09;63;1843,82118539351
3556551;1;1;1;60;2;1;1; ; ;1;1;2;2;2;48; ;1; ;420000;2; ; ;1;80000;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;45; ;.;40;1; ;4;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;360;8; ;2; ; ; ; ;0;2; ;1; ; ; ;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;2;1;2;2;2;2;8; ;2;1;62;01;1;8;0113; ; ;500000;09;63;1633,33016824256
3556552;1;1;1;60;2;2; ; ; ; ; ; ; ; ;36; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;140000;1;1500000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;63;25;1; ;25; ; ;1;3; ;2; ; ; ;1; ; ; ; ; ;1; ; ; ;2;1;72;4; ;2; ; ; ; ;36;2; ;1; ; ; ;2; ; ; ;1;1;1;1;2;2;2;1;1;1;2; ;2;1;1;1;1;2;3; ;1;1;77;15;1;4;1551; ; ;140000;09;63;1460,63585520238
3556552;1;2;1;60;2;1;2;1; ;1;1;1;1;1;2; ;1; ;250000;2; ; ;2; ;2; ;2; ;2; ;72000; ; ; ;2; ;1;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;2; ; ;2;2; ; ; ;2; ; ; ; ; ;63;48; ;.;48; ; ;9;5; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;1;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;1;1;1;1;2;2;1;2;2;2;2; ;2;1;2;2;1;2;3; ;2;2;44;66;1;1;6602; ; ;250000;09;63;1460,63585520238
3556553;1;1;1;60;2;1;2;1; ;1;1;1;1;1;36; ;1; ;680000;1;200000;2;2; ;2; ;2; ;2; ;72000;21000; ;2;2; ;1;1; ;2;2;2; ; ;1; ;350000;350000;350000;2;1;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;48; ;.;48; ; ;9;9; ;1;1;1;10;1;1; ; ; ; ; ; ; ; ;1;1;84;1; ;2; ; ; ; ;0;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1; ;1;1;97;45;1;1;4560; ; ;680000;09;63;1717,71317287565
