Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3704608;1;2;1;70;17;12;24;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5522;04;17;195,139833093231
3704610;1;2;1;70;17;52;40;1; ;2;24;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;39;91;1;2;9192;04;17;131,715229838206
3704610;1;3;1;70;17;24;16;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;04;17;131,715229838206
3704617;1;1;1;70;17;8;48;1; ;2;8;1; ;7;2; ; ;1; ; ; ; ; ; ; ; ;2; ;2;39;39;75;1;1;7530;04;17;200,548259125586
3704622;1;1;1;70;76;1;33;4; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;95;95;45;1;1;4522;04;76;955,509827428221
3704631;1;1;1;70;76;3;70;4; ;2;1;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;1;650000;2;98;98;60;1;1;6021;04;76;957,84267875681
3704651;1;1;1;70;66;8;60;4; ;2;8;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;55;1;1;5529;04;66;241,975255410359
3704657;1;5;1;70;66;4;48;1; ;2;4;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;1600000;2;45;45;64;1;1;6421;04;66;203,341512304899
3704667;1;3;1;70;66;2;48;1; ;2;2;1; ;8;5; ; ;1; ; ; ; ; ; ; ; ;1;750000;2;45;45;52;1;1;5211;04;66;332,743920140858
3704668;1;1;1;70;66;53;48;2; ;2;24;1; ;9;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;85;1;2;8512;04;66;276,964228264975
3704697;1;1;1;70;50;8;48;1; ;2;52;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;04;50;111,878397016354
3704847;1;1;1;70;76;13;72;1; ;2;17;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;43000;2;98;98;51;1;1;5125;04;76;941,381391622484
3704849;1;2;1;70;76;8;12;3; ;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;04;76;1102,69494597873
3704852;1;1;1;70;76;104;60;5; ;2;104;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;64;1;2;6421;04;76;849,966415164676
3704859;1;2;1;70;76;16;48;1; ;2;16;1; ;9;4; ; ;1; ; ; ; ; ; ; ; ;2; ;2;31;31;64;1;2;6421;04;76;506,800761150976
3704860;1;1;1;70;76;12;40;3; ;2;16;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;95;1;1;9500;04;76;1008,51230632911
3704868;1;1;1;70;73;1;48;1; ;2;2;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;1;270000;2;79;79;18;1;1;1810;04;73;221,751546514304
3704869;1;2;1;70;73;32;48;1; ;2;21;6; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;53;55;1;2;5521;04;73;254,990850790504
3704884;1;2;1;70;73;4;48;1; ;2;4;1; ;5;7; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;53;53;55;1;1;5521;04;73;305,319664828456
3704961;1;1;1;70;52;208;48;1; ;2;10;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;59;93;1;2;9309;04;52;198,485073004531
3704963;1;2;1;70;52;13;25;1; ;2;13;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;39;85;1;1;8532;04;52;147,598066224215
3704965;1;1;1;70;52;8;36;1; ;2;52;7; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5221;04;52;191,189148986882
3704969;1;3;1;70;52;12;40;2; ;2;12;4; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;75;1;1;7514;04;52;196,252517594267
3704973;1;2;1;70;50;156;48;1; ;2;156;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8050;04;50;152,575685662462
3704975;1;4;1;70;50;6;48;1; ;2;6;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;64;1;1;6412;04;50;203,93159146089
