Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3791247;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;45; ; ; ; ; ; ; ; ;1;08;47;243,324859715027;47
3791247;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;243,324859715027;47
3791247;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;243,324859715027;47
3791247;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;243,324859715027;47
3791248;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;1;08;47;203,407997697426;47
3791248;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;203,407997697426;47
3791249;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;229,713882883744;47
3791249;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;35; ;14; ; ; ; ; ; ;1;08;47;229,713882883744;47
3791249;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;08;47;229,713882883744;47
3791250;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;25; ;8; ; ; ; ; ; ;1;08;47;226,984110337816;47
3791251;1;1;1;90;2;2;2;1;2;2;2;1;2;2; ; ; ;4; ; ; ;8; ; ;1;08;47;207,115303134343;47
3791251;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;35; ; ; ; ; ; ;1;08;47;207,115303134343;47
3791251;2;1;2;90;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ; ; ;10; ; ;1;08;47;207,115303134343;47
3791251;2;2;2;90;2;1;2;2;2;2;2;2;2;2; ;48; ; ; ; ; ; ; ; ;1;08;47;207,115303134343;47
3791251;2;3;2;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;207,115303134343;47
3791251;3;1;3;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;207,115303134343;47
3791251;3;2;3;90;2;1;2;2;2;2;1;2;2;2; ;21; ; ; ; ;30; ; ; ;1;08;47;207,115303134343;47
3791252;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;08;47;211,76065039235;47
3791253;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;08;47;128,363764024432;47
3791253;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;128,363764024432;47
3791254;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;147,719464600885;47
3791254;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;08;47;147,719464600885;47
3791254;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;147,719464600885;47
3791255;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;7; ; ; ; ; ; ;1;08;47;251,303865656152;47
3791256;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;08;47;90,0889567926938;47
3791256;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;90,0889567926938;47
3791257;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;35; ;48; ; ; ; ; ; ;1;08;47;150,281724930692;47
3791257;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;150,281724930692;47
3791257;1;4;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;7; ; ; ; ; ; ;1;08;47;150,281724930692;47
3791258;1;1;1;90;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;12;1;08;47;171,625812819429;47
3791258;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;21; ; ; ; ; ; ;1;08;47;171,625812819429;47
3791258;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;171,625812819429;47
3791259;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;47;89,6950356122282;47
3791259;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;08;47;89,6950356122282;47
3791259;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;21; ; ; ; ; ; ;1;08;47;89,6950356122282;47
3791259;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;89,6950356122282;47
3791259;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;08;47;89,6950356122282;47
3791259;1;6;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;08;47;89,6950356122282;47
3791260;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;30; ; ; ; ; ; ;1;08;47;175,585808727321;47
3791260;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;08;47;175,585808727321;47
3791261;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;47;130,438285325462;47
3791261;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;08;47;130,438285325462;47
3791261;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;47;130,438285325462;47
