Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3796200;1;4;1;70;2;2;45;4; ;2;2;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;220000;2;61;62;01;1;1;0117;08;63;912,009667609102
3796972;1;1;1;70;2;24;48;1; ;2;25;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;85;1;2;8532;08;68;1913,71127562261
3797008;1;3;1;70;2;3;48;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5211;08;68;2489,64267540472
3797042;1;3;1;70;2;6;48;4; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;68;2903,98438381676
3800624;1;2;1;70;2;2;40;4; ;2;156;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5529;08;63;579,343531832339
3800626;1;4;1;70;2;4;45;4; ;2;3;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0117;08;63;1203,98392066375
3800723;1;2;1;70;2;8;48;1; ;2;8;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;08;66;713,091062844379
3800724;1;4;1;70;2;2;48;1; ;2;2;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;08;66;744,103686529066
3800740;1;2;1;70;2;2;48;1; ;2;28;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;45;52;1;1;5239;08;66;924,787923836171
3800741;1;2;1;70;2;12;48;1; ;2;12;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;97;52;1;1;5211;08;66;548,413536490001
3800746;1;3;1;70;2;2;50;1; ;2;20;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5522;08;66;838,57227614969
3800747;1;2;1;70;2;26;25;4; ;2;28;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;54;85;1;2;8532;08;66;391,705653590108
3800748;1;4;1;70;2;59;40;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8043;08;66;396,240081087143
3800753;1;1;1;70;2;2;48;1; ;2;48;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;62;90;1;1;9000;08;66;591,744640131152
3800755;1;4;1;70;2;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;08;66;718,242329589326
3800755;1;5;1;70;2;32;40;8; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;62; ; ;1;2; ;08;66;718,242329589326
3800757;1;2;1;70;2;4;40;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;92;92;22;1;1;2220;08;66;896,724050706441
3800757;1;3;1;70;2;8;48;1; ;2;32;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4530;08;66;896,724050706441
3800757;1;5;1;70;2;3;24;1; ;2;3;4; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;53;79;18;1;1;1810;08;66;896,724050706441
3800757;1;7;1;70;2;2;48;1; ;2;8;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;70;18;1;1;1810;08;66;896,724050706441
3800761;1;1;1;70;2;1;48;8; ;2;4;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;62;62;01;1;1;0111;08;66;573,186425669194
3800765;1;1;1;70;2;12;30;1; ;2;288;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;54;95;1;1;9500;08;66;897,38623028775
3800770;1;2;1;70;2;40;24;2; ;2;40;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;54;95;1;2;9500;08;63;1111,55649754478
3800800;1;2;1;70;2;3;40;4; ;2;1;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;142000;2;62;62;01;1;1;0114;08;63;644,783127348405
3800805;1;7;1;70;2;8;48;1; ;2;20;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;74;1;1;7414;08;63;1050,8993808929
3802002;1;2;1;70;2;52;24;4; ;2;13;4; ;1;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;71;13;1;2;1320;08;52;1755,25612836022
3802024;1;2;1;70;2;26;40;4; ;2;4;8; ;4;4; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;61;53;01;1;2;0111;08;52;1755,25612836022
3802036;1;2;1;70;2;4;40;1; ;2;52;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;13;1;1;1320;08;52;2238,82070302987
3802044;1;1;1;70;2;2;40;1; ;2;2;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;95;95;45;1;1;4521;08;52;1641,93450071907
3802053;1;1;1;70;2;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;77;61;01;1;1;0140;08;52;1213,71621716297
3802063;1;2;1;70;2;8;40;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;08;52;2024,30255557248
3802090;1;2;1;70;2;12;40;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;08;52;1705,44176025679
3802097;1;2;1;70;2;2;40;4; ;2;2;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;62;01;1;1;0118;08;52;741,689656457451
3802102;1;1;1;70;2;3;40;4; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;61;61;01;1;1;0140;08;52;1162,36334011401
3802104;1;4;1;70;2;8;48;1; ;2;8;1; ;6;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;13;1;1;1320;08;52;741,689656457451
3802109;1;3;1;70;2;8;48;3; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;08;52;1390,44627210419
3802112;1;4;1;70;2;106;40;4; ;2;106;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;30000;2;61;54;85;1;2;8532;08;52;2026,72798344872
3802117;1;3;1;70;2;2;40;4; ;2;13;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;61;01;1;1;0111;08;52;2006,12768843542
3802127;1;1;1;70;2;2;48;4; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;160000;2;32;54;95;1;1;9500;08;52;2146,50433075884
3802133;1;2;1;70;2;108;40;1; ;2;108;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;85;1;2;8512;08;52;1835,82273691195
3802145;1;2;1;70;2;52;40;1; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5261;08;52;1644,9363070898
3802146;1;2;1;70;2;8;40;2; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;20;41;52;1;1;5233;08;52;2465,38314767597
3802157;1;2;1;70;2;4;40;1; ;2;1;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;39000;2;53;61;01;1;1;0140;08;52;2220,52638005569
3802167;1;1;1;70;2;52;40;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0115;08;52;1905,74617467368
3802167;1;2;1;70;2;52;40;3; ;2;260;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;85;1;2;8532;08;52;1905,74617467368
3802174;1;3;1;70;2;98;24;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;37; ; ;1;2; ;08;52;1852,52560661418
3802179;1;3;1;70;2;22;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;08;52;1590,96596929167
3802180;1;3;1;70;2;12;40;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;08;52;928,350498451828
