Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3769549;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;173,125302679266
3769550;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;174,905683524289
3769555;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;17;170,757406111279
3769556;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;198,48767843321
3769556;1;2;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;198,48767843321
3769558;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;210,963479455644
3769559;1;2;1;80;17;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;17;181,954241426821
3769561;1;2;1;80;17;1;2;3; ;2; ;2; ; ; ; ;9;2;1;07;17;189,128983705818
3769562;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;271,27325984892
3769564;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;190,909364550841
3769565;1;1;1;80;17;1;2;3; ;2; ;2; ; ; ; ;9;2;1;07;17;221,649654513538
3769565;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;221,649654513538
3769567;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;237,005089882104
3769568;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;17;163,708848208746
3769568;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;163,708848208746
3769569;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;177,337986251357
3769571;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;120,541744208711
3769571;1;4;1;80;17;2; ; ; ;2; ;2; ;1;1; ;2; ;1;07;17;120,541744208711
3769571;1;5;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;120,541744208711
3769571;1;6;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;17;120,541744208711
3769572;1;2;1;80;52;1;3;8; ;2; ;2; ; ; ; ;9;2;1;07;52;222,863245634755
3769575;1;3;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;222,952945252095
3769578;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;8;2;1;07;52;125,893956683367
3769578;1;2;1;80;52;1;4;9;EDAD;2; ;2; ; ; ; ;8;2;1;07;52;125,893956683367
3769579;1;4;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;07;52;152,26569874595
3769579;1;5;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;52;152,26569874595
