Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3691838;1;3;1;70;2;5;48;4; ;2;20;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;54;95;1;1;9500;03;68;2990,74540962938
3692290;1;1;1;70;2;24;40;5; ;2;150;5; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;20;1;2;2040;03;63;637,318082371267
3692697;1;1;1;70;2;100;48;1; ;2;104;1; ;7;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;15;1;2;1589;03;63;2742,66255245804
3692714;1;2;1;70;2;1;60;5; ;2;520;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;41;52;1;1;5211;03;63;907,280049555861
3692719;1;3;1;70;2;60;48;4; ;2;20;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;06;06;85;1;2;8515;03;63;907,280049555861
3693124;1;2;1;70;2;24;48;1; ;2;54;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;03;20;1919,06350439374
3693534;1;1;1;70;2;40;48;4; ;2;40;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0140;03;54;1146,3303919221
3693643;1;1;1;70;2;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;62;62;01;1;1;0140;03;54;2796,24536957561
3693871;1;3;1;70;2;12;48;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;64;05;1;1;0501;03;47;614,88174804018
3693879;1;3;1;70;2;8;40;1; ;2;14;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;03;47;2157,8652494273
3694061;1;2;1;70;2;8;24;1; ;2;96;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8043;03;47;1612,26341524811
3694066;1;3;1;70;2;96;48;1; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;95;45;1;2;4522;03;47;943,898973431836
3694069;1;6;1;70;2;4;48;3; ;2;240;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;03;47;614,88174804018
3694073;1;3;1;70;2;10;48;1; ;2;10;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;39;75;1;1;7512;03;47;2247,29477664547
3695212;1;1;1;70;2;4;40;4; ;2;6;4; ;1;1; ; ; ; ;1;1; ; ; ; ; ;1;60000;2;62;62;01;1;1;0140;03;19;1188,69029664582
3695213;1;2;1;70;2;3;40;4; ;2;4;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;32000;2;61;61;01;1;1;0140;03;19;1095,30598801897
3695216;1;2;1;70;2;8;40;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;03;19;557,56868517865
3695219;1;4;1;70;2;1;40;3; ;2;4;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;54;54;95;1;1;9500;03;19;1152,91591131435
3695228;1;3;1;70;2;3;40;3; ;2;10;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;62;01;1;1;0140;03;19;1326,85872344019
3695258;1;2;1;70;2;10;21;3; ;2;36;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;03;19;987,2422798548
3695303;1;4;1;70;2;8;40;4; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;98; ; ;1;1; ;03;19;1648,21617568934
3695320;1;3;1;70;2;8;40;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5241;03;19;572,534189325788
3695323;1;2;1;70;2;8;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;19;821,606694152762
3695327;1;2;1;70;2;32;40;1; ;2;12;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;03;19;1423,82395410522
3696413;1;2;1;70;2;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;52;1240,98735633228
3696420;1;3;1;70;2;8;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;38;64;1;1;6422;03;52;2210,34939042731
3696435;1;5;1;70;2;8;24;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;03;52;1153,55752311972
