Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3726236;1;2;1;80;17;1;4;4; ;1;4;2; ; ; ; ;4;2;1;05;17;153,721336601654
3726237;1;2;1;80;17;1;2;8; ;2; ;2; ; ; ; ;9;2;1;05;17;186,455679648741
3726239;1;1;1;80;17;1;3;7; ;3; ;2; ; ; ; ;10;2;1;05;17;153,721336601654
3726240;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;4;2;1;05;17;140,461295314007
3726240;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;17;140,461295314007
3726240;1;4;1;80;17;1;4;5; ;3; ;2; ; ;4; ;8;1;1;05;17;140,461295314007
3726241;1;2;1;80;17;1;2;3; ;2; ;2; ; ; ; ;9;2;1;05;17;166,878194043066
3726242;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;17;153,721336601654
3726242;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;17;153,721336601654
3726243;1;1;1;80;17;1;2;3; ;2; ;2; ; ; ; ;9;2;1;05;17;190,591334810317
3726243;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;05;17;190,591334810317
3726244;1;2;1;80;17;1;4;7; ;2; ;2; ; ; ; ;9;2;1;05;17;186,712636111726
3726244;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;05;17;186,712636111726
3726245;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;17;163,086078300415
3726245;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;17;163,086078300415
3726246;1;1;1;80;17;1;1;2; ;2; ;2; ; ; ; ;2;2;1;05;17;199,699120046093
3726246;1;2;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;05;17;199,699120046093
3726246;1;4;1;80;17;1;1;8; ;2; ;2; ; ; ; ;1;2;1;05;17;199,699120046093
3726247;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;17;163,739223337892
3726248;1;2;1;80;17;1;4;4; ;2; ;2; ; ; ; ;9;2;1;05;17;153,891710108699
3726249;1;1;1;80;17;1;4;4; ;3; ;2; ; ; ; ;4;2;1;05;17;163,086078300415
3726249;1;3;1;80;17;1;3;5; ;3; ;2; ; ;1; ;11;1;1;05;17;163,086078300415
3726251;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;17;155,723018699868
