Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3905895;1;1;1;70;17;44;40;1; ;2;44;1; ;9;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;13;08;74;1;2;7499;01;17;142,792917674491
3905895;1;2;1;70;17;104;48;1; ;2;204;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;07;32;75;1;2;7512;01;17;142,792917674491
3905896;1;2;1;70;17;1;40;1; ;2;78;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;95;36;1;1;3611;01;17;156,677950478752
3905899;1;4;1;70;17;8;48;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;38;74;1;1;7499;01;17;186,632353205268
3905914;1;3;1;70;17;8;20;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;01;17;280,005139821034
3905974;1;3;1;70;76;6;60;1; ;2;17;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;92;1;1;9241;01;76;1162,98565616955
3905981;1;1;1;70;76;5;12;1; ;2;5;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;13;13;80;1;1;8060;01;76;933,759551063908
3905981;1;2;1;70;76;48;40;1; ;2;6;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;50;50;55;1;2;5521;01;76;933,759551063908
3906014;1;2;1;70;66;2;20;1; ;2;2;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;750000;2;32;53;55;1;1;5522;01;66;231,857415633224
3906023;1;3;1;70;66;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;01;66;223,529978767242
3906023;1;4;1;70;66;2;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;66;223,529978767242
3906080;1;3;1;70;17;28;48;1; ;2;152;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;16;16;85;1;2;8532;01;17;119,663185404824
3906092;1;1;1;70;17;4;40;1; ;2;4;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;39;39;85;1;1;8532;01;17;238,701190281593
3906139;1;2;1;70;52;8;48;1; ;2;27;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;31;75;1;1;7513;01;52;201,887316112778
3906139;1;3;1;70;52;3;24;1; ;2;24;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5530;01;52;201,887316112778
3906142;1;2;1;70;52;2;24;1; ;2;12;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5211;01;52;229,733252840146
3906145;1;1;1;70;52;1;40;2; ;2;2;2; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;1170000;2;39;39;80;1;1;8050;01;52;190,763744058062
3906147;1;2;1;70;52;2;40;2; ;2;2;4; ;9;1; ; ; ;1; ; ; ; ; ; ; ;1;1592000;2;19;19;75;1;1;7512;01;52;273,616101016156
3906155;1;1;1;70;52;26;40;1; ;2;1;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;480000;2;45;79;17;1;2;1749;01;52;218,938703134585
3906156;1;1;1;70;52;104;48;1; ;2;3;3; ;1;5; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;59;98;95;1;2;9500;01;52;165,292733341938
3906157;1;2;1;70;52;104;40;1; ;2;98;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;01;52;240,440194429332
3906172;1;2;1;70;52;38;84;2; ;2;38;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;2;7522;01;52;258,077722976524
3906175;1;2;1;70;52;4;24;1; ;2;6;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;80;1;1;8011;01;52;189,14154170227
3906176;1;3;1;70;52;17;24;1; ;2;17;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;2;5244;01;52;250,740016047418
3906196;1;1;1;70;76;2;72;4; ;2;2;4; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;81;81;36;1;1;3611;01;76;1395,36856292311
3906242;1;1;1;70;73;48;40;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6031;01;73;354,182634649031
3906243;1;2;1;70;73;4;48;4; ;2;4;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;288000;2;45;45;52;1;1;5231;01;73;317,842217018491
3906243;1;3;1;70;73;4;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;73;317,842217018491
3906249;1;3;1;70;73;8;40;1; ;2;13;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;75;1;1;7512;01;73;233,39108737634
3906255;1;1;1;70;73;2;40;1; ;2;6;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;21;66;1;1;6601;01;73;235,293055220273
3906255;1;3;1;70;73;24;48;1; ;2;78;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;45;52;1;2;5237;01;73;235,293055220273
3906260;1;1;1;70;76;4;56;4; ;2;3;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;98;39;60;1;1;6042;01;76;1304,74949152666
3906262;1;1;1;70;76;3;48;1; ;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;54;54;80;1;1;8011;01;76;949,968942292488
3906264;1;3;1;70;76;4;48;1; ;2;16;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;45;55;1;1;5529;01;76;740,069012821957
3906265;1;2;1;70;76;13;48;1; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;45;92;1;1;9242;01;76;848,103060871527
3906270;1;1;1;70;68;1;48;1; ;2;3;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;1200000;2;03;03;85;1;1;8511;01;68;686,387241833687
3906270;1;2;1;70;68;1;50;1; ;2;3;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;95;95;45;1;1;4522;01;68;686,387241833687
3906272;1;4;1;70;68;156;72;1; ;2;6;4; ;1;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;30;19;74;1;2;7499;01;68;535,737714098246
3906276;2;3;2;70;68;6;48;1; ;2;104;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;36;59;63;1;1;6331;01;68;523,184671765343
3906288;1;2;1;70;68;4;48;1; ;2;4;4; ;9;3; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;08;39;80;1;1;8050;01;68;399,181838011136
3906291;1;1;1;70;68;3;48;1; ;2;3;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;01;13;80;1;1;8042;01;68;2125,95986198258
3906296;1;3;1;70;68;24;48;1; ;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;40;52;1;2;5234;01;68;462,589524953723
3906296;1;4;1;70;68;4;48;1; ;2;24;4; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;65;1;1;6512;01;68;462,589524953723
3906298;1;2;1;70;68;16;48;1; ;2;16;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;44;70;1;2;7020;01;68;2571,62342153199
3906299;1;2;1;70;68;8;48;1; ;2;16;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5211;01;68;543,337603320853
3906302;1;1;1;70;68;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;350000;2;79;79;18;1;1;1810;01;68;417,802306153544
3906314;1;2;1;70;68;6;24;1; ;2;6;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;41;52;1;1;5224;01;68;417,802306153544
3906315;1;2;1;70;68;12;48;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;39;22;1;1;2220;01;68;508,176266674406
3906328;1;1;1;70;50;4;60;4; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6041;01;50;213,060164875481
3906328;1;2;1;70;50;4;48;1; ;2;7;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;900000;2;95;95;45;1;1;4521;01;50;213,060164875481
3906334;1;2;1;70;50;56;48;1; ;2;56;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;92;95;52;1;2;5272;01;50;298,650040599215
3906337;1;4;1;70;50;4;48;1; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;95;45;1;1;4521;01;50;212,802241631017
3906343;1;1;1;70;50;20;48;1; ;2;20;1; ;9;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;98;98;11;1;2;1120;01;50;252,665265978446
