DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4094048;1;3;1;70;1;8;48;1; ;2;16;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;18;1;1;1810;07;05;959,044740220042;05
4094064;1;2;1;70;1;4;48;1; ;2;4;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;689000;19;19;85;1;1;8512;07;05;1104,91901887793;05
4094074;1;4;1;70;1;6;24;1; ;2;144;1; ;2;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;37;95;45;1;1;4559;07;05;901,515751336545;05
4094076;1;1;1;70;1;1;24;4; ;2;12;1; ;8;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;59;45;52;1;1;5249;07;05;1326,59350954621;05
4094089;1;1;1;70;1;2;48;1; ;2;2;1; ;6;2;9;COBERTURA; ; ; ; ; ; ; ; ; ;1;1;689000;95;95;70;1;1;7010;07;05;1059,77007227277;05
4094109;1;2;1;70;1;28;48;4; ;2;48;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;45;52;1;2;5222;07;05;1097,9953498388;05
4094110;1;1;1;70;1;8;40;1; ;2;24;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;39;85;52;1;1;5243;07;05;1342,52340536932;05
4094143;1;4;1;70;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;93; ; ;1;1; ;07;05;1211,87843141083;05
4094144;1;5;1;70;1;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;07;05;966,824676715479;05
4094147;1;2;1;70;1;3;48;1; ;2;72;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;55;1;1;5529;07;05;960,594584844641;05
4094147;1;4;1;70;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;07;05;960,594584844641;05
4094158;1;2;1;70;1;2;30;1; ;2;672;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;79;79;18;1;1;1810;07;05;1063,71566715713;05
4094165;1;1;1;70;1;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;07;07;85;1;1;8512;07;05;1133,22895697937;05
4094166;1;6;1;70;1;3;24;1; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;180000;97;97;55;1;1;5521;07;05;1022,96582759764;05
4094166;1;7;1;70;1;2;24;1; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;45;52;1;1;5262;07;05;1022,96582759764;05
4094172;1;3;1;70;1;24;16;1; ;2;28;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;25000;45;45;52;1;2;5234;07;05;944,316353166185;05
4094184;1;1;1;70;1;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;640000;55;99;36;1;1;3611;07;05;959,044740220042;05
4094193;1;2;1;70;1;20;48;1; ;2;22;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;85;1;2;8511;07;08;677,46444422148;08
4094194;1;2;1;70;1;8;48;1; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;55;54;95;1;1;9500;07;08;521,115147151858;08
4094214;1;1;1;70;1;24;48;1; ;2;24;1; ;7;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;60;1;2;6042;07;13;324,146080749873;13
4094221;1;2;1;70;1;32;40;1; ;2;32;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;1;300000;39;93;70;1;2;7010;07;13;406,338323745875;13
4094226;1;1;1;70;1;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ;1; ; ;1; ; ; ;1;98;95;95;70;1;1;7010;07;13;404,656374642851;13
4094226;1;2;1;70;1;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ;1; ; ;1; ; ; ;2; ;55;55;85;1;1;8511;07;13;404,656374642851;13
4094248;1;1;1;70;1;24;40;1; ;2;24;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;37;39;75;1;2;7514;07;13;419,970234652857;13
4094277;1;3;1;70;1;4;40;1; ;2;4;1; ;5;2;1; ; ; ; ;1; ; ; ; ; ; ;1;689500;39;81;36;1;1;3611;07;15;122,404047657331;15
4094282;1;1;1;70;1;96;48;1; ;2;96;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;45000;54;55;55;1;2;5511;07;15;87,288265332038;15
4094283;1;1;1;70;1;52;48;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;93;93;45;1;2;4521;07;15;93,3793022726077;15
4094285;1;1;1;70;1;2;48;1; ;2;16;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;400000;98;98;60;1;1;6021;07;15;103,591542241426;15
4094285;1;2;1;70;1;8;40;1; ;2;180;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;58;97;52;1;1;5211;07;15;103,591542241426;15
4094290;1;2;1;70;1;240;40;2; ;2;240;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;02;02;75;1;2;7512;07;15;102,825339453887;15
4094293;1;2;1;70;1;52;20;1; ;2;144;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;39;75;1;2;7512;07;15;103,566747748564;15
4094297;1;3;1;70;1;8;40;1; ;2;98;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8012;07;15;79,0998992845909;15
4094299;1;4;1;70;1;2;72;1; ;2;2;1; ;2;2;7; ; ; ; ;1; ; ; ; ; ; ;1;750000;98;98;60;1;1;6031;07;15;97,5602321223427;15
4094302;1;3;1;70;1;2;40;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;44;44;64;1;1;6421;07;15;98,7429052042182;15
4094307;1;2;1;70;1;28;40;1; ;2;28;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;02;02;45;1;2;4530;07;15;80,9316216350038;15
4094312;1;2;1;70;1;5;48;2; ;2;78;1; ;7;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;12;33;52;1;1;5231;07;15;107,874327453755;15
4094318;1;1;1;70;1;4;40;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;53;53;55;1;1;5521;07;15;71,1090129603189;15
4094322;1;3;1;70;1;8;48;2; ;2;8;4; ;9;2;3; ; ; ; ;1; ; ; ; ; ; ;2; ;11;11;80;1;1;8050;07;15;133,45955128342;15
4094333;1;2;1;70;1;24;40;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;97;55;1;2;5529;07;15;99,0851772528047;15
4094336;1;5;1;70;1;36;42;1; ;2;36;2; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;03;39;75;1;2;7512;07;15;113,397212445475;15
4094338;1;4;1;70;1;32;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;12; ; ;1;2; ;07;15;167,647898568235;15
4094342;1;2;1;70;1;4;48;1; ;2;48;2; ;9;2;3; ; ; ; ;1;1; ; ; ; ; ;2; ;21;58;75;1;1;7522;07;15;102,825339453887;15
4094350;1;2;1;70;1;6;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ;1; ; ; ; ;2; ;39;39;85;1;1;8512;07;15;92,1369023692463;15
4094350;1;6;1;70;1;8;48;1; ;2;8;2; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;85;1;1;8512;07;15;92,1369023692463;15
4094353;1;3;1;70;1;25;48;4; ;2;25;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;97;63;1;2;6310;07;15;99,5264420400029;15
4094356;1;3;1;70;1;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;07;15;99,5264420400029;15
4094358;1;1;1;70;1;20;48;1; ;2;20;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;02;02;45;1;2;4530;07;15;210,232974743777;15
4094368;1;2;1;70;1;8;40;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;45;52;1;1;5239;07;15;85,2144068473322;15
4094380;1;5;1;70;1;4;40;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;350000;83;83;28;1;1;2811;07;15;119,306798150859;15
4094384;1;2;1;70;1;16;40;3; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;41;52;1;2;5225;07;15;107,874327453755;15
4094391;1;3;1;70;1;1;48;1; ;2;16;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;53;17;55;1;1;5530;07;17;493,020911146713;17
4094395;1;1;1;70;1;6;48;1; ;2;6;1; ;3;2;7; ; ; ; ;1; ; ; ; ; ; ;2; ;02;21;74;1;1;7493;07;17;222,58863691841;17
4094395;1;2;1;70;1;52;48;1; ;2;52;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;33;55;70;1;2;7020;07;17;222,58863691841;17
4094395;1;3;1;70;1;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;07;17;222,58863691841;17
4094397;1;2;1;70;1;40;48;1; ;2;4;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;800000;34;34;40;1;2;4010;07;17;263,196256601422;17
4094401;1;1;1;70;1;3;48;1; ;2;12;4; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;30;21;80;1;1;8050;07;17;380,077856672332;17
4094417;1;2;1;70;1;4;48;2; ;2;4;1; ;7;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8043;07;17;245,782528445542;17
4094428;1;3;1;70;1;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;38;38;64;1;1;6421;07;17;212,247976386833;17
4094431;1;1;1;70;1;16;48;1; ;2;16;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;77;15;1;2;1551;07;17;273,716803854998;17
4094433;1;3;1;70;1;12;40;1; ;2;6;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;00;45;51;1;1;5125;07;17;126,167656573736;17
4094438;1;2;1;70;1;8;40;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;07;17;205,594866856739;17
4094441;1;2;1;70;1;4;48;1; ;2;32;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;74;1;1;7493;07;17;221,065735884539;17
4094442;1;2;1;70;1;24;48;4; ;2;12;4; ;1;2;5; ; ; ; ;1; ; ; ; ; ; ;2; ;95;45;52;1;2;5262;07;17;138,336307323579;17
4094448;1;2;1;70;1;8;48;1; ;2;8;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;70;1;1;7010;07;17;283,296791419869;17
4094473;1;2;1;70;1;6;40;1; ;2;32;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;77;55;1;1;5522;07;17;290,710573916669;17
4094474;1;2;1;70;1;2;60;1; ;2;2;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;1;689455;95;95;70;1;1;7010;07;17;255,138345500654;17
4094487;1;1;1;70;1;48;48;1; ;2;48;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;30;30;55;1;2;5521;07;17;142,529196252124;17
4094497;1;2;1;70;1;2;40;1; ;2;4;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;05;05;11;1;1;1120;07;17;236,464550673594;17
4094500;1;1;1;70;1;16;40;3; ;2;16;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;54;53;55;1;2;5521;07;17;153,839922190269;17
4094503;1;4;1;70;1;2;40;1; ;2;48;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;07;18;91,9111511332906;18
4094507;1;5;1;70;1;8;45;3; ;2;8;3; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;07;18;75,5458040177072;18
4094512;1;1;1;70;1;2;55;4; ;2;2;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;1;600000;95;95;45;1;1;4521;07;18;92,7928200886749;18
4094513;1;2;1;70;1;13;40;3; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;07;18;81,4503400144685;18
4094528;1;2;1;70;1;2;40;1; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;1;9500;07;18;164,646721836306;18
