DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4395358;1;2;1;70;2;13;12;3; ;2;16;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;54;57;93;1;1;9309;08;76;1305,32329958908
4396216;1;1;1;70;2;8;25;4; ;2;8;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;55;55;74;1;1;7493;08;76;1938,67807427797
4396229;1;2;1;70;2;1;45;3; ;2;16;6; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;54;53;55;1;1;5529;08;76;2021,18770986853
4396233;1;1;1;70;2;1;40;4; ;2;2;8; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;1;480000;480000;2; ;61;62;01;1;1;0111;08;76;2373,40230096068
4399638;1;1;1;70;2;8;32;4; ;2;8;8; ;3;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;560000;2; ;55;62;01;1;1;0111;08;63;1277,6867092796
4399651;1;1;1;70;2;7;40;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ;1;YA ES PENSIONA; ;2; ;737717;3; ;58;97;15;1;1;1571;08;76;1224,2567376058
4399651;1;2;1;70;2;5;48;1; ;2;32;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;1;2;45;45;92;1;1;9242;08;76;1224,2567376058
4400591;1;3;1;70;2;3;40;8; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;62;62;01;1;1;0111;08;63;1039,58227873591
4400648;1;1;1;70;2;8;48;2; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;55;53;55;1;1;5521;08;13;878,088201881057
4400757;1;2;1;70;2;24;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;53;53;55;1;2;5521;08;13;1108,90975222763
4400831;1;1;1;70;2;156;25;4; ;2;156;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;55;54;95;1;2;9500;08;76;1279,34769748818
4400835;1;4;1;70;2;29;20;1; ;2;26;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;28000;800000;2; ;18;95;45;1;2;4521;08;76;1719,03050748496
4403891;1;2;1;70;2;52;32;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;250000;2; ;61;61;01;1;2;0115;08;52;2349,64452384257
4403896;1;3;1;70;2;25;40;3; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;54;55;74;1;2;7493;08;52;1708,91318781537
4403897;1;2;1;70;2;8;24;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;62;62;01;1;1;0140;08;52;1152,81531039122
4403897;1;4;1;70;2;3;32;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;500000;2; ;61;61;01;1;1;0140;08;52;1152,81531039122
4403904;1;2;1;70;2;8;40;1; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;45;54;95;1;1;9500;08;52;2052,24830497205
4403909;1;1;1;70;2;2;40;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;400000;2; ;95;45;52;1;1;5262;08;52;1782,92916676665
4403923;1;2;1;70;2;17;32;4; ;2;17;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;250000;2; ;61;61;01;1;2;0115;08;52;1449,95640565409
4403979;1;1;1;70;2;4;30;1; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;62;64;05;1;1;0501;08;52;2118,33612661267
4403996;1;2;1;70;2;26;40;1; ;2;27;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;54;54;85;1;2;8532;08;52;3823,0866889789
4404023;1;2;1;70;2;2;48;4; ;2;2;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;1;780000;737717;2; ;98;98;60;1;1;6031;08;66;1440,64848513666
4404031;1;2;1;70;2;8;24;4; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;350000;2; ;55;55;74;1;1;7493;08;66;2192,42729727928
4404032;1;2;1;70;2;8;25;1; ;2;4;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;420000;737717;2; ;55;54;95;1;1;9500;08;66;1522,91185981812
4404037;1;2;1;70;2;48;48;1; ;2;48;1; ;5;2;1; ; ; ; ; ; ; ; ;1;ES PENSIONADO; ;2; ;800000;3; ;33;33;52;1;2;5239;08;66;1407,5056012176
4404044;1;1;1;70;2;36;45;8; ;2;36;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;62;62;01;1;2;0111;08;66;1402,90810552524
4404044;1;2;1;70;2;16;50;1; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;53;53;55;1;2;5521;08;66;1402,90810552524
4404048;1;2;1;70;2;26;48;1; ;2;26;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;53;53;55;1;2;5521;08;66;2055,23376507425
4404049;1;1;1;70;2;28;24;4; ;2;28;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;55;55;74;1;2;7493;08;66;1302,13279720742
