DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4228953;1;2;1;80;05;1;1;3; ;2; ; ;9; ;2; ;1;689500;1;01;05;1384,32482204949
4228954;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1159,82708569454
4228956;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1003,48340235433
4228957;1;1;1;80;05;1;3;5; ;2; ; ;10; ;3; ;2; ;1;01;05;1279,78518643737
4228957;1;2;1;80;05;1;3;5; ;2; ; ;10; ;3; ;2; ;1;01;05;1279,78518643737
4228957;1;4;1;80;05;1;3;2; ;2; ; ;2; ;2; ;2; ;1;01;05;1279,78518643737
4228958;1;5;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1157,31871112504
4228960;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1470,16952133143
4228961;1;2;1;80;05;1;4;7; ;2; ; ;9; ;2; ;2; ;1;01;05;942,740380862997
4228962;1;1;1;80;05;1;3;6; ;2; ; ;11; ;2; ;2; ;1;01;05;1157,42467409427
4228962;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1157,42467409427
4228964;1;1;1;80;05;1;4;8; ;2; ; ;8; ;1;1;2; ;1;01;05;981,655960226473
4228964;1;2;1;80;05;1;2;2; ;2; ; ;2; ;2; ;2; ;1;01;05;981,655960226473
4228965;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;1116,27452037702
4228966;1;1;1;80;05;1;4;6; ;2; ; ;8; ;3; ;2; ;1;01;05;1289,67057405699
4228966;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1289,67057405699
4228966;1;3;1;80;05;1;2;3; ;2; ; ;9; ;1;1;2; ;1;01;05;1289,67057405699
4228966;1;5;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;05;1289,67057405699
4228968;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1089,32810163626
4228969;1;2;1;80;05;1;2;8; ;2; ; ;5; ;2; ;2; ;1;01;05;954,811860423909
4228970;1;1;1;80;05;1;1;8; ;2; ; ;11; ;2; ;2; ;1;01;05;1003,48340235433
4228972;1;1;1;80;05;1;4;3; ;2; ; ;9; ;1;2;2; ;1;01;05;1257,6138394847
