DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4256547;1;3;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;02;68;847,044083390374
4257866;1;2;1;70;2;10;40;4; ;2;10;4; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;85;1;1;8512;02;76;7315,65218440895
4257867;1;1;1;70;2;1;45;8; ;2;8;8; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0111;02;76;6131,01033915231
4257875;1;2;1;70;2;2;28;4; ;2;9;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;45;64;1;1;6421;02;76;7985,87509387312
4261173;1;1;1;70;2;12;8;4; ;2;360;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;77;95;01;1;1;0114;02;76;1954,94774099466
4262354;1;2;1;70;2;4;40;3; ;2;4;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;02;23;1601,41492915646
4262385;1;1;1;70;2;48;48;8; ;2;130;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;2;0121;02;23;2457,9971321409
4262493;1;3;1;70;2;6;48;1; ;2;1;4; ;1;2;1; ; ; ; ;1; ; ; ; ; ; ;1;400000;53;53;55;1;1;5529;02;63;3375,12509955711
4262499;1;3;1;70;2;10;48;1; ;2;10;1; ;9;2;5; ; ;1; ; ; ; ; ; ; ; ;2; ;58;58;74;1;1;7492;02;63;4413,17730945464
4262507;1;1;1;70;2;2;50;8; ;2;2;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;62;62;01;1;1;0111;02;63;2427,27454160426
4262510;1;3;1;70;2;8;48;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;97;61;01;1;1;0140;02;63;5995,5111857979
