DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4349061;1;3;1;70;2;12;48;1; ;2;26;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;12;41;52;1;1;5233;06;50;824,265618854877
4349062;1;1;1;70;2;28;60;1; ;2;60;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;51;1;2;5127;06;50;1037,28304158667
4351475;1;2;1;70;2;2;60;3; ;2;2;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;737700;62;62;95;1;1;9500;06;63;4202,90960186852
4351481;1;2;1;70;2;48;40;1; ;2;192;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;85;1;2;8511;06;63;5413,86297098006
4351481;1;3;1;70;2;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;60; ; ;1;2; ;06;63;5413,86297098006
4351482;1;6;1;70;2;24;35;4; ;2;104;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;74;1;2;7493;06;63;4844,02893048607
4351483;1;3;1;70;2;1;30;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;63;1786,21544381339
4351498;1;3;1;70;2;24;50;1; ;2;60;1; ;7;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;55;1;2;5511;06;63;2582,32844042605
4351498;1;4;1;70;2;4;45;1; ;2;4;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;1;720000;98;62;55;1;1;5511;06;63;2582,32844042605
4351505;1;4;1;70;2;1;45;8; ;2;1;8; ;3;2;5; ; ; ; ; ; ; ; ; ; ;1;1;200000;62;62;01;1;1;0121;06;63;4153,80259274071
4351522;1;3;1;70;2;8;40;1; ;2;8;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;41;52;1;1;5233;06;76;1941,32418797848
4351553;1;1;1;70;2;16;48;1; ;2;16;8; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;2;0111;06;76;3398,56232126702
4352554;1;3;1;70;2;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;41;650,228673670451
4355683;1;3;1;70;2;8;48;2; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;39;33;52;1;1;5211;06;19;1212,35532961654
4355688;1;4;1;70;2;52;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;06;19;829,593138570567
