DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4284673;1;1;1;10;1;1;2;1990;27;1;2;2;1;10; ; ; ;2;1;2; ;3;5; ; ;2;5;03;63;1719,36920926243
4284673;1;2;1;10;2;2;8;1986;30;2;2;2;1;12; ; ; ;2;1;2; ;4;9; ; ;2;9;03;63;1719,36920926243
4284673;1;3;1;10;2;2;3;2004;13;3;6;2;1;12; ; ; ;2;1;1;1;4;6; ; ;2;6;03;63;1719,36920926243
4284674;1;1;1;10;1;1;9;1973;43;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;63;3071,43324657537
4284675;1;1;1;10;1;1;12;1940;76;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;63;2425,1818471862
4284676;1;1;1;10;1;1;11;1953;63;1;4;2;1;2; ; ; ;2;2;2; ;1;0; ; ;2;0;03;63;2425,1818471862
4284677;1;1;1;10;1;1;1;1996;21;1;1;2;1;1; ; ; ;2;1;2; ;5;11;2; ;2;11;03;63;3228,26843818932
4284677;1;2;1;10;2;2;9;1988;28;2;1;2;1;1; ; ; ;2;1;1;2;6;2;3; ;2;13;03;63;3228,26843818932
4284677;1;3;1;10;2;1;8;2011;5;3; ;2;1;1; ; ; ;2;2;1;1;2;0; ; ;2;0;03;63;3228,26843818932
4284678;1;1;1;10;1;1;7;1987;29;1;4;1; ; ;1;1;52000;2;1;2; ;5;11;2; ;2;11;03;63;3071,43324657537
4284679;1;1;1;10;1;1;8;1970;46;1;5;1; ; ;1;4; ;2;2;2; ;1;0; ; ;2;0;03;63;3071,43324657537
4284680;1;1;1;10;1;1;3;1961;56;1;3;1; ; ;1;4; ;2;1;2; ;3;3; ; ;2;3;03;63;1475,51828515562
4284680;1;2;1;10;2;2;5;1969;47;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;03;63;1475,51828515562
4284680;1;3;1;10;3;2;6;2001;15;3;6;1; ; ;1;5; ;2;1;2; ;4;8; ; ;2;8;03;63;1475,51828515562
4284681;1;1;1;10;1;2;4;1936;80;1;5;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;03;63;4354,80183761912
4284681;1;2;1;10;2;1;4;1993;23;4;4;1; ; ;1;1;37500;2;1;2; ;5;11;2; ;2;11;03;63;4354,80183761912
4284681;1;3;1;10;3;1;5;1996;20;4;6;1; ; ;3; ; ;1;1;2; ;5;11;2; ;2;11;03;63;4354,80183761912
4284681;1;4;1;10;4;1;7;1999;17;4;6;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;03;63;4354,80183761912
4284681;1;5;1;10;5;1;7;2002;14;4;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;63;4354,80183761912
4284682;1;1;1;10;1;2;2;1988;29;1;4;1; ; ;3; ; ;1;1;1;2;6;1;2;2;2;12;03;63;2890,78360145432
