DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4324323;1;4;1;70;2;1;70;4; ;2;5;4; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;1;270000;16;16;74;1;1;7499;05;76;1671,40884074076
4324325;1;3;1;70;2;3;8;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;1; ;05;76;1418,26771052109
4324326;2;2;2;70;2;2;48;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;795000;97;97;15;1;1;1589;05;76;2457,11696169956
4324335;1;2;1;70;2;1;44;1; ;2;9;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;95;1;1;9500;05;76;1905,58145345931
4324335;1;3;1;70;2;15;36;4; ;2;15;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;55;54;95;1;2;9500;05;76;1905,58145345931
4324338;1;2;1;70;2;52;48;4; ;2;104;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;54;95;1;2;9500;05;76;1396,61285190455
4325093;1;1;1;70;2;7;48;4; ;2;7;5; ;2;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4552;05;76;4216,92577248943
4330229;1;3;1;70;2;16;48;1; ;2;216;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;39;85;1;2;8532;05;63;1112,44457889384
4330229;1;4;1;70;2;3;48;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;97;97;17;1;1;1710;05;63;1112,44457889384
4330241;1;3;1;70;2;4;55;1; ;2;52;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;41;55;1;1;5529;05;63;2181,79452698874
