"DIRECTORIO","SECUENCIA_P","ORDEN","HOGAR","REGIS","AREA","P7430","P7440","P7450","P7450S1","P7452","P7454","P7456","P7458","P7458S1","P7460","P7470","P7472","P7472S1","P744","P1884","P1807","P6921","INI","MES","DPTO","fex_c_2011"
4465565,1,1,1,"80","05",1,4,5,"",2,1.79769313486232e+308,1.79769313486232e+308,8,"",3,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3,1,"11","05",966.078160829104
4465566,1,2,1,"80","05",1,4,3,"",2,1.79769313486232e+308,1.79769313486232e+308,9,"",2,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,"11","05",1571.91316733135
4465567,1,2,1,"80","05",1,4,3,"",2,1.79769313486232e+308,1.79769313486232e+308,9,"",2,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,"11","05",1026.54761984702
4465567,1,5,1,"80","05",1,4,5,"",2,1.79769313486232e+308,1.79769313486232e+308,8,"",2,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,"11","05",1026.54761984702
4465568,1,2,1,"80","05",1,4,3,"",2,1.79769313486232e+308,1.79769313486232e+308,9,"",2,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,"11","05",1085.3318409922
4465568,1,5,1,"80","05",2,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1,2,8,"",2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,730000,2,1,"11","05",1085.3318409922
4465569,1,2,1,"80","05",1,2,3,"",2,1.79769313486232e+308,1.79769313486232e+308,9,"",2,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,"11","05",1233.23097871389
4465569,1,7,1,"80","05",1,4,4,"",2,1.79769313486232e+308,1.79769313486232e+308,4,"",2,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,"11","05",1233.23097871389
4465570,1,1,1,"80","05",1,4,5,"",2,1.79769313486232e+308,1.79769313486232e+308,8,"",3,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3,1,"11","05",1233.85492683702
4465571,1,2,1,"80","05",2,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,".",2,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,"11","05",1159.77281295708
