"DIRECTORIO","SECUENCIA_P","ORDEN","HOGAR","REGIS","AREA","P7250","P7260","P7280","P7280S1","P7310","P7320","P7350","P7350S1","P7360","P9460","P7390","P7390S1","P7420","P7420S1","P7420S2","P7420S3","P7420S4","P7420S5","P7420S6","P7420S7","P7420S7A1","P7420S8","P7422","P7422S1","P1806","P1519","P1883","OFICIO1","OFICIO2","RAMA2D_D","DSI","DSCY","RAMA4D_D","MES","DPTO","fex_c_2011"
4417182,1,5,1,"70","05",12,48,1,"",2,104,1,"",2,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,1000000,2,1.79769313486232e+308,"59","45","51",1,1,"5132","09","05",1175.09691180211
4417191,1,2,1,"70","05",156,156,1,"",2,156,1,"",9,2,9,"PAGA PARTICULAR","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,1500000,2,1.79769313486232e+308,"02","02","45",1,2,"4530","09","05",1043.3793837793
4417193,1,3,1,"70","05",52,48,1,"",2,78,1,"",9,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"40","11","52",1,2,"5211","09","05",1019.60726791436
4417194,1,1,1,"70","05",4,48,4,"",2,4,4,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"DE LA PENSION",1.79769313486232e+308,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"79","79","52",1,1,"5271","09","05",1067.53064735
4417198,1,2,1,"70","05",16,48,1,"",2,16,1,"",6,1,1,"","",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,2,1.79769313486232e+308,737717,1,1,"39","39","18",1,2,"1810","09","05",1260.43565058865
4417202,1,2,1,"70","05",4,48,1,"",2,4,1,"",9,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,770000,1200000,2,1.79769313486232e+308,"97","97","15",1,1,"1589","09","05",906.29062428914
4417202,1,6,1,"70","05",259,48,1,"",2,259,1,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"98","98","60",1,2,"6021","09","05",906.29062428914
4417210,1,1,1,"70","05",2,48,1,"",2,2,1,"",9,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,810000,900000,2,1.79769313486232e+308,"39","39","18",1,1,"1810","09","05",1343.3855608017
4417216,1,1,1,"70","05",6,50,4,"",2,6,4,"",2,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,800000,2,1.79769313486232e+308,"79","79","18",1,1,"1810","09","05",1260.43565058865
4417216,1,2,1,"70","05",6,50,4,"",2,6,4,"",2,9,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,800000,2,1.79769313486232e+308,"79","79","18",1,1,"1810","09","05",1260.43565058865
4417218,1,2,1,"70","05",32,48,1,"",2,32,1,"",3,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"55","53","55",1,2,"5521","09","05",1218.91523250628
4417236,1,2,1,"70","05",52,48,1,"",2,52,1,"",2,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"45","57","93",1,2,"9302","09","05",1000.12078469798
4417236,1,5,1,"70","05",4,48,1,"",2,4,1,"",1,2,8,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"55","54","85",1,1,"8532","09","05",1000.12078469798
4417253,1,4,1,"70","05",3,30,1,"",2,3,1,"",2,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,75000,600000,2,1.79769313486232e+308,"53","45","52",1,1,"5231","09","05",969.105303034625
4417257,1,4,1,"70","05",1,72,1,"",2,1,1,"",9,2,9,"POR COBERTURA","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,1110000,737717,2,1.79769313486232e+308,"58","58","80",1,1,"8050","09","05",777.719855488656
4417259,1,5,1,"70","05",4,48,1,"",2,8,1,"",8,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"45","95","45",1,1,"4521","09","05",931.836486657261
4417260,1,1,1,"70","05",16,48,1,"",2,8,1,"",6,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"59","53","55",1,2,"5521","09","05",1213.04104549803
4417266,1,3,1,"70","05",24,48,1,"",2,32,1,"",5,2,7,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,1500000,2,1.79769313486232e+308,"07","07","85",1,2,"8512","09","05",1189.26892963309
4417270,1,3,1,"70","05",4,56,1,"",2,4,1,"",3,2,6,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,800000,737717,2,1.79769313486232e+308,"37","37","55",1,1,"5521","09","05",1236.28438701795
4417280,1,4,1,"70","05",28,24,1,"",2,28,1,"",3,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"45","53","55",1,2,"5521","09","05",888.921469777465
4417284,1,6,1,"70","05",12,48,1,"",2,12,1,"",6,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,650000,2,1.79769313486232e+308,"95","95","45",1,1,"4530","09","05",1279.05286092421
