DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4585998;1;1;1;80;05;1;1;3;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;04;05;1160,89538033605
4585999;1;4;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;04;05;1278,42558779533
4586004;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;04;05;953,442626626263
4586004;1;2;1;80;05;1;1;4;6; ;2; ; ;11; ;1;2;2; ; ; ; ;1;1;04;05;953,442626626263
4586004;1;4;1;80;05;1;1;1;2; ;2; ; ;2; ;2; ;2; ;2; ;781200;2;1;04;05;953,442626626263
4586004;1;5;1;80;05;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;04;05;953,442626626263
4586005;1;2;1;80;05;1;1;1;6; ;2; ; ;9; ;1; ;1;600000; ; ; ;2;1;04;05;1385,0510684528
4586006;1;1;1;80;05;1;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;04;05;1372,20736773932
4586006;1;4;1;80;05;1;1;1;8; ;2; ; ;8; ;2; ;2; ;1;48;98;2;1;04;05;1372,20736773932
4586007;1;1;1;80;05;1;1;3;4; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;04;05;1160,89538033605
4586008;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;04;05;1112,51174897939
4586008;1;3;1;80;05;1;1;2;4; ;2; ; ;4; ;1;1;2; ;2; ;98;1;1;04;05;1112,51174897939
4586011;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;04;05;1185,91356036489
4586012;1;1;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;04;05;766,488408169613
4586012;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;04;05;766,488408169613
