DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011
4687881;1;3;2;6; ;3;3;5;5;1; ; ;20000000;98; ;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;4;5;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;23;1228,19294043391
4687882;1;3;2;2;1;4;3;1;4;1; ; ;40000000;200000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;2;1;1;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;23;2118,48537502948
4687883;1;2;1;2;1;4;3;5;5;1; ; ;10000000;80000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;08;23;1395,92823157888
4687884;1;5;3;2;1;3;4;1;4;4; ; ; ;100000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;5;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;23;1279,8480103176
4687885;1;2;1;2;2;4;3;5;5;5; ; ; ;200000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;3;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;23;3232,89847333325
4687885;2;2;1;2;2;4;3;5;5;4; ; ; ;200000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;6;2; ;2;1;1;2;1;1;2;2;2; ;2; ;01;2;08;23;3232,89847333325
4687886;1;2;1;2;1;4;10;1;5;4; ; ; ;50000; ;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;1;5;2;1;1;2;2;2; ;2; ;01;2;08;23;1663,33519989647
4687887;1;2;1;2;1;4;3;5;5;3; ; ; ; ;300000;2;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;3;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;23;2250,30006209037
4687888;1;2;1;6; ;2;4;5;4;5; ; ; ;40000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;1;1;5;3;2; ;2;2;2; ;2; ;01;2;08;23;1395,92823157888
4687889;1;2;1;6; ;4;4;1;5;4; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;3;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;23;3483,18312313285
4691108;1;5;3;2;1;1;2;1;4;1; ; ;50000000;200000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;1;1;2; ;01;2;08;66;721,180499199311
4691109;1;3;2;3;1;4;6;1;4;3; ; ; ; ;70000;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;3;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;66;1093,53978212556
4691110;1;5;4;2;1;1;2;1;5;4; ; ; ;70000; ;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;5;2; ;1;1;1;2;1;1;2;2;1;1;2; ;01;2;08;66;1972,16276717951
4691111;1;4;2;2;1;1;2;1;4;1; ; ;40000000;100000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;2;2; ;1;1;1;2;1;1;2;2;1;1;2; ;01;2;08;66;1390,98187693681
4691112;1;6;4;2;1;3;2;1;5;1; ; ;50000000;90000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;66;721,180499199311
4691113;1;3;1;2;1;1;2;1;4;1; ; ;98;100000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;6;1;1;2;2;1;1;2; ;01;2;08;66;1013,32573254232
4691114;1;4;2;2;1;3;2;1;4;1; ; ;40000000;80000; ;2;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;66;1951,74625848946
4691115;1;4;2;2;1;3;2;1;5;1; ; ;35000000;70000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;66;1717,64145741265
4691116;1;3;2;2;1;3;2;1;5;3; ; ; ; ;50000;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;66;2636,82854497348
4691117;1;4;3;2;1;4;2;1;5;1; ; ;40000000;120000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;5;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;08;66;1347,49055623181
4691118;1;3;2;1;1;1;1;3;3;4; ; ; ;250000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;5;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;2;08;66;1485,02292014097
4691119;1;4;3;2;1;1;2;1;3;4; ; ; ;600000; ;2;2;2;1;1;1;1;2;2;1;1;2;2;1;2;2;2;2;1;1;2;1;4;4;2; ;1;1;1;4;1;1;1;2;1;2;2; ;01;2;08;66;989,964554919694
4691120;1;3;1;1;1;1;2;1;3;4; ; ; ;400000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;4;1;1;1;1;1;2;1;2;01;2;08;66;1444,81260581771
4691121;1;5;3;2;1;3;6;1;3;1; ; ;40000000;800000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;2;1;1;1;2;2; ;2; ;01;2;08;66;1013,32573254232
4691123;1;3;2;2;1;1;1;1;4;4; ; ; ;200000; ;2;2;2;1;1;1;1;2;1;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;1;1;1;4;1;1;2;2;1;2;1;2;01;2;08;66;1444,81260581771
4691124;1;5;2;2;1;1;2;1;3;1; ; ;98;400000; ;2;2;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;1;2;1;2;2;2; ;1;1;1;4;1;1;1;2;1;2;2; ;01;2;08;66;1717,64145741265
4691125;1;4;3;2;1;1;2;3;3;1; ; ;40000000;250000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;3;2; ;1;1;1;4;1;1;1;2;1;2;2; ;01;2;08;66;721,180499199311
4691126;1;3;1;2;1;3;2;1;3;1; ; ;35000000;700000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;2;1;1;1;2;2; ;2; ;01;2;08;66;1013,32573254232
4691127;1;3;2;1;1;1;1;1;4;3; ; ; ; ;220000;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;4;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;2;08;66;2360,1455994094
4691128;1;3;2;1;1;1;1;1;3;4; ; ; ;200000; ;1;1;1;1;1;2;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;1;2;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;2;08;66;1498,64333469862
4691129;1;1;1;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;2;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;2;08;66;941,40687807965
4691130;1;4;2;1;1;1;1;1;4;3; ; ; ; ;300000;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2;3;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;2;08;66;961,823386769694
4691131;1;4;3;1;1;1;1;1;3;1; ; ;98;400000; ;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;3;4;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;2;08;66;721,180499199311
4691132;1;3;1;1;1;1;1;1;3;1; ; ;60000000;300000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;2;08;66;1039,01529327323
4691133;1;2;1;1;1;1;1;1;3;3; ; ; ; ;200000;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;2;08;66;1470,50216654862
4691134;1;3;2;1;1;1;1;3;3;3; ; ; ; ;350000;2;1;1;1;1;1;1;2;2;1;1;1;1;2;2;2;1;1;2;1;2;1;2;4;2; ;1;2;1;4;1;1;1;1;1;2;1;2;01;2;08;66;2418,66345556074
4691135;1;4;3;1;1;1;1;1;3;3; ; ; ; ;250000;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;3;4;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;2;08;66;1456,88175199097
4691137;1;3;2;1;1;1;1;1;3;2; ;300000;98;300000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;4;4;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;2;08;66;721,180499199311
4691138;1;4;1;1;1;1;1;1;3;3; ; ; ; ;300000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;2;08;66;721,180499199311
4691139;1;5;2;2;1;1;2;1;3;1; ; ;50000000;90000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;2;1;1;1;2;1;2;2; ;01;2;08;66;1067,15646142323
4691140;1;3;2;2;1;1;2;1;3;3; ; ; ; ;280000;2;2;2;2;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;5;2; ;1;1;1;4;1;1;1;2;1;2;2; ;01;2;08;66;1290,93457466463
4691141;1;3;2;2;1;1;2;1;4;4; ; ; ;150000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;4;1;1;2;2;1;2;2; ;01;2;08;66;1013,32573254232
