DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4513824;1;1;1;70;1;6;48;1; ;2;6;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737700;3; ;37;37;17;1;1;01;1749;05;1390,39311554381;05
4513824;1;2;1;70;1;3;48;1; ;2;152;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;54;45;55;1;1;01;5529;05;1390,39311554381;05
4513828;1;3;1;70;1;16;48;1; ;2;16;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;59;59;85;1;2;01;8511;05;1100,338929277;05
4513831;1;3;1;70;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737700; ; ;21; ; ;1;1;01; ;05;1042,77845153537;05
4513832;1;2;1;70;1;20;48;1; ;2;20;1; ;6;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;44;33;92;1;2;01;9249;05;1121,9145850716;05
4513835;1;3;1;70;1;54;24;1; ;2;4;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;60000;781242;2; ;03;54;95;1;2;01;9500;05;1000,96522691747;05
4513838;1;2;1;70;1;1;48;1; ;2;10;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;53;55;1;1;01;5521;05;1387,0744537118;05
4513840;1;2;1;70;1;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;59;59;85;1;2;01;8511;05;1265,41441952375;05
4513841;1;5;1;70;1;2;48;1; ;2;6;1; ;6;2;7; ; ; ; ; ; ; ; ; ; ;1;1;100000;783000;2; ;38;97;15;1;1;01;1521;05;1086,35836136302;05
4513845;1;1;1;70;1;12;48;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;54;54;95;1;1;01;9500;05;997,64656508546;05
4513848;1;2;1;70;1;52;48;1; ;2;94;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;45;52;1;2;01;5241;05;1246,33550404011;05
4513858;1;1;1;70;1;52;48;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737700;3; ;53;53;55;1;2;01;5529;05;1120,36260844934;05
4513860;1;2;1;70;1;2;48;4; ;2;4;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;98;98;1;2;13;13;80;1;1;01;8060;05;1266,12509555767;05
4513860;1;3;1;70;1;104;48;1; ;2;24;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;45;45;74;1;2;01;7430;05;1266,12509555767;05
4513862;1;3;1;70;1;5;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737700; ; ;45; ; ;1;1;01; ;05;1226,82161177863;05
4513865;1;1;1;70;1;3;48;1; ;2;20;4; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;3000000;1;1;02;02;74;1;1;01;7421;05;1240,87485671036;05
4513865;1;3;1;70;1;2;48;1; ;2;3;4; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;1;4500000;3000000;1;1;02;02;74;1;1;01;7421;05;1240,87485671036;05
4513877;1;1;1;70;1;4;48;4; ;2;4;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;2500000;3000000;1;2;08;08;75;1;1;01;7512;05;1387,0744537118;05
4513878;1;3;1;70;1;1;60;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;781242;2; ;80;80;19;1;1;01;1929;05;1296,318649877;05
4513881;1;2;1;70;1;192;48;1; ;2;192;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;19;38;74;1;2;01;7499;05;1282,24010402252;05
4513884;1;2;1;70;1;2;48;4; ;2;2;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;1350000;1900000;1;2;03;03;75;1;1;01;7512;05;1284,38208952026;05
4513891;1;3;1;70;1;4;48;4; ;2;4;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;4300000;3500000;1;1;19;19;74;1;1;01;7412;05;1163,43273136613;05
4513897;1;3;1;70;1;30;48;1; ;2;60;1; ;3;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1000000;1;1;11;11;74;1;2;01;7412;05;1390,39311554381;05
4513900;1;1;1;70;1;3;48;2; ;2;4;4; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;1;2000000;1600000;2; ;13;17;92;1;1;01;9214;05;1042,77845153537;05
4513911;1;3;1;70;1;2;48;1; ;2;2;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;560000;737717;2; ;45;45;52;1;1;01;5233;05;1042,77845153537;05
4513914;1;2;1;70;1;1;48;1; ;2;1;1; ;4;2;3; ; ; ; ; ; ; ; ; ; ;1;1;1100000;737000;2; ;45;45;52;1;1;01;5237;05;1121,9145850716;05
4513916;1;1;1;70;1;8;48;1; ;2;3;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;1;850000;1200000;2; ;97;97;63;1;1;01;6310;05;1305,95774531486;05
4513923;1;1;1;70;1;2;48;1; ;2;2;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;1200000;1200000;1;1;45;45;15;1;1;01;1589;05;1305,95774531486;05
4513930;1;3;1;70;1;6;48;1; ;2;2;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;84;45;52;1;1;01;5237;05;880,383624104458;05
4513934;1;3;1;70;1;1;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;59;85;1;1;01;8511;05;916,295769033742;05
4513936;1;2;1;70;1;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;55; ; ;1;2;01; ;05;1223,05497264088;05
4513940;1;2;1;70;1;4;24;1; ;2;2;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;600000;400000;2; ;53;53;55;1;1;01;5521;05;963,286396778437;05
4513948;1;3;1;70;1;2;48;1; ;2;2;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;98;737000;2; ;45;45;52;1;1;01;5233;05;1100,338929277;05
4513951;1;1;1;70;1;52;48;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;45;53;55;1;2;01;5529;05;1159,16813943794;05
4513965;1;1;1;70;1;4;48;4; ;2;3;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;60000;781242;2; ;53;79;17;1;1;01;1743;05;1039,01181239762;05
4513966;1;1;1;70;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;38; ; ;1;1;01; ;05;1226,82161177863;05
4513967;1;3;1;70;1;4;48;1; ;2;260;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;19;16;18;1;1;01;1810;05;1100,338929277;05
4513973;1;2;1;70;1;32;48;1; ;2;32;1; ;9;1;2; ; ; ;1; ; ; ; ; ; ; ;2; ;781200;1;2;19;19;45;1;2;01;4521;05;1169,261134037;05
