DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4674150;1;2;1;70;2;4;48;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;62;62;01;1;1;07;0112;25;4956,28133792081
4674151;1;2;1;70;2;8;48;3; ;2;104;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;54;59;95;1;1;07;9500;25;8174,82466842383
4674178;1;3;1;70;2;2;23;4; ;2;3;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;160000;700000;2; ;62;62;01;1;1;07;0118;25;4372,8178170042
4674193;1;6;1;70;2;8;48;8; ;2;4;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;781242;2; ;62;62;01;1;1;07;0118;25;4500,19578929894
4674198;1;3;1;70;2;52;48;3; ;2;55;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;60;01;1;2;07;0113;47;482,874733531066
4674205;1;2;1;70;2;8;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;800000;2; ;58;58;51;1;1;07;5155;47;604,677396043246
4674223;1;6;1;70;2;1;48;1; ;2;4;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;55;55;74;1;1;07;7493;47;702,444946890934
4674231;1;2;1;70;2;25;48;3; ;2;25;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;38;64;1;2;07;6426;47;669,773720259701
4674243;1;3;1;70;2;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1200000; ; ;59; ; ;1;1;07; ;47;624,094677820467
4674253;1;2;1;70;2;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;19; ; ;1;2;07; ;47;574,275140670408
4674253;1;4;1;70;2;18;48;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;62; ; ;1;2;07; ;47;574,275140670408
4674256;1;1;1;70;2;50;48;1; ;2;400;8; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;55;62;01;1;2;07;0113;47;674,12547495521
4674261;1;4;1;70;2;20;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;97;97;01;1;2;07;0115;47;597,662928218157
4674264;1;3;1;70;2;1;24;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;13;13;91;1;1;07;9199;47;845,77553911029
4674311;1;5;1;70;2;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782000; ; ;59; ; ;1;1;07; ;47;538,674646184296
4674320;1;3;1;70;2;4;48;1; ;2;4;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;782000;1500000;2; ;13;13;75;1;1;07;7512;47;451,119642891895
4674339;1;3;1;70;2;50;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;786500; ; ;45; ; ;1;2;07; ;47;529,391207100812
4674356;1;2;1;70;2;20;48;1; ;2;20;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;785000;2; ;38;38;64;1;2;07;6424;05;1294,81494075396
4674414;1;1;1;70;2;8;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;64;05;1;1;07;0501;05;3342,59477669736
4674505;1;4;1;70;2;3;45;1; ;2;3;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;600000;2; ;99;95;45;1;1;07;4521;54;1330,34112938231
4674511;1;1;1;70;2;150;40;3; ;2;40;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;54;95;1;2;07;9500;54;756,889445882523
4674511;1;2;1;70;2;2;40;8; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;500000; ; ;62;62;01;1;1;07;0118;54;756,889445882523
4674512;1;1;1;70;2;2;50;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;600000;2; ;62;62;01;1;1;07;0140;54;1669,86836618703
4674535;1;3;1;70;2;5;40;1; ;2;5;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;300000;2; ;62;95;45;1;1;07;4521;54;1459,30254346903
