DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4731531;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;05;1304,33229495322
4731532;1;1;1;80;05;1;4;5; ;2; ; ;4; ;3; ;2; ;1;48;781242;3;1;10;05;1129,36575724287
4731533;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;10;05;1299,60469665687
4731533;1;2;1;80;05;1;4;6; ;1; ;4;5; ;1;1;2; ;1;48;98;1;1;10;05;1299,60469665687
4731533;1;5;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;10;05;1299,60469665687
4731534;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;05;1166,2437044988
4731534;1;2;1;80;05;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;05;1166,2437044988
4731535;1;4;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;10;05;1043,01242815539
4731535;1;5;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10;05;1043,01242815539
4731536;1;1;1;80;05;1;4;6; ;2; ; ;8; ;1; ;2; ;1;48;781242;2;1;10;05;857,640285051725
4731536;1;5;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;10;05;857,640285051725
4731537;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;10;05;1173,8774068508
4731537;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10;05;1173,8774068508
4731539;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;10;05;1097,15527026815
4731539;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;10;05;1097,15527026815
4731539;1;3;1;80;05;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;10;05;1097,15527026815
4731540;1;2;1;80;05;1;1;4; ;2; ; ;9; ;2; ;2; ;1;24;781242;2;1;10;05;1135,18916838378
4731542;1;2;1;80;05;1;2;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;10;05;1166,2437044988
4731543;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10;05;1231,95621869569
4731546;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10;05;1323,61357791013
4731547;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;05;570,365192956206
4731547;1;2;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;05;570,365192956206
