DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011;AREA
5080301;1;2;2;1;1;1;1;1;3;3; ; ; ; ;100000;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;6;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;12;76;4193,11901700753; 
5080302;1;3;2;1;1;1;1;1;3;1; ; ;98;150000; ;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;3;2; ;1;1;5;3;1;1;1;1;1;3;1;2;01;1;12;76;2417,85790812058; 
5080303;1;3;1;1;1;1;1;1;3;3; ; ; ; ;270000;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;1;2;1;5;1;1;1;1;1;3;1;2;01;1;12;76;3432,34428460222; 
5080306;1;2;1;1;1;1;1;1;4;4; ; ; ;200000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;2;1;1;2;1;1;3;1;2;01;1;12;76;3224,77926738621; 
5080308;1;3;2;1;1;1;1;1;3;4; ; ; ;200000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;3;2; ;1;2;1;2;1;1;1;1;1;3;1;2;01;1;12;76;4376,47672790261; 
5080309;1;3;1;1;1;1;1;1;4;3; ; ; ; ;200000;2;1;2;2;2;2;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;2;2;2; ;1;2;1;2;1;1;2;1;1;3;1;2;01;1;12;76;2726,89572448642; 
5080311;1;3;2;1;1;1;1;1;4;3; ; ; ; ;190000;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;2;1;2;1;1;2;1;1;3;1;2;01;1;12;76;4086,05061749755; 
5080314;1;4;3;1;1;1;1;1;4;3; ; ; ; ;300000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;4;2; ;1;1;1;4;1;1;2;1;1;3;1;2;01;1;12;76;5553,74480822358; 
5080315;1;2;1;1;1;1;1;1;3;4; ; ; ;150000; ;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;2;1;4;1;1;1;1;1;3;1;2;01;1;12;76;3224,77926738621; 
5080316;1;4;3;1;1;1;1;1;3;4; ; ; ;250000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;12;76;2936,22723294282; 
