DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
4953629;1;1;1;10;1;1;7;1937;82;1;3;3; ;3; ;1;2;1; ; ;1;2;99400;2;1;2; ;6;5;4; ;05;16;07;05;1138,45744671974
4953629;1;2;1;10;2;2;1;1948;71;2;3;3; ;3; ;1;1;1; ; ;1;2;99400;2;1;2; ;5;11;2; ;05;11;07;05;1138,45744671974
4953629;1;3;1;10;3;1;12;1974;44;3;4;1;1;1;2; ; ;1; ; ;1;1;33125;2;1;2; ;6;5;4; ;05;16;07;05;1138,45744671974
4953630;1;1;1;10;1;1;7;1955;64;1;3;3; ;3; ;1;2;1; ; ;1;2;100000;2;1;2; ;6;2;3; ;05;13;07;05;1138,45744671974
4953630;1;2;1;10;2;2;5;1959;60;2;3;3; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;6;5;4; ;05;16;07;05;1138,45744671974
4953630;1;3;1;10;3;1;7;1987;31;3;6;1;1;1;2; ; ;1; ; ;1;1;35000;2;1;2; ;6;5;4; ;05;16;07;05;1138,45744671974
4953631;1;1;1;10;1;1;7;1956;62;1;3;3; ;3; ;1;2;1; ; ;1;1;168000;2;1;2; ;6;3;3; ;05;14;07;05;1155,64792071538
4953631;1;2;1;10;2;2;6;1957;62;2;3;2; ;2; ;1;1;1; ; ;1;2;305000;2;1;2; ;6;1;3; ;05;12;07;05;1155,64792071538
4953631;1;3;1;10;3;2;7;1984;34;3;6;1;1;1;2; ; ;1; ; ;1;3;103514;2;1;2; ;6;5;4; ;05;16;07;05;1155,64792071538
4953632;1;1;1;10;1;1;1;1984;35;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;07;05;1402,25822383092
4953632;1;2;1;10;2;2;10;1978;40;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;07;05;1402,25822383092
4953632;1;3;1;10;2;1;9;2009;9;5; ;2; ;2; ; ; ;1; ; ;1;5; ;2;1;1;1;3;3; ; ;05;3;07;05;1402,25822383092
4953633;1;1;1;10;1;1;9;1991;27;1;6;2; ;2; ; ; ;1; ; ;1;1;40000;2;1;1;2;6;4;2;2;05;15;07;05;1106,54152424537
4953634;1;1;1;10;1;2;12;1975;43;1;6;2; ;2; ; ; ;1; ; ;1;1;33125;2;1;2; ;4;9; ; ;05;9;07;05;1160,80113324136
4953634;1;2;1;10;1;2;4;2012;7;3; ;2; ;1;1; ; ;1; ; ;1;5; ;2;1;1;1;3;1; ; ;05;1;07;05;1160,80113324136
4953635;1;1;1;10;1;2;3;1975;44;1;6;3; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;05;8;07;05;1420,87823851371
4953635;1;2;1;10;2;1;6;1994;25;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;05;2;07;05;1420,87823851371
4953635;1;3;1;10;3;1;5;2000;19;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;07;05;1420,87823851371
4953635;1;4;1;10;1;1;4;2011;8;3; ;2; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;05;2;07;05;1420,87823851371
4953636;1;1;1;10;1;2;3;1972;47;1;4;2; ;2; ; ; ;1; ; ;1;1;33125;2;1;2; ;4;7; ; ;05;7;07;05;951,271537999463
4953636;1;2;1;10;2;2;9;1999;19;3;6;2; ;1;1; ; ;1; ; ;1;5; ;2;1;1;1;6;2;3; ;05;13;07;05;951,271537999463
4953636;1;3;1;10;3;2;10;2006;12;3;6;2; ;1;1; ; ;1; ; ;2;5; ;2;1;1;1;4;0; ; ;05;5;07;05;951,271537999463
4953636;1;4;1;10;4;2;5;2009;10;3;6;2; ;1;1; ; ;1; ; ;2;5; ;2;1;1;1;3;4; ; ;05;4;07;05;951,271537999463
4953637;1;1;1;10;1;1;2;1947;72;1;3;3; ;3; ;1;2;1; ; ;1;5; ;2;1;2; ;6;2;2;2;05;13;07;05;1201,98823190387
4953637;1;2;1;10;2;2;5;1949;70;2;3;3; ;3; ;1;1;1; ; ;1;2;550000;2;1;2; ;6;6;5; ;05;17;07;05;1201,98823190387
4953638;1;1;1;10;1;2;4;1995;24;1;2;2; ;2; ;1;2;1; ; ;1;1;33125;2;1;2; ;5;11;2; ;05;11;07;05;1038,84586162477
4953638;1;2;1;10;2;1;6;1988;31;2;2;2; ;2; ;1;1;1; ; ;1;1;33125;2;1;2; ;5;11;2; ;05;11;07;05;1038,84586162477
4953638;1;3;1;10;1;2;6;2015;4;3; ;1;2;1;1; ; ;1; ; ;1;5; ;2;2;2; ;1;0; ; ;05;0;07;05;1038,84586162477
