DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
4953521;1;1;1;50; ;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;68;1032,04600319239
4953521;1;2;1;50; ;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;68;1032,04600319239
4953521;1;3;1;50; ;1; ; ;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;68;1032,04600319239
4953521;1;4;1;50; ;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;68;1032,04600319239
4953521;1;5;1;50; ;1; ; ;4;6;JUGANDO FUTBOL;2;2;2;2;2; ; ; ; ; ; ; ;07;1;68;1032,04600319239
4953522;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;1;11; ; ; ; ; ; ;07;1;68;1571,68003783005
4953523;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;68;1500,44111782257
4953523;1;2;1;50; ;1;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;68;1500,44111782257
4953523;1;3;1;50; ;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;68;1500,44111782257
4953524;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;68;2356,21771308711
4953524;1;2;1;50; ;1;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;68;2356,21771308711
4953525;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;68;2750,02788485669
4953525;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;68;2750,02788485669
4953525;1;3;1;50; ;1; ; ;2;6;VACACIONES ESCOLARES;2;2;2;2;2; ; ; ; ; ; ; ;07;1;68;2750,02788485669
4953526;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;68;2661,97381905167
