DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
4928947;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;2276,73083869042
4928947;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06;1;05;2276,73083869042
4928948;1;1;1;50;05;1; ; ;1;6;A DESCANSAR;1; ; ; ; ; ; ; ; ; ; ; ;06;1;05;1243,43796120747
4928948;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;1243,43796120747
4928949;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;1145,12187653438
4928949;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;06;1;05;1145,12187653438
4928949;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;1145,12187653438
4928949;1;4;1;50;05;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06;1;05;1145,12187653438
4928950;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;1167,71645750591
4928950;1;2;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;1167,71645750591
4928951;1;1;1;50;05;1; ; ;1;6;HACER VUELTAS DEL HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;06;1;05;1353,03030581248
4928951;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06;1;05;1353,03030581248
4928951;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;1353,03030581248
4928951;1;5;1;50;05;1;4; ;5;3; ;2;2;2;1; ; ; ; ; ; ; ;1;06;1;05;1353,03030581248
4928951;1;6;1;50;05;1; ; ;6;6;ENFERMO;2;2;2;2;2; ; ; ; ; ; ; ;06;1;05;1353,03030581248
4928952;1;1;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06;1;05;955,115757756642
4928952;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;955,115757756642
4928952;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;955,115757756642
4928952;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06;1;05;955,115757756642
4928952;1;5;1;50;05;1; ; ;5;3; ;2;2;1; ; ; ; ; ; ; ; ; ;06;1;05;955,115757756642
4928954;1;1;1;50;05;1; ; ;1;6;CAMINAR;1; ; ; ; ; ; ; ; ; ; ; ;06;1;05;1198,88416090317
4928954;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06;1;05;1198,88416090317
