DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4854435;1;7;1;70;1;48;30;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;53; ; ;1;2;03; ;76;2872,16897264348; 
4854440;1;3;1;70;1;10;60;4; ;2;10;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;95;95;45;1;1;03;4521;76;1940,77067146021; 
4854453;1;1;1;70;1;55;30;1; ;2;54;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;825000;2; ;55;21;64;1;2;03;6422;76;4294,29163464131; 
4854453;1;6;1;70;1;12;40;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;45;45;52;1;1;03;5211;76;4294,29163464131; 
4854455;1;4;1;70;1;17;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;32;45;52;1;2;03;5233;76;3343,09321064824; 
4854457;1;2;1;70;1;54;30;1; ;2;130;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;53;53;55;1;2;03;5529;76;1909,74441157318; 
4854457;1;3;1;70;1;12;40;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;98;98;60;1;1;03;6021;76;1909,74441157318; 
4854458;1;3;1;70;1;15;48;1; ;2;17;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;97;97;63;1;2;03;6310;76;2613,8888032735; 
4854463;1;2;1;70;1;32;30;4; ;2;45;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;41;41;52;1;2;03;5221;76;3049,0687288986; 
4854467;1;2;1;70;1;16;48;1; ;2;40;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;55;55;90;1;2;03;9000;76;2831,45792258836; 
4854487;1;1;1;70;1;9;48;4; ;2;9;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;79;79;18;1;1;03;1810;05;995,875933632035;05
4854488;1;3;1;70;1;52;48;1; ;2;6;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;11;11;24;1;2;03;2411;05;1220,10282525311;05
4854493;1;5;1;70;1;10;48;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;39;03;74;1;1;03;7421;05;1436,49145337451;05
4854513;1;3;1;70;1;2;48;1; ;2;96;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;53;54;55;1;1;03;5511;05;925,680629990808;05
4854513;1;4;1;70;1;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;39; ; ;1;2;03; ;05;925,680629990808;05
4854513;1;5;1;70;1;120;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;38; ; ;1;2;03; ;05;925,680629990808;05
4854518;1;2;1;70;1;12;40;1; ;2;20;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;8000000;2; ;21;21;24;1;1;03;2423;05;1268,98383767525;05
4854521;1;2;1;70;1;3;40;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;39;39;72;1;1;03;7230;05;1138,11306576782;05
4854529;1;2;1;70;1;2;48;1; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;1000000;2; ;45;45;52;1;1;03;5241;05;1074,15221641831;05
