DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;P6430;OFICIO;RAMA2D;OCI;MES;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;DPTO;fex_c_2011
4864721;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;360; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;11900;1;98;3; ;12;1;1;0;1;0;3;1;1;70; ;.;0;7;POR RESPONSABILIDADES FAMILIARES;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;1;76;0;4; ;0;1;1; ;3;2;2; ; ; ;1;1;1;1;2;2;2;2;1;1;1;POR PROBLEMAS DE SALUD;2;1;1;2;2;2;2;1;5; ;4;71;14;1;03;1411; ; ;11900;76;1831,39345498309
4864721;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;11900;1;98;3; ;12;1;1;0;1;0;3;1;1;40; ;.;0;7;RESPONSABILIDADES FAMILIARES;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;3;2; ; ; ;1;1;1;1;1;2;2;2;1;1;2; ;2;1;1;2;1;2;1;1;5; ;4;71;14;1;03;1411; ; ;11900;76;1831,39345498309
4864722;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;440000;1;98;3; ;12;1;1;1;0;0;3;1;1;14;1; ;14; ; ;2;6; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;96;4; ;1;76;7;4; ;0;1;1;13;11;3;1;15;2;1;1;1;2;1;2;2;2;2;2;2;2; ;2;1;1;2;1;2;1;1;9; ;5;53;55;1;03;5529; ; ;440000;76;2637,05560399218
4864723;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;1;1;56; ;1; ;2;1500000;2; ; ;2; ;2; ;2; ;2; ;1;98;2;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;1400000;1;98;1;98;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;7; ;1; ;1;2;1;4;1;1; ;1; ; ; ; ; ; ;1;1;1;0;360;4; ;2; ; ; ; ; ; ; ;8;3;20;1;20;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;8; ;2;55;80;1;03;8043; ; ;1500000;76;2306,09295913254
4864724;1;2;1;60;2;76;1;1; ; ;1; ; ;1;2;2;2;2; ;1; ;2;700000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;11; ; ; ; ; ; ; ; ;43; ;.;43; ; ;3;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;0;8; ;2; ; ; ; ; ; ; ;3;3;60;1;5;2;1;1;1;2;1;2;2;2;2;2;2;2; ;2;1;1;2;1;2;1;1;2; ;8;62;01;1;03;0111; ; ;700000;76;3005,6171218425
4864724;1;3;1;60;2;76;1;1; ; ;1; ; ;1;2;2;2;5; ;7;LE OFRECIERON EL TRABAJO;2;480000;2; ; ;1;160000;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;11; ; ; ; ; ; ; ; ;45; ;.;45; ; ;3;8; ;7; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;3;8; ;2; ; ; ; ; ; ; ;1;3;50;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;8;62;01;1;03;0111; ; ;640000;76;3005,6171218425
4864995;1;1;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;228; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;3;550000;1;6600000;3; ;12;1;2;0;0;2;3;3;2;50; ;.;50; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;84;6; ;2; ; ; ; ; ; ; ;10;3;2;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;4;61;01;1;03;0111; ; ;550000;68;1494,21268742101
4864995;1;2;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;228; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;18;2; ;18; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;60;6; ;2; ; ; ; ; ; ; ;9;3;2;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;6;62;01;1;03;0111; ; ; ;68;1494,21268742101
4864995;1;3;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;50; ;.;50; ; ;2;8; ;5; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;24;1; ;2; ; ; ; ; ; ; ;1;3;2;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;2;3; ;6;62;01;1;03;0111; ; ; ;68;1494,21268742101
4864996;1;1;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;108; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;520000;1;6240000;3; ;12;2; ; ; ; ;2;1;2;64; ;.;64; ; ;1;8; ;5; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;1;1; ;2; ; ; ; ; ; ; ;9;11;10;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;4;61;01;1;03;0116; ; ;520000;68;1730,45590001854
