DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
5030395;1;3;1;70;05;1;48;1; ;2;1;1; ;4;2;3; ; ; ; ; ;1; ; ; ; ; ;2; ;1200000;2; ;39;39;74;1;1;7430;10;05;1141,33345052339
5030395;1;4;1;70;05;20;48;1; ;2;20;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;42;45;51;1;2;5125;10;05;1141,33345052339
5030403;1;3;1;70;05;13;48;1; ;2;13;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;1;4521;10;05;1241,16459012388
5030419;1;2;1;70;05;3;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1; ;10;05;977,411372161979
5030425;1;1;1;70;05;16;48;3; ;2;120;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;54;54;95;1;2;9500;10;05;1460,09977868366
5030430;1;3;1;70;05;28;48;1; ;2;28;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;55;54;95;1;2;9500;10;05;673,51187915683
5030432;1;2;1;70;05;12;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;1;4521;10;05;1220,58794407581
5030437;1;3;1;70;05;4;48;1; ;2;14;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;93;93;45;1;1;4552;10;05;1136,81004935308
5030444;1;5;1;70;05;52;48;1; ;2;79;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;1;2;21;45;18;1;2;1810;10;05;580,231737941893
5030445;1;1;1;70;05;24;48;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;95;95;45;1;2;4521;10;05;2284,73974240513
5030460;1;2;1;70;05;52;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;13;05;91;1;2;9199;10;05;600,619467412734
5030468;1;4;1;70;05;40;48;1; ;2;40;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;58;58;74;1;2;7492;10;05;1323,90606416744
5030471;1;4;1;70;05;24;48;1; ;2;110;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;19;45;26;1;2;2693;10;05;892,839723837312
5030480;1;2;1;70;05;8;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;97;97;45;1;1;4521;10;05;1902,0761625278
5030484;1;1;1;70;05;24;48;1; ;2;24;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;13;13;80;1;2;8042;10;05;1127,54426312253
5030486;1;5;1;70;05;12;48;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;55;45;52;1;1;5262;10;05;654,162869906489
5030491;1;1;1;70;05;24;48;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;2;4521;10;05;2261,20640898916
5030492;1;2;1;70;05;8;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;32;45;52;1;1;5233;10;05;2369,89773389436
5030495;1;4;1;70;05;2;48;1; ;2;2;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;1;150000;828116;2; ;85;93;45;1;1;4552;10;05;2517,28707730024
5030496;1;2;1;70;05;3;48;1; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;560000;828116;2; ;57;57;93;1;1;9302;10;05;1286,86524775537
5030505;1;3;1;70;05;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;53;55;1;1;5530;10;05;2102,69742188432
5030505;1;4;1;70;05;4;48;1; ;2;4;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;58;33;55;1;1;5530;10;05;2102,69742188432
5030511;1;3;1;70;05;2;48;1; ;2;2;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;828116;2; ;53;79;18;1;1;1810;10;05;2155,47909145605
5030511;1;4;1;70;05;3;48;1; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;53;53;15;1;1;1551;10;05;2155,47909145605
5030513;1;1;1;70;05;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;45;45;52;1;1;5237;10;05;1127,54426312253
5030515;1;3;1;70;05;105;48;1; ;2;36;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;13;13;80;1;2;8060;10;05;1195,67911297599
5030519;1;3;1;70;05;8;24;1; ;2;8;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;33;45;52;1;1;5233;10;05;1869,49602677123
5030528;1;1;1;70;05;16;48;1; ;2;16;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;32;40;51;1;2;5141;10;05;998,4850521756
5030528;1;2;1;70;05;8;48;1; ;2;8;1; ;5;2;7; ; ; ; ; ; ; ; ; ; ;1;1;70000;828116;2; ;45;45;51;1;1;5139;10;05;998,4850521756
