DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
5040182;1;1;1;10;1;2;3;1951;68;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;10;23;1761,57750175874
5040182;1;2;1;10;1;1;1;1990;29;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;10;23;1761,57750175874
5040183;1;1;1;10;1;1;1;1982;37;1;2;2; ;1;5;1;2;1; ; ;3; ; ;2;1;2; ;6;5;4; ;2;16;10;23;1057,61817015406
5040183;1;2;1;10;2;2;3;1985;34;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;10;23;1057,61817015406
5040183;1;3;1;10;3;1;10;2004;15;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;10;23;1057,61817015406
5040183;1;4;1;10;2;2;11;2015;3;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;10;23;1057,61817015406
5040183;1;5;1;10;5;2;1;1967;52;5;2;3; ;2; ;2; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;10;23;1057,61817015406
5040184;1;1;1;10;1;1;5;1963;56;1;2;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;10;23;916,111212728561
5040184;1;2;1;10;2;2;3;1970;49;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;10;23;916,111212728561
5040184;1;3;1;10;3;2;6;2004;15;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;10;23;916,111212728561
5040184;1;4;1;10;4;2;3;2008;11;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;10;23;916,111212728561
5040186;1;1;1;10;1;1;1;1963;56;1;2;3; ;2; ;1;2;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;10;23;916,111212728561
5040186;1;2;1;10;2;2;1;1965;54;2;2;3; ;3; ;1;1;1; ; ;1;1;33600;2;1;2; ;6;2;3; ;2;13;10;23;916,111212728561
5040186;1;3;1;10;3;2;9;1991;28;3;6;1;1;1;2; ; ;1; ; ;1;3;103500;2;1;2; ;6;5;4; ;2;16;10;23;916,111212728561
5040186;1;4;1;10;4;1;1;1994;25;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;10;23;916,111212728561
5040186;1;5;1;10;5;1;7;2003;16;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;4;9; ; ;2;9;10;23;916,111212728561
5040187;1;1;1;10;1;1;3;1980;39;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;10;23;2625,73039254199
5040187;1;2;1;10;2;2;7;1986;33;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;10;23;2625,73039254199
5040187;1;3;1;10;3;2;4;2002;17;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;10;23;2625,73039254199
5040187;1;4;1;10;4;1;12;2003;15;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;10;23;2625,73039254199
5040187;1;5;1;10;5;2;5;2006;13;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;10;23;2625,73039254199
5040187;1;6;1;10;6;1;5;2008;11;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;10;23;2625,73039254199
