directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P6500;P6750;P6760;Oci;Mes;area;dpto;clase;fex_c_2011
43;9;1;45;11;1103;1;48;0;6;1450000; ; ;1;03;11;11;1;1627,35531896302
47;1;1;97;84;8412;2;48;0;1;2600000; ; ;1;03;68;68;1;384,803411696141
48;1;1;37;53;5320;1;40;40; ;900000; ; ;1;03;23;23;1;141,544536872019
72;1;1;39;84;8422;2;48;48; ;1600000; ; ;1;03;54;54;1;657,78999366551
75;1;1;12;84;8413;4;48;38;7; ;2500000;1;1;03;44;44;1;66,6350306082924
84;1;2;33;49;4921;4;60;0;6; ;500000;1;1;03;54;54;1;270,652184098254
84;1;4;55;86;8621;1;48;48; ;877800; ; ;1;03;54;54;1;270,652184098254
101;1;2;97;43;4329;4;54;20;6; ;950000;1;1;03;54;54;1;465,297252017463
102;1;1;45;45;4511;1;48;48; ;877803; ; ;1;03;23;23;1;112,164319931191
102;1;3;59;96;9609;4;4;2;6; ;40000;1;1;03;23;23;1;112,164319931191
103;1;1;53;56;5611;4;36;12;6; ;300000;1;1;03;68;68;1;550,854992360948
105;1;1;55;81;8121;4;25;25; ; ;600000;1;1;03;54;54;1;583,993326205064
107;1;1;95;41;4111;4;32;32; ; ;320000;1;1;03;54;54;1;503,259324060996
110;1;3;39;96;9609;1;48;48; ;400000; ; ;1;03;44;44;1;33,251828969634
112;1;1;95;42;4210;1;52;0;7;1200000; ; ;1;03;68;68;1;574,781729460535
112;1;2;53;56;5611;4;25;25; ; ;200000;1;1;03;68;68;1;574,781729460535
112;1;3;97;77;7730;1;60;50;7;1000000; ; ;1;03;68;68;1;574,781729460535
112;1;6;95;37;3700;1;68;0;7;1400000; ; ;1;03;68;68;1;574,781729460535
115;1;1;41;47;4711;4;77;77; ; ;420000;1;1;03;54;54;1;487,538808075176
115;1;2;77;10;1081;4;4;1;6; ;30000;1;1;03;54;54;1;487,538808075176
115;1;4;57;96;9602;4;77;11;6; ;200000;1;1;03;54;54;1;487,538808075176
124;1;2;55;81;8121;4;66;66; ; ;800000;1;1;03;68;68;1;550,854992360948
127;1;1;98;49;4923;1;48;48; ;1200000; ; ;1;03;08;08;1;760,179638563845
127;1;2;33;25;2511;1;48;40;6;1500000; ; ;1;03;08;08;1;760,179638563845
129;1;2;77;56;5619;4;3;3; ; ;4000;1;1;03;68;68;1;617,45084924644
131;1;1;55;86;8621;1;48;48; ;0; ; ;1;03;68;68;1;606,579166271626
131;1;3;95;41;4111;1;40;16;6;90000; ; ;1;03;68;68;1;606,579166271626
131;1;4;77;56;5619;4;24;8;6; ;400000;1;1;03;68;68;1;606,579166271626
133;1;1;58;85;8530;2;48;48; ;1801651; ; ;1;03;27;27;1;81,8956203075883
139;1;1;39;94;9499;2;40;40; ;980; ; ;1;03;44;44;1;48,2381884786047
139;1;2;98;49;4921;4;50;30;7; ;900;1;1;03;44;44;1;48,2381884786047
145;1;1;58;84;8423;2;48;48; ; ; ; ;1;03;44;44;1;99,2328448702723
150;1;1;98;49;4921;4;40;0;6; ;650000;1;1;03;17;17;1;72,6438012241939
152;1;1;83;25;2511;4;48;0;6; ;500000;1;1;03;68;68;1;611,220579377063
152;1;2;80;15;1522;4;40;0;7; ;400000;1;1;03;68;68;1;611,220579377063
152;1;3;59;86;8691;1;48;48; ;1000000; ; ;1;03;68;68;1;611,220579377063
152;1;5;95;42;4210;1;48;48; ;980000; ; ;1;03;68;68;1;611,220579377063
154;1;1;45;47;4789;4;48;24;6; ;600000;1;1;03;68;68;1;431,724951345309
159;1;2;95;41;4111;4;50;10;6; ;800000;1;1;03;63;63;1;60,051799234143
159;1;3;18;85;8530;1;48;48; ;1800000; ; ;1;03;63;63;1;60,051799234143
161;1;1;44;68;6820;4;8;0;7; ;1000000;1;1;03;68;68;1;901,262359372771
161;1;2;16;94;9412;4;25;15;7; ;170000;1;1;03;68;68;1;901,262359372771
162;1;1;39;65;6511;1;40;40; ;1700000; ; ;1;03;44;44;1;79,998059387965
164;1;2;45;56;5619;4;36;10;7; ;480000;1;1;03;50;50;1;113,286379945533
165;1;1;45;47;4759;1;48;0;1;927000; ; ;1;03;68;68;1;861,542641353832
168;1;2;03;43;4322;4;60;60; ; ;900000;1;1;03;23;23;1;155,090707341567
169;1;1;95;41;4111;1;49;49; ;50000; ; ;1;03;68;68;1;779,200443365366
169;1;2;41;47;4711;4;48;48; ; ;100000;1;1;03;68;68;1;779,200443365366
170;1;2;55;86;8610;1;48;0;1;877803; ; ;1;03;23;23;1;271,497568730277
171;1;1;53;56;5611;1;56;16;6;900000; ; ;1;03;73;73;1;168,26127483158
172;1;1;45;47;4771;1;33;0;7;175000; ; ;1;03;68;68;1;506,499494556187
172;1;2;98;46;4631;1;72;84; ;980000; ; ;1;03;68;68;1;506,499494556187
174;1;1;45;47;4781;4;72;24;7; ;400000;1;1;03;05;05;1;938,394398914889
177;1;2;41;47;4719;4;48;48; ; ;1500000;1;1;03;13;13;1;314,839004623142
184;1;1;79;14;1410;4;60;0;6; ;650000;1;1;03;73;73;1;382,736435402009
185;1;2;41;47;4711;4;70;40;6; ;300000;1;1;03;63;63;1;51,9721188616001
187;1;1;98;49;4921;4;48;48; ; ;1200000;1;1;03;13;13;1;328,332425814115
189;1;1;53;56;5619;4;42;42; ; ;450000;1;1;03;44;44;1;71,9982534491686
191;1;1;12;69;6910;4;40;0;6; ;1500000;1;1;03;73;73;1;461,516639538047
192;1;1;21;52;5221;1;40;32;6;900000; ; ;1;03;66;66;1;400,491975371964
194;1;1;53;56;5619;4;48;0;7; ;600000;1;1;03;68;68;1;307,745123611008
195;1;2;98;49;4921;4;66;20;7; ;600000;1;1;03;23;23;1;253,290015460468
197;2;1;97;31;3110;1;50;27;7;920; ; ;1;03;66;66;1;372,132379986271
199;1;1;98;49;4921;4;84;20;7; ;400000;1;1;03;44;44;1;270,124933219309
199;1;2;53;56;5611;4;48;21;7; ;480000;1;1;03;44;44;1;270,124933219309
202;1;1;44;68;6820;4;12;0;6; ;100000;1;1;03;73;73;1;134,598568601049
205;1;2;45;47;4781;4;40;40; ; ;300000;1;1;03;68;68;1;686,193348281045
205;1;3;34;63;6311;1;45;45; ;978000; ; ;1;03;68;68;1;686,193348281045
208;1;1;44;66;6614;4;50;50; ; ;5000000;1;1;03;68;68;1;1025,66147647628
211;1;1;77;56;5619;4;14;10;6; ;12000;1;1;03;70;70;1;100,556070601797
215;1;1;49;77;7729;4;36;36; ; ;350000;1;1;03;70;70;1;91,1807527095298
218;1;1;45;47;4792;4;20;20; ; ;100000;1;1;03;70;70;1;89,6739632645419
218;1;2;13;85;8559;4;127;0;5; ;200000;1;1;03;70;70;1;89,6739632645419
218;1;3;54;97;9700;3;50;30;5;250000; ; ;1;03;70;70;1;89,6739632645419
220;1;1;98;49;4921;4;48;48; ; ;1000000;1;1;03;13;13;1;360,257563838668
221;1;1;56;96;9601;4;28;0;6; ;320000;1;1;03;54;54;1;222,640387972128
222;1;1;87;49;4921;1;48;48; ;877803; ; ;1;03;05;05;1;899,135487762616
224;1;1;55;81;8121;4;30;30; ; ;720000;1;1;03;47;47;1;76,836222333021
224;1;2;87;45;4520;4;66;66; ; ;600000;1;1;03;47;47;1;76,836222333021
228;2;3;33;69;6910;1;48;25;6;1600000; ; ;1;03;05;05;1;2991,32927865486
230;1;1;53;56;5619;4;54;54; ; ;300000;1;1;03;63;63;1;56,5123227678522
232;1;1;13;85;8530;2;40;27;7;2200000; ; ;1;03;63;63;1;69,5609205777875
233;1;1;12;69;6910;4;48;24;6; ;1500000;1;1;03;63;63;1;143,588226826348
234;1;1;53;56;5611;1;48;40;7;962000; ; ;1;03;66;66;1;267,920811982212
234;1;6;79;14;1410;1;48;12;7;877803; ; ;1;03;66;66;1;267,920811982212
235;1;1;79;14;1410;4;10;10; ; ;80000;1;1;03;73;73;1;90,8139790731865
236;1;2;45;47;4774;1;48;48; ;1100000; ; ;1;03;13;13;1;380,603642595711
241;1;3;59;90;9008;4;4;0;7; ;80000;1;1;03;54;54;1;304,596385176473
248;1;1;21;86;8610;1;60;60; ;11411439; ; ;1;03;68;68;1;1025,66147647628
248;1;2;12;84;8424;2;50;50; ;3000000; ; ;1;03;68;68;1;1025,66147647628
249;1;2;79;14;1410;1;48;40;7;1200000; ; ;1;03;05;05;1;972,94958453578
249;1;3;38;82;8220;1;42;42; ;900000; ; ;1;03;05;05;1;972,94958453578
254;1;1;45;21;2100;1;55;55; ;1200000; ; ;1;03;63;63;1;57,4511752379698
256;1;2;97;22;2229;1;48;0;1;877803; ; ;1;03;66;66;1;614,197634583875
256;1;3;97;47;4711;1;48;24;1;877803; ; ;1;03;66;66;1;614,197634583875
256;1;4;57;96;9602;4;40;0;6; ;100000;1;1;03;66;66;1;614,197634583875
258;1;1;41;47;4722;4;60;60; ; ;600000;1;1;03;44;44;1;77,4928489590691
258;2;1;41;47;4722;4;60;60; ; ;600000;1;1;03;44;44;1;77,4928489590691
259;1;1;41;47;4759;4;30;30; ; ;1900000;1;1;03;68;68;1;837,399321145756
260;1;3;45;47;4792;4;12;0;7; ;300000;1;1;03;68;68;1;396,205397601406
262;1;1;19;84;8424;1;48;30;5;877803; ; ;1;03;68;68;1;691,998739998062
262;1;2;19;41;4111;1;48;0;6;1100000; ; ;1;03;68;68;1;691,998739998062
263;1;2;97;47;4711;1;48;48; ;1100000; ; ;1;03;05;05;1;867,837711118043
264;1;1;55;81;8121;4;40;8;6; ;600000;1;1;03;68;68;1;451,415230736764
267;1;4;79;14;1410;4;60;60; ; ;700000;1;1;03;54;54;1;230,55590498036
269;1;1;13;85;8530;2;30;15;6;5100000; ; ;1;03;68;68;1;575,554419189376
271;1;2;45;47;4711;1;48;48; ;877803; ; ;1;03;63;63;1;154,324174741756
272;1;1;50;56;5611;1;60;40;5;1200000; ; ;1;03;47;47;1;88,1589326673438
273;1;1;55;81;8121;4;42;0;6; ;700000;1;1;03;73;73;1;458,672143562571
273;1;2;33;47;4721;1;72;60;6;877803; ; ;1;03;73;73;1;458,672143562571
276;1;1;44;68;6820;4;60;60; ; ;500000;1;1;03;23;23;1;138,41863764826
278;1;1;41;47;4774;4;60;0;5; ; ;1;1;03;47;47;1;51,6372695107528
278;1;2;16;47;4774;4;60;0;5; ;900000;1;1;03;47;47;1;51,6372695107528
280;1;1;54;81;8121;4;20;0;5; ;200000;1;1;03;05;05;1;752,580090001698
280;1;4;38;46;4649;1;48;48; ;878000; ; ;1;03;05;05;1;752,580090001698
282;1;1;54;97;9700;3;48;40;1;450000; ; ;1;03;05;05;1;783,182968095888
283;1;1;62;81;8130;1;48;0;6;877803; ; ;1;03;05;05;1;943,241615385183
283;1;2;39;10;1011;1;48;56; ;980000; ; ;1;03;05;05;1;943,241615385183
285;1;3;39;86;8621;1;50;35;6;1100000; ; ;1;03;76;76;1;1150,93376092561
289;1;1;45;26;2630;1;48;40;5;877800; ; ;1;03;54;54;1;471,888379227737
289;1;2;45;26;2630;1;48;40;5;877800; ; ;1;03;54;54;1;471,888379227737
289;1;5;58;84;8423;2;48;48; ;1600000; ; ;1;03;54;54;1;471,888379227737
290;1;1;41;47;4711;4;60;15;6; ;700000;1;1;03;73;73;1;97,7519065574599
290;1;2;45;47;4711;6;60;15;6; ; ; ;1;03;73;73;1;97,7519065574599
290;1;4;98;49;4921;1;60;20;5;1000000; ; ;1;03;73;73;1;97,7519065574599
292;1;1;45;47;4711;1;68;50;6;1040000; ; ;1;03;13;13;1;622,906447998738
292;1;5;45;47;4711;1;68;50;6;800000; ; ;1;03;13;13;1;622,906447998738
