DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5272752;1;1;1;70;68;1;16;60;1; ;2;16;1; ;9;1;3; ; ;1; ; ; ; ; ; ; ; ;2; ;1200000;1;2;80;58;58;1;2;11;8010;68;497,909418203058
5272755;1;1;1;70;68;1;24;48;1; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;350000;877803;2; ;41;95;95;1;2;11;4111;68;481,251402690408
5272755;1;3;1;70;68;1;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877803; ; ; ;03; ;1;2;11;.;68;481,251402690408
5272783;1;3;1;70;68;1;75;48;2; ;2;75;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;69;12;12;1;2;11;6910;68;634,464899106751
5272783;1;4;1;70;68;1;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ; ;03; ;1;2;11;.;68;634,464899106751
5272787;1;3;1;70;19;1;16;60;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;890000;2; ;47;45;45;1;2;11;4771;19;133,291147510931
5272788;1;2;1;70;19;1;36;48;1; ;2;40;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;94;05;03;1;2;11;9499;19;153,111304043014
5272789;1;1;1;70;19;1;1;24;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;480000;2; ;55;39;39;1;1;11;5511;19;153,373026647866
5272795;1;4;1;70;05;1;52;48;1; ;2;129;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;13;12;12;1;2;11;1392;05;1152,47386869636
5272803;1;2;1;70;19;1;24;45;1; ;2;53;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;53;53;1;2;11;5611;19;237,543955189652
5272807;1;1;1;70;05;1;40;48;1; ;2;40;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;5000000;1;2;47;11;11;1;2;11;4723;05;1000,29468156678
5272816;1;2;1;70;17;1;78;40;1; ;2;108;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;36;02;02;1;2;11;3600;17;135,830005838717
5272823;1;2;1;70;17;1;8;24;1; ;2;48;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;56;45;53;1;1;11;5611;17;170,720862596683
