DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;CLASE;MES;DPTO;fex_c_2011
5272752;1;4;3;1;1;1;1;1;3;1; ; ;98;700000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;3;4;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;68;1;11;68;497,909418203058
5272753;1;5;3;1;1;1;1;1;3;1; ; ;200000000;800000; ;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;2;2;1;2;5;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;68;1;11;68;600,637875581613
5272754;1;3;2;1;1;1;1;1;3;1; ; ;190000000;800000; ;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;68;1;11;68;445,928874260696
5272755;1;5;3;1;1;1;1;1;3;1; ; ;98;550000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;3;5;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;68;1;11;68;481,251402690408
5272756;1;5;2;1;1;1;1;1;3;3; ; ; ; ;520000;2;2;1;1;1;1;2;2;2;1;1;2;1;2;2;2;1;1;1;2;2;1;2;2;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;68;1;11;68;428,509130823892
5272757;1;5;1;1;1;1;1;1;3;1; ; ;150000000;600000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;68;1;11;68;445,928874260696
5272758;1;9;4;1;1;1;1;1;3;2; ;604000;140000000;600000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;4;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;68;1;11;68;493,542452761554
5272763;1;3;2;1;1;1;1;1;3;3; ; ; ; ;450000;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;1;1;3;1;1;1;2;1;4;1;3;1;1;1;3;1;1;01;68;1;11;68;515,800765672643
5272769;1;3;1;1;1;1;1;1;3;1; ; ;80000000;98; ;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;2;2;2;2;1;2;2;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;54;1;11;54;296,489229521635
5272775;1;3;2;1;1;1;1;1;3;1; ; ;190000000;500000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;50;1;11;50;177,885263515647
5272776;1;3;1;1;1;1;1;6; ;1; ; ;150000000;500000; ;2;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;1;1;1;2; ;1;1;1;2;1;2;2;1;1;3;1;2;01;50;1;11;50;242,841624530338
5272780;1;3;2;1;1;1;1;1;4;3; ; ; ; ;500000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;1;2;1;2;3;2; ;1;2;1;4;1;2;2;1;1;3;1;2;01;50;1;11;50;294,636646417578
5272783;1;5;3;1;1;1;1;1;3;3; ; ; ; ;1500000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;1;2;4;2; ;1;2;1;4;1;6;1;1;1;3;1;1;01;68;1;11;68;634,464899106751
5272784;1;5;3;1;1;1;1;1;3;3; ; ; ; ;600000;1;2;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;1;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;68;1;11;68;558,373859054878
5272785;1;5;5;3;1;1;1;1;3;5; ; ; ;99; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;4;4;2; ;1;1;1;4;1;1;1;2;1;3;1;1;01;19;1;11;19;172,202968215508
5272786;1;1;1;1;1;1;1;6; ;3; ; ; ; ;130000;2;1;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;3;1;4;1;3;2;1;1;3;1;1;01;19;1;11;19;134,666476879809
5272787;1;3;2;3;1;1;2;1;4;5; ; ; ;300000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;4;2; ;1;1;1;4;1;1;2;2;1;3;2; ;01;19;1;11;19;133,291147510931
