DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5249153;1;2;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;10;4;41;734,324430518062
5249156;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;41;708,59573384791
5249156;1;4;1;80;2;1;7; ;2; ; ;9; ;2; ;2; ;2; ;1000000;2;1;10;3;41;708,59573384791
5249157;1;2;1;80;2;1;8; ;2; ; ;9; ;2; ;2; ;2; ;400000;2;1;10;3;41;884,643121070124
5249158;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;41;753,155296448741
5249656;1;2;1;80;2;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;1,3;41;1676,56240484946
5249658;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;2;41;768,890004031891
5249658;1;3;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;3;41;768,890004031891
5249658;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;41;768,890004031891
5249658;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;41;768,890004031891
5249663;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;2; ;130000;2;1;10;1,2;41;1412,05623042009
5249666;1;2;1;80;2;1;3; ;2; ; ;1; ;2; ;2; ;2; ;887000;2;1;10;4;41;689,926469888935
5249667;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;41;754,497507086714
5249672;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;41;689,926469888935
5249674;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;41;373,532379382959
5249677;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;3;41;624,455302092331
5249678;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;41;809,586494325844
5249679;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;3;41;415,837754425463
5250893;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;300000;2;1;10;3;44;4686,27146535166
5250893;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;44;4686,27146535166
5250895;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;44;5036,73061125496
5253342;1;1;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;10;4;27;2077,59803847491
5253342;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;27;2077,59803847491
5253343;1;2;1;80;2;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;10;3;27;2834,55788198409
5253344;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;27;5492,4528676189
5253345;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;27;3554,13352211396
5253345;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;27;3554,13352211396
5253397;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;27;2221,76876004115
5253400;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;4;27;2003,79769095915
5255809;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;44;3358,9494908108
5255814;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;44;4436,27222356986
5255818;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;44;5165,45257789882
5256137;1;2;1;80;2;1;7; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;10;1,4;44;3706,1454807711
5256137;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;44;3706,1454807711
5256137;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;44;3706,1454807711
5256139;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;44;5763,59419811073
5256139;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;44;5763,59419811073
5256140;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;44;3230,22752416694
5256142;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;1,4;44;3723,53966797528
5256191;1;2;1;80;2;1;9;POR LA EDAD;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;4;15;2344,95852513171
5256192;1;2;1;80;2;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;10;1,4;15;2414,61887113112
5256194;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;15;2344,95852513171
5256195;1;2;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;10;4;15;2654,98903471075
5256196;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;3;15;2654,98903471075
5256196;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;15;2654,98903471075
5256197;1;2;1;80;2;1;1; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;10;2;15;2344,95852513171
5256198;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;15;2344,95852513171
5256198;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;15;2344,95852513171
5257034;1;1;1;80;2;1;3; ;2; ; ;3; ;2; ;2; ; ; ; ;2;1;10;4;44;2185,01587199072
5257035;1;2;1;80;2;2; ; ; ;1;1;12;POR LA PANDEMIA NACIONAL;2; ;2; ;1;48;877803;2;1;10; ;44;1424,48086126427
5257036;1;1;1;80;2;1;9;POR LA PANDEMIA NACIONAL;2; ; ;12;POR LA PANDEMIA NACIONAL;2; ;2; ;1;48;877803;2;1;10;1,4;44;1846,84125390893
5257036;1;3;1;80;2;1;9;POR LA PANDEMIA NACIONAL;2; ; ;12;POR LA PANDEMIA NACIONAL;2; ;2; ;1;48;877803;2;1;10;1,4;44;1846,84125390893
5257037;1;1;1;80;2;1;9;POR LA PANDEMIA NACIONAL;2; ; ;1; ;2; ;2; ; ; ; ;2;1;10;1,1;44;1076,97585503985
5257037;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;44;1076,97585503985
5257037;1;8;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;44;1076,97585503985
5257037;1;9;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;44;1076,97585503985
5257037;1;10;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;48;877803;2;1;10; ;44;1076,97585503985
5257038;1;2;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;44;1610,37876019054
5257038;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;44;1610,37876019054
5257040;1;3;1;80;2;1;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;1,4;44;1115,45736221398
5257041;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;3;44;2386,22491408033
5257041;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;44;2386,22491408033
5257041;1;3;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;1;6;400000;2;1;10;1,4;44;2386,22491408033
5257041;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;44;2386,22491408033
5257533;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;3;44;5359,84607425582
5257533;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;44;5359,84607425582
5258073;1;1;1;80;2;1;9;CUARENTENA OBLIGATORIA POR PANDEMIA;1; ;1;1; ;2; ;1;150000; ; ;877803;2;1;10;1,2;15;4642,53680229525
5258073;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;15;4642,53680229525
5258075;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;15;5450,26862775587
5258076;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;1;40;600000;2;1;10;1,4;15;7278,28760528106
5258076;1;2;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;10;4;15;7278,28760528106
5258076;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ;1;12;400000; ;1;10; ;15;7278,28760528106
5258076;1;8;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;15;7278,28760528106
5258076;1;9;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;15;7278,28760528106
5258077;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;877803;2;1;10;3;15;6049,79872009729
5258077;1;3;1;80;2;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;10;1,3;15;6049,79872009729
5258082;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;15;4479,59575926599
5258166;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;50;1925,44098493104
5258166;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;2; ;500000;2;1;10; ;50;1925,44098493104
5258166;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;1925,44098493104
5258166;1;5;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;1925,44098493104
5258166;1;6;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;1925,44098493104
5258166;1;7;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;50;1925,44098493104
5258169;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;1161,42434783164
5258170;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;48;800000;2;1;10;4;50;610,654112173279
5258170;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;610,654112173279
5258172;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;481,360246232761
5258172;1;2;1;80;2;1;9;POR LA PANDEMIA DEL COVID 19;2; ; ;12;POR LA PANDEMIA DEL COVID 19;2; ;2; ;1;48;900000;2;1;10;1,4;50;481,360246232761
5258172;1;4;1;80;2;1;9;POR LA PANDEMIA DEL COVID 19;2; ; ;12;POR LA PANDEMIA DEL COVID 19;2; ;2; ;1;24;400000;2;1;10;1,4;50;481,360246232761
5258186;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;50;1138,39945789729
5258186;1;3;1;80;2;1;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;50;1138,39945789729
5258186;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;50;1138,39945789729
5258187;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;1818,01355331996
5258189;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;1114,43134889952
5258189;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;1114,43134889952
5258189;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;50;1114,43134889952
5258190;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;1194,87655669301
5258190;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;50;1194,87655669301
5258190;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;50;1194,87655669301
5258192;1;1;1;80;2;1;9;POR LA EDAD;2; ; ;8; ;2; ;2; ; ; ; ;2;1;10;1,3;50;545,001611668959
5258192;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;50;545,001611668959
5258193;1;4;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;10;4;50;481,360246232761
5258333;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;15;2344,95852513171
5258333;1;4;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;2;15;2344,95852513171
5258333;1;5;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ;900000;2;1;10;2;15;2344,95852513171
5258336;1;2;1;80;2;1;7; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;10;1,3;15;2344,95852513171
5258336;1;3;1;80;2;1;2; ;2; ; ;2; ;2; ;2; ;1;20;400000;2;1;10;1,3;15;2344,95852513171
5258336;1;4;1;80;2;1;2; ;2; ; ;2; ;2; ;2; ;1;16;300000;2;1;10;1,2;15;2344,95852513171
5258647;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;2;05;2688,3653385778
5258647;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;05;2688,3653385778
5258650;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;05;3244,7935055421
5258652;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;05;1954,40492826108
5258659;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;10;4;05;2847,64566651508
5258659;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;05;2847,64566651508
5258660;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;2;05;5065,80558130264
5258665;1;2;1;80;2;1;8; ;2; ; ;5; ;2; ;2; ; ; ; ;2;1;10;2;05;4974,74170887804
5258670;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;2;05;3952,44473812446
5258671;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;10;3;05;3451,41872970238
5258672;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;05;1899,00276971886
5258689;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;05;5639,15300772324
5258689;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;05;5639,15300772324
5258689;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;05;5639,15300772324
5258690;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;05;2802,99715043377
5258694;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;4;05;2847,64566651508
5258697;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;05;2587,08322086454
5258697;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;05;2587,08322086454
5258697;1;4;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;05;2587,08322086454
5258697;1;5;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;1,1;05;2587,08322086454
5258700;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;05;1899,00276971886
5258700;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;05;1899,00276971886
5258701;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;4;05;4084,09702230583
5258701;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;05;4084,09702230583
5258701;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;05;4084,09702230583
5258704;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;05;4391,94800947158
5258704;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;05;4391,94800947158
5258705;1;1;1;80;2;1;6; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;10;3;05;4918,00689437698
5259147;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;24;200000;2;1;10;4;41;659,472039342716
5259147;1;3;1;80;2;1;3; ;1; ;3;1; ;2; ;2; ;1;40;877000;2;1;10;3;41;659,472039342716
