DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5225581;1;1;1;70;2;8;48;1; ;2;24;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;95;95;1;1;09;4111;05;4377,77740690544
5225622;1;5;1;70;2;3;21;6; ;2;12;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;99;2; ;01;62;62;1;1;09;0162;05;2648,86710592495
5225624;1;1;1;70;2;4;40;1; ;2;200;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;10;45;45;1;1;09;1081;05;4806,94185215569
5225631;1;2;1;70;2;1;40;1; ;2;70;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;47;45;45;1;1;09;4792;05;4382,4063123662
5225631;1;6;1;70;2;1;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;98; ; ; ;62; ;1;1;09;.;05;4382,4063123662
5225886;1;3;1;70;2;4;40;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;01;62;62;1;1;09;0123;41;931,439371140791
5227476;1;2;1;70;2;20;48;1; ;2;24;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;63;02;11;1;2;09;6399;68;1529,62516640855
5227477;1;1;1;70;2;36;48;1; ;2;36;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;25;98;98;1;2;09;2511;68;501,17744387839
5227481;1;2;1;70;2;28;48;1; ;2;28;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;47;02;45;1;2;09;4752;68;501,17744387839
5228367;1;1;1;70;2;8;40;4; ;2;27;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;01;62;62;1;1;09;0121;41;749,477351664101
