DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5422870;1;4;1;70;2;6;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ; ;54; ;1;1;04;.;70;648,637262358717
5422872;1;4;1;70;2;12;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;45; ;1;1;04;.;70;814,730025674029
5422873;1;4;1;70;2;4;40;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ; ;58; ;1;1;04;.;70;1130,56991680391
5422875;1;4;1;70;2;3;40;4; ;2;3;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;400000;2; ;47;71;71;1;1;04;4752;70;1630,15766512715
5423730;1;1;1;70;2;20;40;1; ;2;24;1; ;4;2;3; ; ; ; ; ; ; ;1; ; ; ;2; ;908526;2; ;41;95;95;1;2;04;4111;15;1493,98431178546
5423735;1;2;1;70;2;20;40;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;01;60;61;1;2;04;0161;15;1721,68590793351
5423746;1;1;1;70;2;2;40;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;88;32;32;1;1;04;8890;18;400,061583322828
5423753;1;1;1;70;2;12;48;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;41;95;95;1;1;04;4111;18;365,768821354225
5423755;1;1;1;70;2;52;48;2; ;2;52;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;908526;2; ;84;99;99;1;2;04;8412;18;491,103141236983
5423755;1;5;1;70;2;4;48;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;04;9700;18;491,103141236983
5423769;1;1;1;70;2;4;48;2; ;2;48;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;908526;2; ;47;39;45;1;1;04;4711;18;305,658479321705
5423782;1;2;1;70;2;3;40;3; ;2;5;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;300000;2; ;97;54;54;1;1;04;9700;18;384,027411508193
5424759;1;4;1;70;2;4;42;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;31;95;95;1;1;04;3110;70;560,905464811787
5424764;1;1;1;70;2;1;46;4; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;47;41;41;1;1;04;4711;70;1374,11599317534
5424769;1;1;1;70;2;3;40;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;400000;2; ;01;61;61;1;1;04;0161;70;975,176992575488
5424769;1;3;1;70;2;6;25;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;96;59;59;1;1;04;9609;70;975,176992575488
5424794;1;2;1;70;2;40;48;1; ;2;40;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908500;2; ;47;45;45;1;2;04;4771;15;1061,26947517463
5424816;1;3;1;70;2;12;48;1; ;2;6;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;1200000;2; ;07;97;71;1;1;04;0722;17;1245,68635849198
