DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;CLASE;MES;DPTO;fex_c_2011
5475191;1;3;2;1;1;1;1;1;3;1; ; ;98;150000; ;2;1;1;1;1;1;1;2;2;1;1;2;2;1;2;2;2;2;2;2;2;1;3;3;2; ;1;1;1;4;1;2;1;1;1;2;1;1;01;2;06;15;1194,08950254883
5475192;1;3;1;1;1;1;1;1;3;1; ; ;98;2000000; ;2;1;1;1;1;1;1;2;2;1;1;2;2;1;2;2;2;2;2;1;1;1;2;2;2; ;1;1;1;4;1;2;1;1;1;2;1;1;01;2;06;15;1194,08950254883
5475193;1;3;2;1;1;1;1;1;3;1; ; ;80000000;98; ;2;2;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;1;2;1;2;2;2; ;1;1;1;4;1;2;1;1;1;2;1;1;01;2;06;15;1194,08950254883
5475194;1;4;1;1;1;1;1;1;3;1; ; ;200000000;800000; ;2;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;2;2;2;1;2;2;2; ;1;1;1;4;1;2;1;1;1;2;1;1;01;2;06;15;1194,08950254883
5475195;1;3;1;1;1;1;1;1;3;1; ; ;98;350000; ;2;1;2;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;4;1;2;1;1;1;2;1;2;01;2;06;15;1194,08950254883
5475200;1;4;3;2;1;4;1;1;5;1; ; ;98;400000; ;2;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;1;2;1;2;1;3;5;2; ;1;1;1;4;1;2;2;2;2; ;1;2;01;2;06;15;1194,08950254883
5475201;1;3;2;2;1;1;1;1;5;2; ;260000;98;300000; ;2;1;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2; ;1;1;1;4;1;2;2;2;1;2;1;2;01;2;06;15;3095,61506113821
5475202;1;2;2;1;1;1;1;6; ;3; ; ; ; ;250000;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;4;1;2;2;1;1;2;1;2;01;2;06;15;6089,85646299904
5475203;1;1;1;1;1;1;1;1;4;3; ; ; ; ;350000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;5;2; ;1;1;1;2;1;2;2;1;1;2;1;2;01;2;06;15;6089,85646299904
5475204;1;2;1;1;1;1;1;1;4;3; ; ; ; ;350000;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;4;2; ;1;2;1;4;1;2;2;1;1;2;1;2;01;2;06;15;6089,85646299904
5479640;1;5;3;2;1;1;1;1;3;1; ; ;99;600000; ;2;2;1;1;1;1;1;2;2;1;1;2;1;1;2;2;2;2;2;2;2;1;2;3;2; ;1;1;1;4;1;2;1;2;1;2;1;1;01;2;06;15;1194,08950254883
5479641;1;3;1;2;1;1;1;1;3;1; ; ;99;300000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;2;1;2;1;2;1;2;1;1;01;2;06;15;1194,08950254883
5479642;1;5;2;1;1;1;1;1;3;1; ; ;99;99; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2; ;1;1;1;4;1;2;1;1;1;2;1;1;01;2;06;15;4585,44720990456
5479643;1;3;2;1;1;1;1;1;5;4; ; ; ;100000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;2; ;1;1;1;2;1;2;2;1;1;2;1;2;01;2;06;15;6089,85646299904
5480238;1;3;2;2;1;1;2;3;4;3; ; ; ; ;120000;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;4;4;2; ;1;1;1;4;1;2;2;2;1;1;1;1;01;2;06;15;1194,08950254883
5480239;1;3;2;2;1;1;1;1;4;3; ; ; ; ;100000;2;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;1;2;1;3;3;2; ;1;1;1;4;1;3;2;2;1;1;1;1;01;2;06;15;1194,08950254883
5480240;1;3;1;2;1;1;2;1;4;3; ; ; ; ;200000;2;1;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;2;1;2;2;2;1;1;1;1;01;2;06;15;1194,08950254883
5480241;1;4;2;2;1;1;1;1;5;3; ; ; ; ;300000;2;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;1;2;2;2;1;3;5;2; ;1;1;1;4;1;2;2;2;1;1;1;1;01;2;06;15;1194,08950254883
5480242;1;3;2;2;1;4;2;1;5;3; ; ; ; ;20000;2;1;1;2;1;1;1;2;2;2;1;2;2;1;2;2;2;1;1;2;2;1;5;5;2; ;1;1;1;4;1;2;2;2;2; ;1;1;01;2;06;15;3151,97027664981
5480243;1;3;1;2;1;1;1;1;5;1; ; ;50000000;100000; ;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;2;1;2;2;2;1;1;1;1;01;2;06;15;1194,08950254883
5480244;1;2;1;2;1;4;2;1;5;3; ; ; ; ;150000;2;1;1;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;3;2; ;1;1;1;2;1;2;2;2;2; ;1;1;01;2;06;15;1194,08950254883
5480245;1;3;2;2;1;1;1;1;4;3; ; ; ; ;270000;2;2;1;1;2;1;1;2;2;1;1;1;1;1;2;2;2;2;2;1;2;1;3;4;2; ;1;1;1;4;1;2;2;2;1;2;1;1;01;2;06;15;6089,85646299904
5480250;1;3;1;1;1;1;1;1;4;2; ;1000000;200000000;300000; ;2;1;2;2;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;2;1;2;2;1;1;2;1;2;01;2;06;15;1194,08950254883
5480251;1;4;2;1;1;1;2;1;2;4; ; ; ;400000; ;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;1;4;2; ;1;1;1;2;1;0;2;1;1;3;2; ;01;2;06;15;1598,11626884172
5480252;1;4;3;1;1;1;1;1;4;4; ; ; ;700000; ;2;1;1;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;4;2; ;1;1;1;4;1;2;2;1;1;2;1;2;01;2;06;15;6089,85646299904
5480253;1;4;2;1;1;1;1;1;4;3; ; ; ; ;350000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;4;4;2; ;1;1;1;4;1;2;2;1;1;2;1;2;01;2;06;15;1194,08950254883
5480266;1;4;3;2;1;4;2;1;5;1; ; ;98;98; ;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;06;68;1326,2449649647
5480267;1;3;2;2;1;4;2;1;5;4; ; ; ;150000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;3;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;06;68;6763,84932131998
5480268;1;2;1;2;1;4;2;1;5;1; ; ;98;98; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;06;68;2551,37582678721
5480269;1;3;1;6; ;4;2;1;5;5; ; ; ;98; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;1;5;3;1;2;2;2;2; ;2; ;01;2;06;68;1326,2449649647
5480270;1;1;1;2;1;4;6;1;5;1; ; ;98;98; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;5;2;2; ;2;2;2; ;2; ;01;2;06;68;2551,37582678721
5480271;1;3;2;2;1;4;2;1;5;4; ; ; ;150000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;06;68;6763,84932131998
5480272;1;2;1;2;1;4;2;1;5;4; ; ; ;60000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;1;5;3;1;2;2;2;2; ;2; ;01;2;06;68;1326,2449649647
5480273;1;4;3;2;1;4;2;1;5;1; ; ;50000000;200000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;4;2; ;1;1;1;2;1;2;2;2;2; ;2; ;01;2;06;68;1326,2449649647
5481170;1;3;2;6; ;4;4;5;5;1; ; ;98;150000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2; ;1;1;5;1;1;9;2;2;2; ;2; ;01;2;06;47;2809,17934174464
5481171;1;1;1;3;1;4;5;5;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;3;2; ;1;1;2;1;2; ;2;2;2; ;2; ;01;2;06;47;2548,37721519584
5481172;1;1;1;6; ;4;5;5;5;4; ; ; ;80000; ;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2; ;5;2; ;1;1;5;1;1;9;2;2;2; ;2; ;01;2;06;47;3535,55862128888
5481173;1;3;1;2;1;4;3;1;5;4; ; ; ;150000; ;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;3;2; ;1;1;5;1;1;9;2;2;2; ;2; ;01;2;06;47;2655,63424845055
5481177;1;3;1;6; ;4;4;5;5;4; ; ; ;500000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;1;1;5;1;1;9;2;2;2; ;2; ;01;2;06;47;2505,36516551845
5481179;1;5;3;2;1;4;4;5;5;4; ; ; ;150000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;7;2; ;1;1;5;1;1;9;2;2;2; ;2; ;01;2;06;47;2309,7898398456
5481180;1;3;2;6; ;4;4;5;5;5; ; ; ;300000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;8;2; ;1;1;5;1;1;9;2;2;2; ;2; ;01;2;06;47;1883,06648518159
5481190;1;2;1;6; ;4;4;1;5;4; ; ; ;200000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;7;2; ;1;1;5;1;2; ;2;2;2; ;1;2;01;2;06;47;3315,45962140095
5481191;1;1;1;6; ;4;4;6; ;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;5;1;2; ;2;2;2; ;2; ;01;2;06;47;2846,20876402535
5481192;1;1;1;2;1;4;4;6; ;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;5;2;1;0;2;2;2; ;2; ;01;2;06;47;2846,20876402535
5481193;1;3;1;6; ;4;4;5;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;5;2; ;1;1;4;1;1;0;2;2;2; ;2; ;01;2;06;47;3812,32633480947
5481194;1;1;1;2;1;4;4;6; ;4; ; ; ;130000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;8;2; ;1;1;5;2;2; ;2;2;2; ;2; ;01;2;06;47;3588,63788277087
5481195;1;2;1;6; ;4;4;5;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;1;2;1;9;2;2;2; ;2; ;01;2;06;47;2505,36516551845
5481196;1;1;1;6; ;4;4;5;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;5;2;2; ;2;2;2; ;2; ;01;2;06;47;2542,39458779917
5481197;1;3;2;2;1;4;3;5;5;5; ; ; ;100000; ;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;4;2; ;1;1;4;1;1;1;2;2;2; ;2; ;01;2;06;47;1647,99790321526
5481198;1;2;1;6; ;4;3;5;5;3; ; ; ; ;60000;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;6;2; ;1;1;4;1;1;1;2;2;2; ;2; ;01;2;06;47;3411,0088953445
5481199;1;3;1;6; ;4;4;5;5;4; ; ; ;70000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;2; ;1;1;1;2;2; ;2;2;2; ;2; ;01;2;06;47;2825,14492871643
5481200;1;5;2;2;1;4;3;5;5;5; ; ; ;100000; ;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;4;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;06;47;1610,96848093454
5481201;1;2;1;6; ;4;3;3;1;5; ; ; ;50000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;1;7;1;1;1;2;2;2; ;2; ;01;2;06;47;1549,74201223703
5481202;1;2;1;2;1;3;3;1;4;4; ; ; ;100000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;3;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;06;47;2998,95586856497
5481203;1;3;2;2;1;4;3;3;1;5; ; ; ;30000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;5;2; ;1;1;4;1;1;1;2;2;2; ;2; ;01;2;06;47;2794,50901386016
5481204;1;4;3;3;1;4;4;5;4;1; ; ;10000000;200000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;2;1;1;2;1;2;5;2; ;1;1;1;2;1;0;2;2;2; ;2; ;01;2;06;47;3420,35178533266
5481206;1;3;2;6; ;4;3;5;5;5; ; ; ;200000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;1;1;1;1;4;1;1;1;2;2;2; ;2; ;01;2;06;47;1286,51525132772
5481207;1;3;2;6; ;3;3;1;1;5; ; ; ;100000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;4;2; ;1;1;7;1;1;1;2;2;2; ;2; ;01;2;06;47;3662,05725187737
5481208;1;1;1;2;2;4;3;5;5;4; ; ; ;30000; ;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;4;2; ;1;1;4;1;1;1;2;2;2; ;2; ;01;2;06;47;3149,22495149707
5481209;1;3;2;6; ;4;3;5;5;4; ; ; ;100000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;8;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;06;47;2446,80054697261
