DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5398344;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;4;15;665,213708923992
5398344;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;665,213708923992
5398345;1;1;1;80;2;1;6; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;3;15;1302,35815308401
5398346;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;2727,37620658837
5398346;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;2727,37620658837
5398347;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;4;15;665,213708923992
5398348;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;2;15;665,213708923992
5398348;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;665,213708923992
5398348;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;665,213708923992
5398349;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;4;15;665,213708923992
5398349;1;5;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;665,213708923992
5398350;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;4;15;2727,37620658837
5398352;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;665,213708923992
5398352;1;2;1;80;2;1;8; ;2; ; ;1; ;2; ;1;200000; ; ; ;2;1;03;1,1;15;665,213708923992
5398353;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;2;15;2727,37620658837
5398353;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;2727,37620658837
5398353;1;4;1;80;2;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;03;1,4;15;2727,37620658837
5398354;1;1;1;80;2;1;8; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;03;1,3;15;665,213708923992
5398354;1;2;1;80;2;1;8; ;2; ; ;1; ;2; ;2; ;1;48;500000;2;1;03;1,4;15;665,213708923992
5398354;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;665,213708923992
5398354;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;665,213708923992
5398355;1;1;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;15;665,213708923992
5398355;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;665,213708923992
5398355;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;665,213708923992
5398355;1;6;1;80;2;1;9;PANDEMIA COVID 19;2; ; ;1; ;2; ;2; ;1;50;700000;2;1;03;1,4;15;665,213708923992
5398356;1;1;1;80;2;2; ; ; ;1;4;4; ;2; ;2; ; ; ; ;2;1;03; ;15;665,213708923992
5398357;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;665,213708923992
5398357;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;665,213708923992
5398357;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;665,213708923992
5398358;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;2727,37620658837
5399036;1;2;1;80;2;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;3;15;2727,37620658837
5399037;1;2;1;80;2;1;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;3;15;665,213708923992
5399037;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;665,213708923992
5399038;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;1;25;500000;2;1;03;3;15;2727,37620658837
5399038;1;2;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;4;15;2727,37620658837
5399039;1;2;1;80;2;1;8; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;3;15;665,213708923992
5399040;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;4;15;665,213708923992
5399041;1;2;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;1947,28815695406
5399042;1;2;1;80;2;1;8; ;2; ; ;9; ;2; ;2; ;1;40;1200000;2;1;03;2;15;665,213708923992
5399042;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;665,213708923992
5399043;1;1;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;15;2727,37620658837
5399043;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;2727,37620658837
5399044;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;40;908600;2;1;03; ;15;665,213708923992
5399044;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;665,213708923992
5399045;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;2727,37620658837
5399046;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;2727,37620658837
5399046;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;2727,37620658837
5399047;1;1;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;15;665,213708923992
5399048;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;2727,37620658837
5399049;1;1;1;80;2;1;8; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;4;15;665,213708923992
5399050;1;2;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;4;15;665,213708923992
5399050;1;3;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;1;30;700000;2;1;03;2;15;665,213708923992
