DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5443741;1;1;1;80; ;1;1;8; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;68;3289,51893455893
5443741;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;68;3289,51893455893
5443741;1;4;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;68;3289,51893455893
5443743;1;2;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;68;2661,79753401439
5443743;1;4;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;68;2661,79753401439
5443745;1;1;1;80; ;1;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;1,4;68;1979,43120716581
5443751;1;2;1;80; ;1;1;8; ;2; ; ;3; ;2; ;2; ;1;48;908526;2;1;05;2;68;3305,38107055151
5443765;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;68;2665,46935479905
5443765;1;3;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;68;2665,46935479905
5443766;1;3;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;68;3916,7158770989
5443767;1;1;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;68;2628,99099577716
5443768;1;1;1;80; ;1;1;9;POR PANDEMIA COVID 19;1; ;1;9; ;2; ;2; ;1;24;908500;2;1;05;2;68;3305,38107055151
5443768;1;2;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;68;3305,38107055151
5443769;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ;1;48;908500;2;1;05;4;68;3066,04903891042
5443769;1;3;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ;1;48;908526;2;1;05; ;68;3066,04903891042
5443769;1;4;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;68;3066,04903891042
5443772;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;68;4107,83916829988
5443783;1;1;1;80; ;1;1;1; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;68;2247,72880516947
5443783;1;2;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;2;68;2247,72880516947
5443783;1;4;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;68;2247,72880516947
5443783;1;5;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;68;2247,72880516947
5443784;1;2;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;68;3305,38107055151
5443787;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;68;3998,52286397241
5443788;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;68;3066,04903891042
5443788;1;4;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;68;3066,04903891042
5443791;1;1;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;76;3635,41629255059
5443791;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;76;3635,41629255059
5443791;1;5;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;76;3635,41629255059
5443793;1;1;1;80; ;1;2; ; ; ;1;3;7; ;2; ;2; ;1;48;800000;2;1;05; ;76;4275,25426079019
5443794;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;1,1;76;2714,70288779034
5443794;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;76;2714,70288779034
5443796;1;1;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;76;7071,06876944068
5443801;1;3;1;80; ;1;1;9;PANDEMIA;2; ; ;1; ;2; ;2; ;2; ;500000;2;1;05;2;76;6202,92978503489
5443829;1;1;1;80; ;1;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;76;2714,70288779034
5443829;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;76;2714,70288779034
5443835;1;1;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;2;76;5860,7272737789
5443836;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;76;3039,30707924514
5443869;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;1,4;50;1357,48062238537
5443870;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;1000000;2;1;05;2;50;967,346416343114
5443871;1;1;1;80; ;1;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;50;1073,81407706636
5443874;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;50;752,847107310972
5443880;1;2;1;80; ;1;1;6; ;2; ; ;1; ;2; ;2; ;2; ;800000;2;1;05;3;50;849,743959722628
5443886;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;50;449,49734648785
5443886;1;5;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;50;449,49734648785
5443887;1;2;1;80; ;1;1;1; ;2; ; ;9; ;2; ;2; ;1;48;600000;2;1;05;1,2;50;1010,74747617074
5443888;1;1;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;2;50;514,062695404261
5443889;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;50;1204,71700574255
5443890;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;600000;2;1;05;3;50;1073,81407706636
5443892;1;3;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;50;494,794409399404
5443892;1;4;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;50;494,794409399404
5443892;1;5;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;50;494,794409399404
5443894;1;1;1;80; ;1;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;50;752,847107310972
5443895;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;2;50;1632,21625103766
5443896;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;50;674,924575631972
5443897;1;2;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;50;774,173506303759
5443898;1;1;1;80; ;1;1;7; ;1; ;1;4; ;2; ;2; ; ; ; ;2;1;05;1,3;50;1113,49400200784
5443909;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;50;640,403103780594
5443909;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;50;640,403103780594
5443910;1;1;1;80; ;1;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;05;3;50;1181,84572537526
5443913;1;3;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;50;1148,09737735964
5443913;1;4;1;80; ;1;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;50;1148,09737735964
5443915;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;50;1671,93993135985
5443917;1;1;1;80; ;1;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;3;50;1073,81407706636
5443918;1;2;1;80; ;1;1;8; ;1; ;3;1; ;2; ;2; ;2; ;900000;2;1;05;3;50;774,173506303759
5443919;1;1;1;80; ;1;1;9;POR LA PANDEMIA DEL COVID 19;2; ; ;9; ;2; ;2; ;1;4;700000;2;1;05;1,4;50;818,951196067158
5443919;1;4;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;50;818,951196067158
5443920;1;1;1;80; ;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;3;50;752,847107310972
5443921;1;1;1;80; ;1;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;50;967,346416343114
5443923;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;50;995,891545387357
5443925;1;2;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;2;50;1142,16580043377
5443926;1;2;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;50;610,959547815917
5443927;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;50;559,674197271617
5443928;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;50;650,639472757404
5443930;1;2;1;80; ;1;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;1,4;50;1168,07456866163
5443930;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;50;1168,07456866163
5443930;1;4;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;50;1168,07456866163
5443930;2;2;2;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;3;50;1168,07456866163
5443930;2;3;2;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;50;1168,07456866163
5443931;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;3;50;927,666491401628
5443931;1;2;1;80; ;1;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;50;927,666491401628
5443932;1;1;1;80; ;1;1;6; ;2; ; ;9; ;2; ;2; ;1;48;900000;2;1;05;3;50;771,386980408994
5443933;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;50;718,325635459594
5443934;1;1;1;80; ;1;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;50;927,666491401628
5443934;1;2;1;80; ;1;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;50;927,666491401628
5443935;1;1;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;1,4;50;671,426980466653
5443935;1;4;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;1,4;50;671,426980466653
5443937;1;1;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;50;927,666491401628
5443937;1;2;1;80; ;1;1;5; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;05;4;50;927,666491401628
5443938;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;50;1010,74747617074
