DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
6,000,579;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1219.3190331
6,000,579;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1219.3190331
6,000,580;1;1;1;80;2;;;;1;1;;2;;;1;;2;2;;2;;1;11;2;15;841.25504492
6,000,581;1;1;1;80;2;;;;1;8;;2;;;4;;2;2;;2;;1;11;2;15;893.66847486
6,000,581;1;2;1;80;2;;;;1;3;;1;;1;1;;2;2;;2;;1;11;2;15;893.66847486
6,000,581;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;893.66847486
6,000,582;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,583;1;2;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;1327.6482369
6,000,583;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;1327.6482369
6,000,584;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;15;809.52275679
6,000,584;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,584;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,584;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,585;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1126.6380954
6,000,585;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1126.6380954
6,000,585;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;1126.6380954
6,000,587;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;3;15;1211.6337959
6,000,587;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1211.6337959
6,000,588;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,589;1;2;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;1418.9652279
6,000,590;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;15;809.52275679
6,000,590;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;15;809.52275679
