DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S1A1;P7500S2;P7500S2A1;P7500S3;P7500S3A1;P7505;P7510S1;P7510S1A1;P7510S2;P7510S2A1;P7510S3;P7510S3A1;P750S1A1;P750S2A1;P750S1;P750S2;P750S3;P750S4;P1661S1;P1661S2;P1661S3;P1661S4;P1661S1A1;P1661S2A1;P1661S3A1;P1661S4A1;P1661S4A2;P750S3A1;P7510S5;P7510S5A1;P7510S6;P7510S6A1;P7510S7;P7510S7A1;AREA;CLASE;MES;DPTO;fex_c_2011
5570685;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570685;1;2;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570686;1;1;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570686;1;2;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570688;1;1;1;95;2;;;;;;;1;1;98;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;;1;10;25;4454.8759386
5570689;1;1;1;95;1;1;98;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570689;1;2;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570694;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;44;831.79616115
5570694;1;2;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;;1;10;44;831.79616115
5570694;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;44;831.79616115
5570694;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;44;831.79616115
5570694;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;44;831.79616115
5570695;1;1;1;95;2;;;;;;;1;1;1200000;2;;1;921000;;921000;;1;;;;;1;;;;921000;;;;2;;2;;2;;;1;10;44;771.99877317
5570699;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;698.86725371
5570699;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;698.86725371
5570699;1;4;1;95;2;;;;;;;1;2;;2;;1;960000;;960000;;1;;;;;1;;;;960000;;;;2;;2;;2;;;1;10;50;698.86725371
5570700;1;1;1;95;2;;;;;;;1;1;1800000;2;;1;960000;;960000;;1;;;;;1;;;;960000;;;;2;;2;;2;;;1;10;50;681.95379755
5570700;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;681.95379755
5570701;1;1;1;95;2;;;;;;;1;2;;2;;1;900000;;900000;;1;;;1;;;;900000;;;;;;2;;2;;2;;;1;10;50;879.36092241
5570701;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;879.36092241
5570701;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;879.36092241
5570701;1;4;1;95;2;;;;;;;1;2;;2;;1;280000;;280000;;1;;;;;;1;;;;DEVOLUCION DEL IVA;280000;;2;;2;;2;;;1;10;50;879.36092241
5570702;1;1;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;;1;10;50;1086.4174281
5570702;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;1086.4174281
5570702;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;1086.4174281
5570704;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;1373.5515341
5570704;1;2;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;;1;10;50;1373.5515341
5570706;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;76;1481.8839234
5570706;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;76;1481.8839234
5570707;1;1;1;95;2;;;;;;;1;2;;2;;1;1600000;;1600000;;1;;;;;1;;;;1600000;;;;2;;2;;2;;;1;10;76;1234.1750988
5570707;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;120000;2;;;1;10;76;1234.1750988
5570708;1;1;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;;1;10;76;1028.2369235
5570709;1;1;1;95;2;;;;;;;1;1;98;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;;1;10;76;937.47996539
5570709;1;2;1;95;1;2;;1;1200000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1300000;;1;10;76;937.47996539
5570710;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;76;1428.1979681
