DIRECTORIO SECUENCIA_P ORDEN HOGAR REGIS AREA P7430 P7450 P7450S1 P7452 P7454 P7456 P7458 P7458S1 P7460 P7470 P7472 P7472S1 P744 P1884 P1807 P6921 INI MES p7440 DPTO fex_c_2011
5544838 1 2 1 80 05 2    2   . 2  2     2 1 09  05 880.2585807
5544838 1 3 1 80 05 1 5  2   10  3  2     3 1 09 4 05 880.2585807
5544839 1 1 1 80 05 2    2   . 2  2     2 1 09  05 1049.1852244
5544841 1 2 1 80 05 1 3  2   9  2  2  1 24 908526 2 1 09 2 05 1185.0157658
5544842 1 1 1 80 05 1 3  2   9  2  2     2 1 09 4 05 1049.1852244
5544846 1 2 1 80 05 2    2   . 2  2     2 1 09  05 1071.3788705
5544855 1 3 1 80 05 2    2   .   2      1 09  05 1268.1146263
5544856 1 3 1 80 05 2    2   . 2  2     2 1 09  05 2051.3301986
5544857 1 1 1 80 05 1 1  2   9  2  2     2 1 09 2 05 1216.7853891
5544858 1 1 1 80 05 1 9 "PRACTICAS DE ESTUDIO" 2   1  2  2  1 48 1114000 2 1 09 1.4 05 979.94689872
5544858 1 2 1 80 05 2    2   .   2      1 09  05 979.94689872
5544859 1 1 1 80 05 1 4  2   4  2  2     2 1 09 4 05 2222.239057
5544860 1 1 1 80 05 1 7  1  4 10  3  2     3 1 09 4 05 680.71817887
5544860 1 2 1 80 05 1 3  2   9  2  2     2 1 09 4 05 680.71817887
5544861 1 4 1 80 05 2    2   .   2      1 09  05 2385.9647423
5544863 1 1 1 80 05 1 3  2   9  2  2     2 1 09 4 05 2313.6754581
5544863 1 2 1 80 05 1 6  2   6  2  2     2 1 09 2 05 2313.6754581
5544864 1 2 1 80 05 2    2   . 2  2     2 1 09  05 2342.134377
5544865 1 1 1 80 05 1 4  2   4  2  2     2 1 09 4 05 2126.2676034
5544865 1 4 1 80 05 2    2   .   2      1 09  05 2126.2676034
5544867 1 2 1 80 05 1 3  2   9  2  2     2 1 09 4 05 547.45171249
5544868 1 1 1 80 05 1 8  2   4  2  2     2 1 09 4 05 726.43637944
5544868 1 2 1 80 05 2    2   . 2  2     2 1 09  05 726.43637944
5544869 1 2 1 80 05 2    2   . 2  2  1 15 500000 2 1 09  05 489.97344936
5544870 1 2 1 80 05 2    2   .   2      1 09  05 699.80718707
5544871 1 1 1 80 05 1 5  2   10  3  2     3 1 09 4 05 1407.1545583
5544871 1 2 1 80 05 2    2   . 2  2     2 1 09  05 1407.1545583
5544872 1 2 1 80 05 1 3  2   9  2  2     2 1 09 4 05 2722.8727155
5544873 1 3 1 80 05 1 4  2   4  2  2     2 1 09 4 05 485.84870028
5544874 1 1 1 80 05 1 4  2   4  2  2     2 1 09 2 05 528.57470553
5544876 1 1 1 80 05 1 5  1  4 8  3  2     3 1 09 4 05 603.23035503
5544876 1 2 1 80 05 2    2   . 2  2     2 1 09  05 603.23035503
5544876 1 3 1 80 05 2    1 2 2  2  2     2 1 09  05 603.23035503
5544878 1 1 1 80 05 1 5  2   10  3  2     3 1 09 4 05 1156.8377291
5544879 1 1 1 80 05 1 4  2   4  2  2     2 1 09 4 05 3013.20859
5544879 1 5 1 80 05 2    2   . 2  2     2 1 09  05 3013.20859
5544881 1 2 1 80 05 1 3  2   9  2  2     2 1 09 4 05 1025.6650993
5544881 1 3 1 80 05 2    2   . 2  2     2 1 09  05 1025.6650993
5544882 1 2 1 80 05 1 9 "CAMBIO DE MUNICIPIO" 2   8  2  2     2 1 09 4 05 2722.8727155
5544884 1 2 1 80 05 1 3  2   9  2  2     2 1 09 4 05 1156.8377291
5544885 1 2 1 80 05 2    2   . 2  2     2 1 09  05 1347.9580188
5544891 1 1 1 80 05 1 7  1  4 9  3  2     3 1 09 4 05 1049.1852244
5544892 1 1 1 80 05 1 3  2   9  2  2     2 1 09 4 05 1202.5559296
5544893 1 1 1 80 05 1 3  2   9  2  2     2 1 09 4 05 1558.4923835
5544893 1 3 1 80 05 2    2   .   2      1 09  05 1558.4923835
5544895 1 1 1 80 05 2    2   . 2  2     2 1 09  05 1487.8845788
5544895 1 4 1 80 05 1 3  2   9  2  2     2 1 09 1.3 05 1487.8845788
5544895 1 5 1 80 05 1 4  2   8  2  2     2 1 09 4 05 1487.8845788
5544896 1 1 1 80 05 1 5  2   10  3  2     3 1 09 4 05 2599.0041073
5544896 1 2 1 80 05 2    2   . 2  2     2 1 09  05 2599.0041073
5544897 1 1 1 80 05 1 5  2   10  3  2     3 1 09 4 05 1267.7324304
5544897 1 2 1 80 05 1 3  2   9  2  2     2 1 09 4 05 1267.7324304
5544897 1 5 1 80 05 2    2   .   2      1 09  05 1267.7324304
5544899 1 1 1 80 05 1 8  2   4  1  2  2  908526 2 1 09 1.3 05 2358.0764465
5544902 1 2 1 80 05 2    2   . 2  2     2 1 09  05 1361.4363577
5544903 1 1 1 80 05 1 5  2   10  3  2     3 1 09 4 05 1071.3832999
5544903 1 2 1 80 05 2    2   . 2  2     2 1 09  05 1071.3832999
5544905 1 1 1 80 05 1 7  2   8  2  2     2 1 09 1.4 05 1006.7068017
5544905 1 2 1 80 05 1 7  2   8  2  2     2 1 09 1.4 05 1006.7068017
5544905 1 4 1 80 05 1 1  2   9  2  2     2 1 09 2 05 1006.7068017
5544905 1 6 1 80 05 2    2   . 2  2     2 1 09  05 1006.7068017
5544906 1 2 1 80 05 1 4  2   4  2  2     2 1 09 4 05 1194.591743
5544907 1 2 1 80 05 2    2   . 2  2     2 1 09  05 902.45907488
5544907 1 3 1 80 05 2    2   .   2      1 09  05 902.45907488
5544908 1 2 1 80 05 1 3  2   9  2  2     2 1 09 4 05 1194.591743
5544909 1 1 1 80 05 1 4  2   4  2  2     2 1 09 4 05 1461.1246758
5544912 1 2 1 80 05 1 4  2   4  2  2     2 1 09 4 05 1094.903425
5544913 1 2 1 80 05 1 3  1  1 9  1  2    908526 2 1 09 3 05 1522.8203985
5544915 1 1 1 80 05 1 1  2   5  1  2     2 1 09 4 05 1461.1246758
5544918 1 2 1 80 05 2    2   . 2  2     2 1 09  05 1622.04051
5544918 1 3 1 80 05 2    2   .   2      1 09  05 1622.04051
5544922 1 1 1 80 05 1 9 "POR LA CUARENTENA" 1  2 4  2  2  2  908526 2 1 09 2 05 2922.2493515
5544923 1 2 1 80 05 1 9 EMBARAZO 2   9  2  2  2  908526 2 1 09 3 05 2325.5469301
5544923 1 3 1 80 05 2    2   .   2      1 09  05 2325.5469301
