PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20220834;08;2022;7156453;1;1;01;;1;831.49592777;70;1;4;2;1;1;1;2;2;;1;1;4;3;2;1;4;1;1;3;1;;;10000000;150000;;;1;;;;;;;;;;7
20220834;08;2022;7156455;1;1;01;;1;653.02489701;70;1;4;1;1;1;2;2;2;;1;1;3;2;6;;4;1;5;5;5;;;;80000;;;;;;;;;;1;;;4
20220834;08;2022;7156456;1;1;01;;1;767.34897163;70;1;5;1;1;1;2;2;2;;1;1;3;2;2;1;4;1;5;5;1;;;10000000;100000;;;;;;;;;;1;;;3
20220834;08;2022;7156457;1;1;01;;1;626.06600399;70;1;5;2;1;1;2;2;2;;1;1;3;1;2;1;4;1;5;5;1;;;9000000;150000;;;;;;;;;;1;;;2
20220834;08;2022;7156458;1;1;01;;1;691.63431297;70;1;5;1;1;1;2;2;2;;1;1;3;2;2;1;3;1;5;5;4;;;;150000;;;1;;;;;;;;;;4
20220834;08;2022;7156460;1;1;01;;1;837.77303888;70;4;8;1;1;1;2;2;2;;2;1;2;1;2;1;4;4;5;5;5;;;;80000;;;;;;;;;;1;;;2
20220834;08;2022;7156461;1;1;01;;1;743.71028358;70;1;5;1;1;1;2;2;2;;1;1;3;1;6;;3;1;5;5;4;;;;150000;;;;;;;;;;1;;;3
20220834;08;2022;7156463;1;1;01;;1;3869.4429513;25;2;1;4;1;5;1;1;1;3;1;1;4;1;1;1;1;1;1;3;3;;;;;1100000;;1;;;;;;;;;;1
20220834;08;2022;7156464;1;1;01;;1;6035.1049139;25;2;1;4;1;5;1;1;1;3;1;1;4;1;1;1;1;1;1;3;3;;;;;1200000;;1;;;;;;;;;;1
20220834;08;2022;7156465;1;1;01;;1;3140.5531801;25;2;1;4;1;5;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;180000000;1200000;;;1;;;;;;;;;;2
20220834;08;2022;7156466;1;1;01;;1;3924.7053589;25;1;1;4;1;4;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;250000000;1100000;;;1;;;;1;;;;;;5
20220834;08;2022;7156468;1;1;01;;1;5230.8049279;25;1;1;4;1;4;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;99;1000000;;;1;;;;;;;;;;2
20220834;08;2022;7156469;1;1;01;;1;5056.3058438;25;1;1;4;1;4;1;1;1;3;1;1;4;2;1;1;1;1;1;3;3;;;;;1000000;;1;;;;;;;;;;3
20220834;08;2022;7156470;1;1;01;;1;5289.2237769;25;1;1;4;1;4;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;750000;;1;;;;;;;;;;3
20220834;08;2022;7156471;1;1;01;;1;6066.1790301;25;2;1;4;1;4;1;1;1;3;1;1;4;1;1;1;1;1;1;3;1;;;350000000;1000000;;;1;;;;;;;;;;2
20220834;08;2022;7156472;1;1;01;;1;7361.8752998;25;1;1;4;1;4;1;1;1;3;1;1;3;2;1;1;1;1;1;4;3;;;;;800000;;;;;;;;;1;;;3
20220834;08;2022;7156473;1;1;01;;1;3743.9594687;25;2;1;4;1;4;1;1;1;3;1;1;5;3;1;1;1;1;1;3;3;;;;;900000;;1;;;;;1;;;;;5
20220834;08;2022;7156474;1;1;01;;1;6535.9044452;25;1;1;4;1;4;1;1;1;3;1;1;5;1;1;1;1;1;1;3;1;;;99;800000;;;1;;;;;;;;;;1
20220834;08;2022;7156476;1;1;01;;1;6066.1790301;25;2;1;4;1;5;1;1;1;3;1;1;4;1;1;1;1;1;1;3;1;;;180000000;1000000;;;1;;;;;;;;;;2
20220834;08;2022;7156477;1;1;01;;1;3869.4429513;25;2;1;4;1;5;1;1;1;3;1;1;4;1;1;1;1;1;1;3;3;;;;;1000000;;1;;;;;;;;;;1
20220834;08;2022;7156478;1;1;01;;1;3869.4429513;25;2;1;4;1;5;1;1;1;3;1;1;4;1;1;1;1;1;1;3;3;;;;;960000;;1;;;;;;;;;;1
20220834;08;2022;7156479;1;1;01;;1;6066.1790301;25;2;1;4;1;5;1;1;1;3;1;1;4;1;1;1;1;1;1;3;3;;;;;1200000;;1;;;;1;;;;;;2
20220834;08;2022;7156480;1;1;01;;1;5119.3479774;25;2;1;4;1;5;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;800000;;1;;;;;;;;;;3
20220834;08;2022;7156481;1;1;01;;1;3869.4429513;25;2;1;4;1;4;1;1;1;3;1;1;4;1;1;1;1;1;1;3;1;;;99;1200000;;;1;;;;;;;;;;1
20220834;08;2022;7156482;1;1;01;;1;6535.9044452;25;2;1;4;1;5;1;1;1;3;1;1;3;1;1;1;1;1;1;3;3;;;;;900000;;;;;;;;;1;;;1
20220834;08;2022;7156483;1;1;01;;1;6066.1790301;25;2;1;4;1;5;1;1;1;3;1;1;4;1;1;1;1;1;1;3;2;;1600000;200000000;1200000;;;1;;1;;;;;;;;2
20220834;08;2022;7156485;1;1;01;;1;9412.0988689;25;2;1;4;1;3;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;450000;;1;;;;;1;;;;;2
20220834;08;2022;7156486;1;1;01;;1;8290.0665756;25;2;1;4;1;3;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;800000;;;;;;;;;1;;;3
20220834;08;2022;7156487;1;1;01;;1;6825.8180279;25;2;1;3;1;3;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;98;1700000;;;1;;;;;;;;;;3
20220834;08;2022;7156488;1;1;01;;1;6883.2700056;25;1;1;4;1;3;1;1;1;2;1;1;5;3;1;1;1;1;1;3;2;;2450000;98;1800000;;;;;1;;;1;;;;;4
20220834;08;2022;7156489;1;1;01;;1;8116.6086261;25;2;1;4;1;2;1;1;1;2;1;1;2;1;1;1;1;1;1;3;3;;;;;350000;;;;;;;;;1;;;3
20220834;08;2022;7156490;1;1;01;;1;8003.9380067;25;2;1;4;1;3;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;950000;;1;;;;;;;;;;4
20220834;08;2022;7156492;1;1;01;;1;5934.5858869;25;2;1;4;1;3;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;99;600000;;;;;;;;;;1;;;4
20220834;08;2022;7156493;1;1;01;;1;6692.7179976;25;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;4
20220834;08;2022;7156494;1;1;01;;1;6937.27233;25;2;1;4;1;2;1;1;1;2;1;1;2;2;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;3
20220834;08;2022;7156495;1;1;01;;1;9929.962559;25;2;1;4;1;3;1;1;1;2;1;1;4;2;1;1;1;1;1;3;3;;;;;1000000;;1;;;;;1;;;;;2
