PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20220834;08;2022;7156453;1;2;1;70;;1;831.49592777;70;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156453;1;3;1;70;;1;831.49592777;70;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156455;1;1;1;70;;1;653.02489701;70;1;;;;;;;;;1;;12;0;6;DESVENA TABACO;4;1;2;2;;2;;.;7516;12;1200
20220834;08;2022;7156457;1;1;1;70;;1;626.06600399;70;1;;;;;;;;;1;;152;0;4;AGRICULTOR DE YUCA MAIZ ARROZ;4;1;2;2;;2;;.;6114;01;0113
20220834;08;2022;7156457;1;2;1;70;;1;626.06600399;70;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156458;1;1;1;70;;1;691.63431297;70;1;;;;;;;;;1;;2;0;6;ASEO POR DIAS EN DIFERENTES HOGARES;4;1;2;2;;2;;.;9111;81;8121
20220834;08;2022;7156458;1;2;1;70;;1;691.63431297;70;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156460;1;1;1;70;;1;837.77303888;70;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156461;1;2;1;70;;1;743.71028358;70;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156463;1;1;1;70;;1;3869.4429513;25;1;;;;;;;;;1;;240;1;5;PROFESORA DE PRIMARIA;2;10;2;3;;2;;.;2341;85;8513
20220834;08;2022;7156465;1;1;1;70;;1;3140.5531801;25;1;;;;;;;;;1;;244;0;5;TRABAJADORA SOCIAL;2;10;2;3;;2;;.;2635;85;8530
20220834;08;2022;7156466;1;3;1;70;;1;3924.7053589;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156466;1;4;1;70;;1;3924.7053589;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156466;1;5;1;70;;1;3924.7053589;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156468;1;1;1;70;;1;5230.8049279;25;;2;1;90;1;;;48;2000000;1;;20;1;9;GERENTE GIMNASIO;1;8;2;1;1;2;;5222;1431;93;9311
20220834;08;2022;7156468;1;2;1;70;;1;5230.8049279;25;1;;;;;;;;;1;;120;1;5;DOCENTE DE PRIMARIA;2;7;2;3;;2;;.;2341;85;8530
20220834;08;2022;7156469;1;2;1;70;;1;5056.3058438;25;1;;;;;;;;;1;;480;0;7;SECRETARIA EN VETERINARIA;1;3;2;2;;2;;.;4120;75;7500
20220834;08;2022;7156470;1;2;1;70;;1;5289.2237769;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156471;1;1;1;70;;1;6066.1790301;25;1;;;;;;;;;1;;480;0;5;SUBOFICIAL DE LA POLICIA NACIONAL;2;10;2;3;;2;;.;3355;84;8423
20220834;08;2022;7156471;1;2;1;70;;1;6066.1790301;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156472;1;2;1;70;;1;7361.8752998;25;;2;1;24;4;;;48;2000000;1;;6;0;8;TECNICO EN GESTION ADMINISTRATIVA;4;10;2;2;;2;;4110;4110;85;8541
20220834;08;2022;7156473;1;2;1;70;;1;3743.9594687;25;;1;1;4;1;;;48;1000000;1;;8;0;2;VENDEDORA DE MOSTRADOR EN ALMACEN DE REMATES;1;3;2;2;;2;;5223;5223;47;4719
20220834;08;2022;7156473;1;3;1;70;;1;3743.9594687;25;;1;1;4;1;;;35;600000;1;;8;0;2;VENDEDORA DE MOSTRADOR EN ALMACEN DE ROPA;1;3;2;2;;2;;5223;5223;47;4771
20220834;08;2022;7156476;1;1;1;70;;1;6066.1790301;25;1;;;;;;;;;1;;120;3;5;REVISOR FISCAL;2;10;2;3;;2;;.;2411;84;8412
20220834;08;2022;7156476;1;2;1;70;;1;6066.1790301;25;1;;;;;;;;;1;;360;2;3;JEFE DE SECCION;1;10;2;2;;2;;.;5222;47;4759
20220834;08;2022;7156477;1;1;1;70;;1;3869.4429513;25;1;;;;;;;;;1;;300;0;5;SECRETARIA EJECUTIVA;2;10;2;3;;2;;.;3343;84;8413
20220834;08;2022;7156478;1;1;1;70;;1;3869.4429513;25;1;;;;;;;;;1;;240;1;5;GERENTE DE BANCO;1;10;2;3;;2;;.;1346;64;6412
20220834;08;2022;7156479;1;1;1;70;;1;6066.1790301;25;1;;;;;;;;;1;;320;1;4;CONDUCTOR TRANSPORTADOR DE  PASAJEROS;1;9;2;2;;2;;.;8331;49;4921
20220834;08;2022;7156479;1;2;1;70;;1;6066.1790301;25;1;;;;;;;;;1;;220;1;5;AUXILIAR DE ARCHIVO;2;10;2;3;;2;;.;4415;84;8423
20220834;08;2022;7156481;1;1;1;70;;1;3869.4429513;25;1;;;;;;;;;1;;320;1;5;SUPERVISORA DE PLANTA;1;9;2;3;;2;;.;3122;14;1410
20220834;08;2022;7156483;1;1;1;70;;1;6066.1790301;25;1;;;;;;;;;1;;120;0;5;ANALISTA FINANCIERO;1;10;2;3;;2;;.;2412;64;6412
20220834;08;2022;7156485;1;2;1;70;;1;9412.0988689;25;1;;;;;;;;;1;;24;2;3;ASESORA DE SEGURIOS  EN EMPRESA;1;10;2;2;;2;;.;3321;65;6511
20220834;08;2022;7156486;1;2;1;70;;1;8290.0665756;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156487;1;1;1;70;;1;6825.8180279;25;1;;;;;;;;;1;;420;2;3;VENDEDORA DE MOSTRADOR DE ROPA;4;1;2;3;;2;;.;5221;47;4771
20220834;08;2022;7156489;1;1;1;70;;1;8116.6086261;25;1;;;;;1;;24;600000;1;;18;0;4;ASEADORA EN SALON DE BELLEZA;1;2;2;2;;2;;.;9112;96;9602
20220834;08;2022;7156492;1;2;1;70;;1;5934.5858869;25;;1;1;8;4;;;48;1000000;1;;2;0;8;RECOLECTAR HORTALIZAS A DIFERENTES CULTIVOS;4;1;2;2;;2;;9211;9211;01;0113
20220834;08;2022;7156492;1;4;1;70;;1;5934.5858869;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156496;1;1;1;70;;1;6138.916781;25;;2;1;105;4;;;48;1000000;1;;24;2;9;EMPLEADA DOMESTICA;3;1;2;2;;2;;9112;9111;97;9700
20220834;08;2022;7156498;1;1;1;70;;1;7505.4928488;25;1;;;;;;;;;1;;144;1;5;AUXILIAR DE ENFERMERIA;2;10;2;3;;2;;.;5321;86;8610
20220834;08;2022;7156498;1;2;1;70;;1;7505.4928488;25;1;;;;;;;;;1;;24;2;2;MESERO EN RESTAURANTE;1;3;2;2;;2;;.;5131;56;5611
20220834;08;2022;7156498;1;3;1;70;;1;7505.4928488;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156500;1;1;1;70;;1;6911.9049509;25;1;;;;;;;;;1;;240;2;5;ASEADORA EN EMPRESA DE ABOGADOS;1;4;2;3;;2;;.;9112;69;6910
20220834;08;2022;7156500;1;3;1;70;;1;6911.9049509;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156502;1;3;1;70;;1;6303.7236538;25;1;;;;;;;;;1;;2;2;7;ADMINISTRADOR DE RESTAURANTE;5;2;2;2;;2;;.;1412;56;5611
20220834;08;2022;7156504;1;3;1;70;;1;10173.783051;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156505;1;3;1;70;;2;2563.6142218;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156506;1;3;1;70;;2;2903.9177474;25;1;;;;;;;;;1;;12;2;2;CAMBIAR PASTILLAS DE FRENO;6;3;2;2;;2;;.;7231;45;4520
20220834;08;2022;7156506;1;4;1;70;;2;2903.9177474;25;1;;;;;;;;;1;;240;2;4;CONDUCTOR DE BUSETA;1;10;2;3;;2;;.;8331;49;4921
20220834;08;2022;7156506;1;5;1;70;;2;2903.9177474;25;1;;;;;;;;;1;;36;2;9;SECRETARIA GENERAL;1;3;2;2;;2;;.;4120;45;4520
20220834;08;2022;7156507;1;3;1;70;;2;2285.8130824;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156509;1;2;1;70;;2;2122.349358;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156510;1;3;1;70;;2;2563.1713405;25;1;;;;;;;;;1;;48;0;8;MESERO EN RESTAURANTE;1;6;2;2;;2;;.;5131;56;5611
20220834;08;2022;7156513;1;3;1;70;;1;9156.4047461;25;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156515;1;1;1;70;;1;6452.1804555;25;1;;;;;;;;;1;;144;0;6;CUIDADO Y CRIA DE AVES DE CORRAL;1;6;2;3;;2;;.;9212;01;0145
20220834;08;2022;7156515;1;2;1;70;;1;6452.1804555;25;1;;;;;;;;;1;;180;0;1;ALIMENTAR  DE AVES DE CORRAL;1;10;2;2;;2;;.;9212;01;0145
20220834;08;2022;7156517;1;2;1;70;;2;169.51561371;54;1;;;;;2;5;;1000000;1;;144;0;3;SERVICIO DOMESTICO;3;1;2;2;;2;;.;9111;97;9700
20220834;08;2022;7156517;1;4;1;70;;2;169.51561371;54;;2;1;36;1;;;40;1600000;2;;;;;.;;;;2;;2;;2341;;;
20220834;08;2022;7156518;1;1;1;70;;2;246.94822336;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156519;1;2;1;70;;2;210.03919007;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156520;1;2;1;70;;2;205.21309531;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
