DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P7250,P7280,P744,P3074,P7260,P1806,P7430,P7440S1,P7440S2,P7450,P7330,P7350,P7360,P9460,P1519,P1883,P7422,P7422S1,P7440,CLASE,DSI,FFT,AREA,RAMA4D_D_R4,RAMA2D_D_R4,OFICIO1_C8,OFICIO2_C8,MES,PERIODO,DPTO,DSCY,FEX_C18,PER,REGIS
5000000,1,2,1,24,1,,,48,1000000,1,8,0,6,DOMESTICA POR DIAS,4,1,2,2,,2,,,1,1,,,8121,81,5120,9111,1,20220104,08,2,1432.4633227,2022,70
5000000,1,6,1,,,,,,,1,48,0,4,COSTURERA,4,1,2,2,,2,,,1,,1,,1410,14,.,7531,1,20220104,08,,1432.4633227,2022,70
5000004,1,1,1,3,1,,,48,1000000,1,24,0,9,MESERA,1,4,2,2,,2,,,1,1,,,5611,56,5221,5131,1,20220104,08,1,1920.0804079,2022,70
5000005,1,2,1,,,1,,25,1000000,2,,,,.,,,,2,,2,,,1,,1,,,,,,1,20220104,08,,931.05697511,2022,70
5000005,1,3,1,,,,,,,1,36,0,4,MENSAJERO,1,7,2,2,,2,,,1,,1,,5320,53,.,9621,1,20220104,08,,931.05697511,2022,70
5000006,1,2,1,,,,,,,1,24,0,8,AUXILIAR DE COCINA,1,10,2,2,,2,,,1,,1,,8891,88,.,9412,1,20220104,08,,1414.4304632,2022,70
5000008,1,2,1,,,1,,24,200000,1,120,0,4,LAVAR Y PLANCHAR POR DIAS,4,1,2,2,,2,,,1,,1,,9601,96,.,9121,1,20220104,08,,1565.2171245,2022,70
5000010,1,4,1,,,2,5,,500000,1,48,0,4,SECRETARIA,1,10,2,2,,2,,,1,,1,,0610,06,.,4120,1,20220104,08,,1160.5460626,2022,70
5000011,1,1,1,,,1,,25,1000000,1,9,2,9,NIÑERA,3,1,2,2,,2,,,1,,1,,9700,97,.,5311,1,20220104,08,,1175.6128245,2022,70
5000011,1,4,1,,,1,,48,1000000,1,3,0,4,AUXILIAR DE COCINA,1,3,2,2,,2,,,1,,1,,5611,56,.,9412,1,20220104,08,,1175.6128245,2022,70
5000011,1,5,1,48,1,,,48,1000000,1,2,0,8,EMPLEADA DOMESTICA,3,1,2,2,,2,,,1,1,,,9700,97,9112,9111,1,20220104,08,2,1175.6128245,2022,70
5000012,1,3,1,,,,,,,1,10,0,4,VENDEDORA DE CHANCE,1,10,2,2,,2,,,1,,1,,9200,92,.,5223,1,20220104,08,,1722.5372692,2022,70
5000014,1,2,1,,,,,,,1,5,1,7,FORRA PASTA PARA LA ENCUADERNACION,6,2,2,2,,2,,,1,,1,,1812,18,.,7323,1,20220104,08,,1157.3282327,2022,70
5000015,1,3,1,,,1,,24,300000,2,,,,.,,,,2,,2,,,1,,1,,,,,,1,20220104,08,,1243.9828296,2022,70
5000016,1,2,1,24,1,,,48,1000000,1,2,0,6,COCINERA,4,1,2,2,,2,,,1,1,,,5611,56,9112,5120,1,20220104,08,2,681.55251517,2022,70
5000016,1,3,1,,,1,,48,1000000,1,20,0,9,AUXILIAR DE PREESCOLAR,1,6,2,2,,2,,,1,,1,,8513,85,.,5312,1,20220104,08,,681.55251517,2022,70
5000016,1,4,1,10,1,,,48,1000000,1,2,0,8,AYUDANTE DE ALBAÑILERIA,4,1,2,2,,2,,,1,1,,,4111,41,9313,9313,1,20220104,08,1,681.55251517,2022,70
5000016,1,6,1,6,1,,,48,1000000,1,1,2,8,OPERARIO DE PRODUCCION DE PIEZAS METALICA,4,5,2,2,,2,,,1,1,,,2599,25,8122,8122,1,20220104,08,1,681.55251517,2022,70
5000016,1,7,1,,,,,,,2,,,,.,,,,2,,2,,,1,,1,,,,,,1,20220104,08,,681.55251517,2022,70
5000016,1,10,1,4,1,,,48,1000000,1,72,0,8,SECRETARIA,1,10,2,2,,2,,,1,1,,,8621,86,5221,4120,1,20220104,08,1,681.55251517,2022,70
5000017,1,2,1,,,1,,24,1200000,1,240,0,3,VENDEDORA DE MOSTRADOR EN PANADERIA,1,3,2,2,,2,,,1,,1,,1081,10,.,5246,1,20220104,08,,1285.0577719,2022,70
5000017,1,3,1,,,,,,,2,,,,.,,,,2,,2,,,1,,1,,.,,.,.,1,20220104,08,,1285.0577719,2022,70
5000018,1,1,1,,,,,,,1,456,0,3,LAVAR COCINAR HACER ASEO EN OTRO HOGAR,3,1,2,2,,2,,,2,,1,,9700,97,.,9111,1,20220104,13,,1492.7374347,2022,70
5000018,1,3,1,,,1,,48,900000,1,1,2,8,AUXILIAR DE CONSTRUCCION,1,2,2,2,,1,300000,,2,,1,,4111,41,.,9313,1,20220104,13,,1492.7374347,2022,70
5000019,1,1,1,,,2,5,,1000000,1,408,3,1,OPERADORA DE AUDIO,1,9,2,2,,2,,,2,,1,,6010,60,.,2656,1,20220104,13,,1046.1439273,2022,70
5000019,1,3,1,,,,,,,2,,,,.,,,,2,,2,,,2,,1,,,,,,1,20220104,13,,1046.1439273,2022,70
