PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20220622;06;2022;7092505;1;1;1;70;05;1;1583.9703307;05;;1;1;2;1;;;48;1000000;1;;1;0;9;AUXILIAR DE COCINA;1;3;2;2;;2;;9411;9411;56;5611
20220622;06;2022;7092506;1;1;1;70;05;1;1895.5196662;05;1;;;;;;;;;1;;3;0;1;OFICIOS VARIOS EN OFICINA;1;3;2;2;;2;;.;9112;81;8121
20220622;06;2022;7092506;1;2;1;70;05;1;1895.5196662;05;;1;1;1;1;;;48;1000000;1;;1;0;1;AUXILIAR DE CARGA Y DESCARGA DE CAJAS;1;10;2;2;;2;;9333;9333;11;1104
20220622;06;2022;7092506;1;3;1;70;05;1;1895.5196662;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092506;1;4;1;70;05;1;1895.5196662;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092508;1;1;1;70;;1;132.8491144;05;1;;;;;;;;;2;;;;;.;;;;3;;2;;.;.;;.
20220622;06;2022;7092509;1;3;1;70;;1;209.3763326;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092510;1;3;1;70;;1;113.18961757;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092510;1;4;1;70;;1;113.18961757;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092512;1;1;1;70;;1;213.16670978;05;1;;;;;;;;;1;;72;4;5;PROFESORA PARA NIÑOS ESPECIALES;2;10;2;3;;2;;.;2352;85;8513
20220622;06;2022;7092513;1;1;1;70;;1;193.39870002;05;1;;;;;;;;;1;;72;4;1;GERENTE REGIONAL DE TESORERIA Y CREDITOS;1;8;2;3;;2;;.;1420;47;4751
20220622;06;2022;7092513;1;2;1;70;;1;193.39870002;05;1;;;;;;;;;1;;60;4;5;JEFE DE COMPRAS;1;10;2;3;;2;;.;1221;47;4762
20220622;06;2022;7092515;1;1;1;70;;1;151.9705924;05;1;;;;;;;;;1;;24;0;6;ASESOR DE SEGUROS Y POLIZAS DE VIDA;4;2;2;3;;2;;.;3321;65;6512
20220622;06;2022;7092515;1;2;1;70;;1;151.9705924;05;1;;;;;;;;;1;;24;0;6;ASESORA DE SEGUROS Y POLIZAS DE VIDA;6;2;2;2;;2;;.;3321;65;6512
20220622;06;2022;7092515;1;4;1;70;;1;151.9705924;05;1;;;;;;;;;1;;26;0;9;PROFESOR DE EDUCACION FISICA;4;9;2;2;;2;;.;2330;85;8530
20220622;06;2022;7092517;1;2;1;70;;1;248.49552144;05;;1;1;12;1;;;48;2500000;1;;4;0;8;ASESORA COMERCIAL;1;10;2;1;1;2;;2412;2412;64;6412
20220622;06;2022;7092517;1;3;1;70;;1;248.49552144;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092519;1;3;1;70;;1;222.27305442;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092521;1;1;1;70;05;1;2282.0877528;05;;1;1;4;1;;;25;1000000;1;;1;1;8;EMPLEADA DOMESTICA;3;2;2;2;;2;;9129;9111;97;9700
20220622;06;2022;7092523;1;1;1;70;05;1;1049.0769232;05;1;;;;;;;;;1;;144;0;4;OPERARIA DE MAQUINA PLANA;4;2;2;2;;2;;.;8153;13;1392
20220622;06;2022;7092523;1;2;1;70;05;1;1049.0769232;05;1;;;;;;;;;1;;36;0;4;VENDEDOR DE LIBRETAS PARA NOTAS;4;1;2;2;;2;;.;5223;47;4761
20220622;06;2022;7092523;1;3;1;70;05;1;1049.0769232;05;1;;;;;;;;;1;;72;0;4;VENDEDOR DE BOLETAS DE FUTBOL AL DETAL;4;1;2;2;;2;;.;5223;79;7990
20220622;06;2022;7092523;1;4;1;70;05;1;1049.0769232;05;1;;;;;;;;;1;;96;0;6;CONDUCTOR DE TAXI;4;1;2;3;;2;;.;8324;49;4921
20220622;06;2022;7092523;1;5;1;70;05;1;1049.0769232;05;1;;;;;;;;;1;;180;0;8;PULIR CHALECOS PARA MOTOCICLETAS;4;2;2;2;;2;;.;8153;13;1392
20220622;06;2022;7092524;1;2;1;70;;1;248.49552144;05;1;;;;;;;;;1;;180;0;3;ASESORA COMERCIAL;1;5;2;2;;2;;.;3312;64;6422
20220622;06;2022;7092524;1;3;1;70;;1;248.49552144;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092526;1;3;1;70;05;1;659.33860146;05;1;;;;;;;;;1;;5;0;8;ERA IMPULSADORA DE PRODUCTOS DE PAPELERIA E IMPLEMENTOS DE OFICINA;1;9;2;2;;2;;.;5242;47;4761
20220622;06;2022;7092528;1;2;1;70;05;1;1040.9477605;05;;1;1;2;1;;;48;1000000;1;;2;1;8;OPERARIA DE ASEO;1;10;2;2;;2;;9111;9112;81;8121
20220622;06;2022;7092529;1;3;1;70;05;1;3184.7092916;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092530;1;3;1;70;05;1;1105.1503767;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092531;1;2;1;70;;1;275.14147467;05;1;;;;;;;;;1;;240;0;8;AUXILIAR DE RECURSOS HUMANOS;1;8;2;2;;2;;.;3343;85;8559
20220622;06;2022;7092532;1;1;1;70;;1;189.33693607;05;1;;;;;;;;;1;;204;0;5;INSPECTOR DE OBRA DE INFRAESTRUCTURAS FISICAS CIVILES;2;10;2;3;;2;;.;3112;84;8412
20220622;06;2022;7092532;1;2;1;70;;1;189.33693607;05;1;;;;;;;;;1;;264;0;5;JEFE DE ALMACEN Y DE COMPRAS EN HOSPITAL;2;10;2;3;;2;;.;1324;86;8610
20220622;06;2022;7092532;1;3;1;70;;1;189.33693607;05;;2;1;102;1;;;48;2500000;1;;6;0;8;DISEÑADOR EDITORIAL Y GRAFICO;1;7;2;2;;2;;2166;2166;82;8299
20220622;06;2022;7092533;1;1;1;70;;1;189.24920547;05;1;;;;;;;;;1;;204;0;3;ASESORA COMERCIAL;1;10;2;1;2;2;;.;3322;64;6412
20220622;06;2022;7092533;1;2;1;70;;1;189.24920547;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220622;06;2022;7092534;1;1;1;70;05;1;1462.2209862;05;;2;1;104;1;;;48;2000000;1;;24;0;7;DUEÑO DE UN BAR;5;2;2;1;2;2;;2261;1412;56;5630
