PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20220521;05;2022;7061844;1;8;1;70;;2;1110.4390777;44;1;;;;;;;;;1;;192;5;4;EMPLEADA DOMESTICA;3;1;2;2;;2;;.;9111;97;9700
20220521;05;2022;7061846;1;2;1;70;;2;833.01819414;44;1;;;;;;;;;1;;240;5;4;EMPLEADA DOMESTICA;3;1;2;2;;2;;.;9111;97;9700
20220521;05;2022;7061847;1;1;1;70;;1;677.38911035;44;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061847;1;3;1;70;;1;677.38911035;44;;2;1;20;1;;;48;1000000;1;;6;5;8;ATENCION DE CLIENTES;1;10;2;2;;2;;5223;4226;86;8621
20220521;05;2022;7061848;1;2;1;70;;1;860.45495234;44;1;;;;;;;;;1;;480;5;8;VENDEDOR DE MOSTRADOR;1;7;2;2;;2;;.;5223;47;4771
20220521;05;2022;7061849;1;2;1;70;;1;678.55163562;44;;1;1;1;1;;;48;900000;2;;;;;.;;;;2;;2;;9412;;;
20220521;05;2022;7061850;1;2;1;70;;1;858.62436907;44;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061851;1;1;1;70;;1;860.45495234;44;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061851;1;2;1;70;;1;860.45495234;44;1;;;;;;;;;1;;48;5;4;AYUDANTE DE LATONERIA;4;1;2;2;;2;;.;7132;45;4520
20220521;05;2022;7061852;1;1;1;70;;1;475.9347138;44;;1;1;1;1;;;48;600000;1;;36;5;8;AUXILIAR PEDAGOGICA;1;10;2;2;;2;;5312;5312;88;8891
20220521;05;2022;7061853;1;1;1;70;;1;483.84844747;44;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061853;1;2;1;70;;1;483.84844747;44;;1;1;2;4;;;48;1200000;1;;4;5;4;VENTA DE PESCADO;4;1;2;2;;2;;5221;5221;47;4723
20220521;05;2022;7061855;1;2;1;70;;1;616.93152466;44;1;;;;;;;;;1;;15;5;3;VENDIA FRITOS;4;1;2;2;;2;;.;5246;47;4729
20220521;05;2022;7061856;1;2;1;70;;1;594.43225551;44;1;;;;;2;4;;800000;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061857;1;2;1;70;;2;244.20831613;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061858;1;2;1;70;;2;154.74319924;54;1;;;;;;;;;1;;36;0;4;RECOLECTAR CAFE;6;2;2;2;;2;;.;9211;01;0123
20220521;05;2022;7061859;1;3;1;70;;2;294.66927396;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061860;1;2;1;70;;2;496.10213018;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061860;1;4;1;70;;2;496.10213018;54;;1;1;8;4;;;48;900000;1;;6;0;6;RECOGER CAFE EN DIFERENTES FINCAS AGRICOLAS PARTICULARES;4;1;2;2;;2;;9211;9211;01;0161
20220521;05;2022;7061860;1;6;1;70;;2;496.10213018;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061861;1;2;1;70;;2;244.80274104;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061862;1;2;1;70;;2;189.74175064;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061863;1;1;1;70;;2;173.30848683;54;1;;;;;;;;;1;;240;0;5;RECOLECTAR CAFE EN DIFERENTES FINCAS;4;1;2;2;;2;;.;9211;01;0161
20220521;05;2022;7061863;1;2;1;70;;2;173.30848683;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061864;1;1;1;70;;2;442.57873864;54;;1;1;4;4;;;48;500000;1;;1;0;8;CARPAR DIFERENTES TRACTOMULAS EN PATIO PARTICULAR;4;1;2;2;;2;;9211;9333;45;4520
20220521;05;2022;7061864;1;2;1;70;;2;442.57873864;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061864;1;3;1;70;;2;442.57873864;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061864;1;6;1;70;;2;442.57873864;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061865;1;2;1;70;;2;408.16206073;54;1;;;;;2;4;;500000;1;;204;0;3;COCINERA EN DIFERENTES RESTAURANTES;4;1;2;2;;2;;.;5120;56;5611
20220521;05;2022;7061867;1;1;1;70;;2;194.70390006;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061868;1;2;1;70;;2;353.72236228;54;1;;;;;;;;;1;;60;0;3;VENDEDORA DE  ROPA EN ALMACEN;1;2;2;2;;2;;.;5223;47;4771
20220521;05;2022;7061868;1;3;1;70;;2;353.72236228;54;1;;;;;;;;;1;;24;0;2;FUMIGAR CULTIVO DE ARROZ;4;2;2;2;;2;;.;9211;01;0161
20220521;05;2022;7061869;1;1;1;70;;2;244.80274104;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061871;1;3;1;70;;2;283.75546378;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061872;1;2;1;70;;2;484.54720325;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061874;1;2;1;70;;2;591.87001731;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061878;1;2;1;70;;2;648.15530318;54;;2;1;96;1;;;48;1000000;2;;;;;.;;;;2;;2;;5311;;;
20220521;05;2022;7061878;1;3;1;70;;2;648.15530318;54;;2;1;48;4;;;48;1000000;2;;;;;.;;;;2;;2;;9211;;;
20220521;05;2022;7061878;2;1;2;70;;2;648.15530318;54;;1;1;8;4;;;48;1000000;1;;2;0;8;CORTAR MALEZA CON GUARAÑADORA EN DIFERENTES FINCAS PARTICULARES;4;1;2;2;;2;;9211;9211;01;0161
20220521;05;2022;7061878;2;2;2;70;;2;648.15530318;54;1;;;;;;;;;1;;48;0;4;EMPLEADA DOMESTICA EN DIFERENTES HOGARES PARTICULARES;4;1;2;2;;2;;.;9111;81;8121
20220521;05;2022;7061879;1;2;1;70;;2;349.47062981;54;;1;1;2;4;;;48;1000000;1;;60;0;8;ASEADORA GENERAL DE LIMPIEZA EN INSTITUCION PUBLICA;4;2;2;2;;2;;9111;9112;81;8121
20220521;05;2022;7061879;1;3;1;70;;2;349.47062981;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061880;1;3;1;70;;2;484.64033976;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061881;1;2;1;70;;2;431.18259164;54;1;;;;;;;;;1;;60;0;3;MESERA EN RESTAURANTE PARTICULAR;4;4;2;2;;2;;.;5131;56;5611
20220521;05;2022;7061882;1;1;1;70;;2;459.91245479;54;1;;;;;2;4;;1000000;1;;14;0;4;INFANTE DE MARINA;2;10;2;3;;2;;.;0310;84;8422
20220521;05;2022;7061883;1;2;1;70;;2;242.39968347;54;1;;;;;;;;;1;;4;0;3;AUXILIAR DE FARMACIA EN DROGUERIA;4;2;2;2;;2;;.;5223;47;4773
20220521;05;2022;7061883;1;5;1;70;;2;242.39968347;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061886;1;1;1;70;;1;1913.0660589;54;;2;1;24;4;;;55;1000000;1;;36;0;1;MADRE COMUNITARIA;1;10;2;2;;2;;9111;5311;88;8891
20220521;05;2022;7061887;1;1;1;70;;1;1973.7584099;54;1;;;;;;;;;1;;60;0;7;PROPIETARIA ADMINISTRADORA DE ALMACEN DE VARIEDADES;4;1;2;2;;2;;.;1420;47;4719
20220521;05;2022;7061888;1;2;1;70;;1;1492.3279557;54;1;;;;;;;;;1;;60;0;3;SECRETARIA AUXILIAR EN IPS;1;10;2;2;;2;;.;4120;86;8621
20220521;05;2022;7061890;1;1;1;70;;1;1973.7584099;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061894;1;1;1;70;;1;1668.9005634;54;1;;;;;;;;;1;;12;0;4;SEMBRAR YUCA EN CULTIVO ESPECIALIZADO;4;1;2;2;;2;;.;9211;01;0113
20220521;05;2022;7061895;1;2;1;70;;1;1668.9005634;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061896;1;3;1;70;;1;3124.4850579;54;;1;1;4;4;;;55;2100000;1;;1;2;4;JEFE DE ENFERMERIA EN CLINICA;1;6;2;2;;2;;2221;2221;86;8610
20220521;05;2022;7061897;1;2;1;70;;1;2604.9747974;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061900;1;2;1;70;;2;1236.6168887;54;1;;;;;;;;;1;;48;0;4;HACER ASEO EN DIFERENTES VIVIENDAS;4;1;2;2;;2;;.;9111;81;8121
20220521;05;2022;7061901;1;1;1;70;;2;968.34510243;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061903;1;2;1;70;;2;971.84634563;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061904;1;3;1;70;;2;1786.8225055;54;1;;;;;;;;;1;;4;0;2;RECOLECTAR AGUACATE EN DIFERENTES FINCAS;4;1;2;2;;2;;.;9211;01;0161
20220521;05;2022;7061905;1;1;1;70;;2;1957.9530974;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061905;1;3;1;70;;2;1957.9530974;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061905;1;4;1;70;;2;1957.9530974;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061906;1;3;1;70;;2;1267.4261382;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061906;1;4;1;70;;2;1267.4261382;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061907;1;2;1;70;;2;1266.1335602;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061908;1;1;1;70;;2;782.10816822;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061908;1;3;1;70;;2;782.10816822;54;1;;;;;;;;;1;;120;0;8;SECRETARIA GENERAL  EN COLEGIO;4;10;2;2;;2;;.;4120;85;8530
20220521;05;2022;7061909;1;1;1;70;;2;782.10816822;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061909;1;2;1;70;;2;782.10816822;54;1;;;;;;;;;1;;72;0;8;SECRETARIA AUXILIAR EN ALCALDIA;4;10;2;2;;2;;.;4120;84;8412
20220521;05;2022;7061912;1;1;1;70;;2;995.12858714;54;1;;;;;;;;;1;;248;0;4;RECOLECTAR YUCA DE FORMA MANUAL EN DIFERENTES FINCAS;4;1;2;2;;2;;.;9211;01;0161
20220521;05;2022;7061913;1;1;1;70;;2;568.80594052;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061915;1;1;1;70;;2;995.12858714;54;;1;1;8;4;;;48;700000;1;;1;0;8;RECOLECTAR YUCA DE FORMA MANUAL EN DIFERENTES FINCAS;4;1;2;2;;1;800000;9211;9211;01;0161
20220521;05;2022;7061916;1;2;1;70;;2;1200.1711452;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061918;1;1;1;70;;2;774.67608194;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061920;1;2;1;70;;2;1210.8664371;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220521;05;2022;7061923;1;2;1;70;;1;210.08319047;66;;2;1;102;1;;;40;1000000;1;;102;1;3;OPERARIA DE MAQUINA PLANA;1;6;2;2;;2;;8153;8153;14;1410
20220521;05;2022;7061926;1;1;1;70;;1;314.89198447;66;1;;;;;;;;;1;;18;5;3;SECRETARIA GENERAL;1;3;2;3;;2;;.;4120;93;9311
20220521;05;2022;7061926;1;3;1;70;;1;314.89198447;66;;2;1;36;1;;;48;1500000;1;;8;5;2;DISEÑAR SENSORES PARA PARA EQUIPOS ELECTRONICOS;1;6;2;2;;2;;3113;3113;27;2712
20220521;05;2022;7061926;1;4;1;70;;1;314.89198447;66;;2;1;54;1;;;48;1500000;1;;6;5;8;DISEÑAR GENERADORES DE ENERGIA ELECTRICOS;1;4;2;2;;2;;3113;3113;27;2711
20220521;05;2022;7061927;1;1;1;70;;1;212.94259579;66;1;;;;;;;;;2;;;;;.;;;;3;;2;;.;.;;.
