Directorio;Secuencia_p;Orden;Area;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Dsi;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
304086;2;3;08;70;250;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;08; ; ; ;08;514,587882527778
304088;2;5;08;70;52;48;1; ;2;2;2;84;1; ;7;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;1589;15;08;254,399103215634
304091;2;5;08;70;52;56;1; ;1;1;2;56;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;98;6031;60;08;594,512224464402
304095;2;2;08;70;52;56;1; ;1;1;2;52;1; ;3;2;5; ;4; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5235;52;08;362,315943040037
304095;2;3;08;70;8;48;1; ;1;1;2;8;1; ;8;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;1200000;1;45;45;5233;52;08;362,315943040037
304097;2;2;08;70;48;48;1; ;2;1;2;48;1; ;2;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;1;33;45;5234;52;08;430,984726062395
304118;2;3;11;70;4;48;3; ;1;1;2;3;3; ;1;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;225000;1;225000;1;55;55;9500;95;11;2127,54414403016
304121;2;8;11;70;70;48;1; ;2;2;2;10;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;1;53;59;5239;52;11;2733,64592808599
304128;2;3;13;70;52;48;1; ;1;1;2;52;1; ;2;2;2; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;84;84;5020;50;13;274,255822332884
304128;2;4;13;70;52;60;4; ;1;1;2;52;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;84;95;4521;45;13;274,255822332884
304130;2;3;13;70;8;48;3; ;1;1;2;8;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;450000;1;54;54;9500;95;13;226,507758502399
304134;2;2;13;70;60;70;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;59; ; ; ;13;211,765442301556
304134;2;4;13;70;70;80;2; ;2;2;2;70;2; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;21;33;8511;85;13;211,765442301556
304142;2;4;13;70;16;40;2; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;06; ; ; ;13;248,438432814006
304168;2;4;17;70;4;48;1; ;1;1;2;20;1; ;7;1; ;.;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;850000;1;45;44;6421;64;17;249,023703495825
304171;2;1;17;70;3;48;2; ;1;1;2;12;2; ;9;2;5; ;6; ;2;4; ; ; ; ;1; ; ; ; ; ; ;2; ;1;12000000;1;03;03;7414;74;17;193,296460022351
304290;2;2;50;70;28;48;1; ;1;1;2;40;1; ;4;1; ;.;4; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;1;44;84;5170;51;50;160,662516734006
304304;2;2;50;70;12;40;1; ;2;2;2;52;5; ;2;1; ;.;2; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;51;5521;55;50;160,662516734006
304308;2;4;50;70;12;48;4; ;1;1;2;12;4; ;3;2;4; ;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;95;95;4521;45;50;105,087216950469
304312;2;1;54;70;4;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;53; ; ; ;54;467,331967456233
304315;2;3;54;70;4;40;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;02; ; ; ;54;196,551571808766
304318;2;6;54;70;8;48;9;ES EMPLEA;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;80; ; ; ;54;334,810757486121
304320;2;3;54;70;78;48;1; ;2;1;2;78;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;45;33;5211;52;54;384,102807078545
304325;3;3;54;70;2;55;1; ;2;2;2;18;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;51000;1;3100000;1;33;45;5211;52;54;302,575160352326
304369;4;2;68;70;44;48;4; ;2;2;2;48;1; ;8;1; ;.;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;80;1939;19;68;285,88642610638
304379;2;3;68;70;48;50;1; ;1;1;2;48;1; ;3;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;57;57;9302;93;68;324,252195889113
304393;2;1;73;70;4;48;1; ;1;1;2;8;1; ;2;2;4; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2400000;1;53;53;5521;55;73;128,249135527666
304394;2;1;73;70;104;48;1; ;1;1;2;12;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;1;53;79;1741;17;73;160,876017082823
304394;2;2;73;70;4;48;1; ;1;1;2;2;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;200000;1;1000000;1;95;95;4521;45;73;160,876017082823
304398;3;1;73;70;12;48;1; ;1;1;2;12;1; ;6;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3600000;1;58;62;9249;92;73;176,533467798157
304398;4;1;73;70;12;48;1; ;1;1;2;12;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2150000;1;45;41;5233;52;73;176,533467798157
304402;2;3;73;70;12;48;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;44; ; ; ;73;205,658022886817
304406;2;3;73;70;25;48;1; ;1;1;2;30;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;2750000;1;12;32;6512;65;73;463,379317209003
304407;2;1;73;70;12;48;1; ;2;1;2;12;1; ;4;1; ;.;1; ;1; ;.; ; ; ;1; ; ; ; ; ; ;2; ;1;4000000;1;39;39;5511;55;73;453,263793973261
304408;2;1;73;70;1;40;1; ;1;1;2;24;1; ;9;2;7; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;350000;1;19;44;6421;64;73;320,580369402993
304409;2;3;73;70;4;48;1; ;1;1;2;4;1; ;4;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;433700;1;5204400;1;37;37;6412;64;73;436,953925863866
304411;2;1;73;70;15;48;1; ;2;2;2;60;1; ;7;1; ;.;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;41;33;7412;74;73;448,754559244897
304419;2;2;73;70;2;20;3; ;1;1;2;2;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;250000;1;54;54;9500;95;73;227,03739181741
304421;2;1;73;70;104;48;4; ;1;1;2;104;4; ;1;1; ;.;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;98;98;6031;60;73;220,468262757323
304431;2;1;73;70;35;50;3; ;1;1;2;2;1; ;1;2;5; ;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;50000;1;50000;1;54;55;9500;95;73;175,336495446371
304431;2;2;73;70;17;40;1; ;1;1;2;17;1; ;4;2;5; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;250000;1;95;81;3611;36;73;175,336495446371
304432;2;1;73;70;36;40;1; ;1;1;2;144;1; ;4;1; ;.;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;53;33;5511;55;73;146,5535085239
304440;3;4;05;70;96;48;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;59; ; ; ;05;765,097829595381
304442;2;2;05;70;4;48;3; ;1;1;2;16;3; ;1;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;1;54;54;9500;95;05;654,235914262407
304443;2;4;05;70;8;48;3; ;1;1;2;16;3; ;1;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;750000;1;54;54;9500;95;05;637,103208903323
304445;2;2;05;70;80;48;4; ;2;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;99; ; ; ;05;713,15743343934
304447;2;2;05;70;4;48;1; ;2;2;2;52;1; ;4;1; ;.;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;13;33;5233;52;05;674,887770911022
304480;2;2;05;70;52;48;1; ;1;1;2;52;1; ;3;2;4; ;3; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;50000;1;50000;1;45;59;9242;92;05;911,068541682462
304488;2;1;05;70;26;48;1; ;2;2;2;26;1; ;3;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;2448000;1;45;45;5232;52;05;714,243322257698
304489;2;2;05;70;24;48;1; ;1;1;2;24;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;7414;74;05;760,495504127207
304503;2;3;05;70;8;48;1; ;1;1;2;29;1; ;4;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;32;32;6021;60;05;982,998049891718
304506;2;2;05;70;104;50;3; ;1;1;2;21;1; ;3;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;60000;1;1200000;1;54;94;3699;36;05;590,299400434893
304506;2;3;05;70;10;48;1; ;1;1;2;52;1; ;3;2;4; ;2; ;2;5; ; ; ; ; ; ; ; ; ;1; ;1;56000;1;950000;1;85;87;5020;50;05;590,299400434893
304510;2;4;05;70;21;48;1; ;2;2;2;21;1; ;6;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;1;44;80;1921;19;05;637,63747112276
304520;2;4;05;70;8;48;1; ;1;1;2;12;1; ;8;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;1;45;45;7491;74;05;355,825087143791
304520;2;6;05;70;20;48;1; ;2;2;2;20;1; ;6;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;2600000;1;45;43;5233;52;05;355,825087143791
304520;2;8;05;70;52;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;05;355,825087143791
304521;2;2;05;70;4;48;1; ;2;2;2;4;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;100000;1;4000000;1;13;97;7495;74;05;799,412948566171
304523;2;2;05;70;52;24;1; ;1;1;2;52;1; ;4;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;84;51;5522;55;05;740,712552491204
304524;2;1;05;70;52;48;3; ;1;1;2;520;1; ;7;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;55;2811;28;05;736,961454711173
