Directorio;Secuencia_p;Orden;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Clase;Dpto;Area;Fex_c_2011
304081;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;484,044256119852
304081;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;484,044256119852
304081;2;3;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;484,044256119852
304081;2;4;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;484,044256119852
304084;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;414,978557757342
304085;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;520,1233860054
304085;2;2;50;2;2; ;2;2;2;1;2; ; ; ; ; ; ; ; ;2;1;08;08;520,1233860054
304086;2;1;50;1;6;PENSIONADO;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;514,587882527778
304086;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;514,587882527778
304086;2;3;50;3;2; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;1;08;08;514,587882527778
304087;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;571,480644140492
304088;2;1;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;254,399103215634
304088;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;254,399103215634
304088;2;3;50;3;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;254,399103215634
304088;2;4;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;254,399103215634
304088;2;5;50;5;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;1;08;08;254,399103215634
304089;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;270,451438651345
304089;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;270,451438651345
304089;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;270,451438651345
