Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Area;Fex_c_2011
304081;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;484,044256119852
304081;2;4;80;2; ; ; ; ; ; ; ; ; ;1;08;08;484,044256119852
304085;2;2;80;1;1;5; ;2; ; ; ; ; ;1;08;08;520,1233860054
304086;2;1;80;1;4;4; ;3; ; ; ; ; ;1;08;08;514,587882527778
304086;2;2;80;2; ; ; ; ; ; ; ; ; ;1;08;08;514,587882527778
304088;2;1;80;2; ; ; ; ; ; ; ; ; ;1;08;08;254,399103215634
304088;2;3;80;1;4;4; ;3; ; ; ; ; ;1;08;08;254,399103215634
304089;2;1;80;1;4;4; ;3; ; ; ; ; ;1;08;08;270,451438651345
304089;2;2;80;2; ; ; ; ; ; ; ; ; ;1;08;08;270,451438651345
304091;2;1;80;1;4;4; ;3; ; ; ; ; ;1;08;08;594,512224464402
304091;2;2;80;2; ; ; ; ; ; ; ; ; ;1;08;08;594,512224464402
304091;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;594,512224464402
304091;2;4;80;2; ; ; ; ; ; ; ; ; ;1;08;08;594,512224464402
304095;2;5;80;2; ; ; ; ; ; ; ; ; ;1;08;08;362,315943040037
304096;2;2;80;2; ; ; ; ; ; ; ; ; ;1;08;08;375,760407941828
304096;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;375,760407941828
304099;2;2;80;1;1;7; ;2; ; ; ; ; ;1;08;08;375,03236788632
304099;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;375,03236788632
304103;2;2;80;2; ; ; ; ; ; ; ; ; ;1;08;08;384,950608023794
304103;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;384,950608023794
304105;2;2;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2424,80152489934
304109;2;2;80;1;1;2; ;2; ; ; ; ; ;1;11;11;1994,64248237057
304109;2;3;80;2; ; ; ; ; ; ; ; ; ;1;11;11;1994,64248237057
304109;2;6;80;1;4;4; ;3; ; ; ; ; ;1;11;11;1994,64248237057
304110;2;2;80;1;3;2; ;2; ; ; ; ; ;1;11;11;2522,05210003979
304111;2;1;80;1;4;4; ;3; ; ; ; ; ;1;11;11;1736,21534251841
304111;2;2;80;2; ; ; ; ; ; ; ; ; ;1;11;11;1736,21534251841
304112;2;2;80;1;4;2; ;2; ; ; ; ; ;1;11;11;2560,11440107108
304112;2;3;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2560,11440107108
304113;2;1;80;1;4;2; ;3; ; ; ; ; ;1;11;11;1621,99972761103
304113;2;2;80;1;4;4; ;3; ; ; ; ; ;1;11;11;1621,99972761103
304114;2;4;80;1;1;1; ;2; ; ; ; ; ;1;11;11;2053,93087636199
304114;2;5;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2053,93087636199
304114;2;6;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2053,93087636199
304115;2;1;80;1;4;4; ;3; ; ; ; ; ;1;11;11;1621,99972761103
304115;2;2;80;2; ; ; ; ; ; ; ; ; ;1;11;11;1621,99972761103
304116;2;2;80;1;3;2; ;2; ; ; ; ; ;1;11;11;2346,2130451577
304117;2;3;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2008,89163047698
304118;2;4;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2127,54414403016
304118;2;5;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2127,54414403016
304119;2;3;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2411,29279866256
304120;2;2;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2094,66327388211
304121;2;2;80;1;1;0; ;2; ; ; ; ; ;1;11;11;2733,64592808599
304121;2;3;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2733,64592808599
304122;2;2;80;1;2;7; ;2; ; ; ; ; ;1;11;11;2554,27554709787
304122;2;3;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2554,27554709787
304122;2;4;80;2; ; ; ; ; ; ; ; ; ;1;11;11;2554,27554709787
304123;2;2;80;1;1;2; ;2; ; ; ; ; ;1;11;11;2460,03456481163
304125;2;2;80;2; ; ; ; ; ; ; ; ; ;1;13;13;258,448601362915
304125;2;3;80;2; ; ; ; ; ; ; ; ; ;1;13;13;258,448601362915
304126;2;1;80;1;4;3; ;2; ; ; ; ; ;1;13;13;280,340723973245
304127;2;2;80;2; ; ; ; ; ; ; ; ; ;1;13;13;174,137370221468
304127;2;3;80;2; ; ; ; ; ; ; ; ; ;1;13;13;174,137370221468
304127;2;4;80;2; ; ; ; ; ; ; ; ; ;1;13;13;174,137370221468
304129;2;4;80;2; ; ; ; ; ; ; ; ; ;1;13;13;224,301580023525
304130;2;4;80;2; ; ; ; ; ; ; ; ; ;1;13;13;226,507758502399
304131;2;2;80;2; ; ; ; ; ; ; ; ; ;1;13;13;277,318392427647
304132;2;2;80;1;2;7; ;2; ; ; ; ; ;1;13;13;276,738343957722
304134;2;3;80;1;1;3; ;2; ; ; ; ; ;1;13;13;211,765442301556
304135;2;1;80;2; ; ; ; ; ; ; ; ; ;1;13;13;138,778581996166
304135;2;2;80;1;4;3; ;2; ; ; ; ; ;1;13;13;138,778581996166
304136;2;1;80;1;4;3; ;2; ; ; ; ; ;1;13;13;183,943978824114
304136;2;3;80;2; ; ; ; ; ; ; ; ; ;1;13;13;183,943978824114
304137;2;2;80;1;3;8;RETIRO VOLUNTARIO;2; ; ; ; ; ;1;13;13;241,626563226905
304138;2;3;80;2; ; ; ; ; ; ; ; ; ;1;13;13;262,161036001863
304139;2;2;80;2; ; ; ; ; ; ; ; ; ;1;13;13;353,773775006457
304140;2;3;80;2; ; ; ; ; ; ; ; ; ;1;13;13;298,909674490918
304140;2;4;80;2; ; ; ; ; ; ; ; ; ;1;13;13;298,909674490918
304142;2;3;80;2; ; ; ; ; ; ; ; ; ;1;13;13;248,438432814006
304144;2;2;80;1;1;2; ;2; ; ; ; ; ;1;13;13;316,206833742309
304148;2;1;80;1;4;4; ;3; ; ; ; ; ;1;15;15;57,5749354137821
