Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
386884;2;1;70;2;24;8; ;1;1;2;8;8; ;6;2;7; ;4; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1;1200000;2;62;62;0115;01;23;1818,47613200383
386888;1;3;70;6;40;8; ;1;1;2;6;8; ;3;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1280000;2;62;62;0115;01;23;2659,29390915999
386888;1;4;70;3;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;23;2659,29390915999
386889;1;3;70;4;48;1; ;2;1;2;12;3; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1080000;2;55;54;9500;95;23;2030,59525002003
386892;1;1;70;4;40;8; ;1;1;2;5;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;1;60000;1;1450000;2;62;62;0115;01;23;1564,14634571845
386892;1;3;70;12;40;3; ;2;2;2;58;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;23;1564,14634571845
386895;1;5;70;4;40;1; ;1;1;2;60;3; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;54;9500;95;23;1416,85497963554
386895;1;7;70;2;56;3; ;1;1;2;96;3; ;1;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;23;1416,85497963554
386896;1;1;70;3;24;8; ;1;1;2;3;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;120000;1;720000;2;62;62;0140;01;23;1488,65340192349
386899;1;1;70;2;48;8; ;1;1;2;2;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;120000;1;850000;2;62;62;0115;01;23;2452,33338114118
386902;1;1;70;8;40;1; ;1;1;2;16;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;2;62;62;0115;01;23;2379,97654655209
386902;1;3;70;12;40;1; ;1;1;2;20;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;45;62;0115;01;23;2379,97654655209
386910;1;4;70;2;48;8; ;1;1;2;2;8; ;1;2;4; ;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;62;62;0111;01;41;1437,50733474149
386914;1;3;70;2;40;4; ;1;1;2;4;1; ;2;2;7; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;500000;2;53;53;5521;55;41;716,532771421726
386916;1;1;70;1;48;4; ;1;1;2;1;4; ;4;2;7; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;3600000;2;41;62;0111;01;41;969,724063948192
386929;1;3;70;56;35;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;50;1168,01466054017
386935;1;3;70;12;48;1; ;1;1;2;12;4; ;2;2;5; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4000000;2;98;98;6032;60;50;1672,60283540213
386936;1;3;70;2;48;1; ;1;1;2;8;3; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;480000;2;45;54;9500;95;50;1091,30519381819
386945;1;2;70;4;40;1; ;1;1;2;40;1; ;3;2;3; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;450000;2;95;95;4521;45;50;1460,71218885096
392146;1;4;70;52;55;1; ;1;1;2;44;1; ;2;2;5; ;4; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;433000;2;45;45;5211;52;08;1884,14828036835
392147;1;1;70;52;56;3; ;1;1;2;676;3; ;1;2;5; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;08;1296,49480313349
392153;1;1;70;4;52;1; ;1;1;2;4;4; ;3;2;2; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;62;62;0115;01;08;1788,84744528059
392156;1;3;70;24;50;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;37; ; ; ;08;1604,81919847474
392159;1;3;70;3;48;1; ;1;1;2;3;1; ;7;2;4; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;1800000;2;62;62;0140;01;08;1665,10022957916
392162;1;1;70;34;48;3; ;1;1;2;34;3; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;08;2124,59042284049
392163;1;4;70;17;48;8; ;1;1;2;17;8; ;4;2;4; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;2;62;62;0121;01;08;1604,81919847474
392174;1;3;70;24;48;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;08;1394,41334284888
392174;1;4;70;8;48;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;59; ; ; ;08;1394,41334284888
392175;1;3;70;4;48;3; ;1;1;2;8;3; ;1;2;7; ;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;2;56;56;9500;95;08;1055,73731459976
392176;1;2;70;2;48;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;08;1088,46007808601
392184;1;5;70;3;48;1; ;1;1;2;8;1; ;5;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4337000;2;39;39;5233;52;08;794,790016479739
392191;1;5;70;2;48;3; ;1;1;2;4;3; ;1;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;54;54;9500;95;08;1766,2098129632
392198;1;3;70;2;48;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;61; ; ; ;08;1823,86724926392
