Directorio;Secuencia_p;Orden;Area;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s4;P7510s6;P7510s2a1;P7510s4a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;Dpto;Fex_c_2011
345127;2;1;05;95;1; ;2;1; ;433700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1056,23978313122
345128;2;1;05;95;1; ;2;1; ;800000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;835,440372650066
345129;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;874,783043653897
345129;2;2;05;95;1; ;2;1; ;5700000; ;2;1;2;2;2; ; ; ;800000; ; ;1;2;2;05;874,783043653897
345130;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1056,23978313122
345132;2;1;05;95;1; ;2;1; ;1300000; ;2;1;2;2;2;8000000; ; ; ; ; ;2;2;1;05;779,597281010408
345132;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;779,597281010408
345132;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;779,597281010408
345132;2;4;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;440000;2;1;2;05;779,597281010408
345133;2;1;05;95;1; ;2;1; ;408000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;874,783043653897
345133;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;92000; ; ; ;2;2;2;05;874,783043653897
345134;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;2600000;2;1;2;05;862,425372934865
345134;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;862,425372934865
345135;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1067,749551457
345135;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1067,749551457
345135;3;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;4800000;2;1;2;05;1067,749551457
345136;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;16000; ; ; ;2;2;2;05;1014,46952380824
345136;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;05;1014,46952380824
345136;2;3;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;53000; ; ; ;2;2;2;05;1014,46952380824
345136;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1014,46952380824
345136;2;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1014,46952380824
345137;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1089,71010099716
345137;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1089,71010099716
345137;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1089,71010099716
345138;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1119,32081347008
345138;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1119,32081347008
345139;2;1;05;95;1; ;2;1; ;433700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;857,876762464818
345139;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;857,876762464818
345140;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;691,863557430718
345140;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;691,863557430718
345141;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;8400000;2;1;2;05;998,376184664086
345142;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1056,23978313122
345143;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;835,440372650066
345144;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;809,485709888959
345145;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;7200000;2;1;2;05;668,929495169099
345145;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;668,929495169099
345145;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;668,929495169099
345145;2;4;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;500000;2;1;2;05;668,929495169099
345145;2;6;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;668,929495169099
345145;2;7;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;668,929495169099
345145;2;8;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;668,929495169099
345146;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1051,79168798459
345146;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1051,79168798459
345146;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1051,79168798459
345147;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;52000; ; ; ;2;2;2;05;1059,08641920438
345147;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1059,08641920438
345148;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;2000000;2;1;2;05;869,72010415466
345149;2;1;05;95;1; ;2;1; ;433700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;848,828380892789
345149;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;848,828380892789
345150;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;733,769292425438
345150;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;960000;2;1;2;05;733,769292425438
345154;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;862,901213209461
345154;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;862,901213209461
