Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Fex_c_2011
246814;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;2144,82811454344
246815;2;2;80;1;4;2; ;2; ; ; ; ; ;2;50;1456,58458899942
246815;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;1456,58458899942
246815;2;4;80;2; ; ; ; ; ; ; ; ; ;2;50;1456,58458899942
246817;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;1838,30142286173
246818;2;2;80;1;4;2; ;2; ; ; ; ; ;2;50;879,617577405569
246819;2;2;80;1;3;2; ;2; ; ; ; ; ;2;50;2591,31156005211
246819;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;2591,31156005211
249393;2;2;80;2; ; ; ; ; ; ; ; ; ;2;23;2081,51979870042
249395;2;2;80;2; ; ; ; ; ; ; ; ; ;2;23;1743,59722895895
249406;2;1;80;1;3;3; ;2; ; ; ; ; ;2;23;1962,79263446155
249406;2;4;80;1;3;2; ;2; ; ; ; ; ;2;23;1962,79263446155
249406;3;2;80;1;4;2; ;2; ; ; ; ; ;2;23;1962,79263446155
249413;2;2;80;1;3;3; ;2; ; ; ; ; ;2;23;2437,93506355031
249413;2;5;80;2; ; ; ; ; ; ; ; ; ;2;23;2437,93506355031
249415;2;2;80;2; ; ; ; ; ; ; ; ; ;2;23;2405,86521122372
249418;2;2;80;2; ; ; ; ; ; ; ; ; ;2;23;2302,84512290171
249418;2;3;80;2; ; ; ; ; ; ; ; ; ;2;23;2302,84512290171
249420;2;2;80;2; ; ; ; ; ; ; ; ; ;2;23;2405,86521122372
249423;2;1;80;1;3;3; ;2; ; ; ; ; ;2;27;823,577043850008
249424;2;1;80;1;3;3; ;2; ; ; ; ; ;2;27;1262,16178998721
249424;2;2;80;1;1;3; ;2; ; ; ; ; ;2;27;1262,16178998721
249425;2;1;80;1;1;3; ;2; ; ; ; ; ;2;27;2000,40829894151
249428;2;1;80;2; ; ; ; ; ; ; ; ; ;2;27;2000,40829894151
249434;2;1;80;1;4;3; ;2; ; ; ; ; ;2;27;1574,70137329812
249434;2;4;80;1;2;2; ;2; ; ; ; ; ;2;27;1574,70137329812
249438;2;1;80;1;4;3; ;2; ; ; ; ; ;2;27;938,483101711219
249549;2;2;80;2; ; ; ; ; ; ; ; ; ;2;44;1202,62497816178
249549;2;4;80;2; ; ; ; ; ; ; ; ; ;2;44;1202,62497816178
249551;2;1;80;2; ; ; ; ; ; ; ; ; ;2;44;444,750058985455
249551;2;2;80;2; ; ; ; ; ; ; ; ; ;2;44;444,750058985455
249551;2;3;80;1;1;2; ;2; ; ; ; ; ;2;44;444,750058985455
249551;2;7;80;2; ; ; ; ; ; ; ; ; ;2;44;444,750058985455
