Directorio;Secuencia_p;Orden;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s4;P7510s6;P7510s2a1;P7510s4a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;Clase;Dpto;Fex_c_2011
327283;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1386,9799005308
327283;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1386,9799005308
327283;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1386,9799005308
327284;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2831,61652426517
327284;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2831,61652426517
327284;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2831,61652426517
327284;2;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2831,61652426517
327284;2;5;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2831,61652426517
327284;2;6;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2831,61652426517
327284;2;9;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2831,61652426517
327285;2;1;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1000000;2;1;2;2;19;1413,82478631391
327285;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1413,82478631391
327286;2;1;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;100000;2;1;2;2;19;2469,94543198112
327286;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2469,94543198112
327286;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2469,94543198112
327286;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2469,94543198112
327286;3;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2469,94543198112
327287;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1799,79618744299
327287;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1799,79618744299
327287;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1799,79618744299
327287;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1799,79618744299
327287;3;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1799,79618744299
327288;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2137,4772342746
327288;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2137,4772342746
327288;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2137,4772342746
327288;2;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2137,4772342746
327289;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2342,24726130144
327289;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2342,24726130144
327289;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2342,24726130144
327289;2;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2342,24726130144
327289;2;5;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2342,24726130144
327290;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1674,95285709398
327292;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1510,84916643825
327292;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1510,84916643825
327292;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1510,84916643825
327292;2;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1510,84916643825
327293;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2023,54467380546
327293;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2023,54467380546
327293;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2023,54467380546
327293;2;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2023,54467380546
327294;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1899,675407898
327294;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1899,675407898
