DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;fex_c_2011
536656;1;9;70;16;48;8; ;1;1;2;16;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;2;62;56;9301;93;1;25;2199,49761515688
536658;1;3;70;1;48;1; ;1;1;2;1;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;120000;1;120000;2;97;54;9500;95;1;25;2506,58497417441
536664;1;2;70;4;48;8; ;1;1;2;8;8; ;4;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2100000;2;62;62;0116;01;1;25;2025,39148296403
536690;1;2;70;16;72;1; ;2;2;2;16;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1;7200000;2;70;58;4530;45;1;25;2946,625660348
536696;1;3;70;52;48;1; ;2;2;2;52;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;97;97;2899;28;1;25;1049,31357419383
537440;1;4;70;10;40;8; ;1;1;2;12;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;62;62;0116;01;1;23;1290,78304464019
538354;1;4;70;4;48;1; ;1;1;2;4;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;80000;1;1000000;2;45;59;9192;91;1;63;893,165681762253
538367;1;7;70;8;48;1; ;1;1;2;9;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;450000;2;45;45;9303;93;1;63;930,683111231006
538368;2;2;70;3;48;1; ;1;1;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;360000;1;3000000;2;95;95;4552;45;1;63;750,349764594551
538378;1;4;70;4;60;8; ;1;1;2;4;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;250000;1;4320000;2;62;62;0121;01;1;63;756,347163758053
538403;1;3;70;6;54;8; ;1;1;2;96;3; ;1;3; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;62;53;9500;95;1;63;721,805048499812
538404;1;1;70;1;45;8; ;1;1;2;1;8; ;3;1; ; ; ; ; ; ; ;1; ; ; ;1;150000;1;1250000;2;62;62;0111;01;1;63;858,924907044313
538415;1;5;70;1;45;8; ;1;1;2;1;8; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;160000;1;320000;2;62;62;0111;01;1;63;930,978264851887
538423;1;5;70;3;50;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;97; ; ; ;1;63;1265,99577366376
540322;1;2;70;30;40;1; ;1;1;2;192;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;1551;15;1;15;1814,78579849584
540351;2;1;70;12;48;1; ;1;1;2;15;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2602200;2;98;97;6022;60;1;15;1613,10017253408
540365;1;3;70;8;40;3; ;1;1;2;144;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;54;54;9500;95;1;15;2247,40678802554
540371;1;1;70;10;30;1; ;1;1;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;33;21;6599;65;1;15;2229,81099786391
540373;1;2;70;8;40;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;15;1841,60804198291
540432;1;4;70;8;48;3; ;1;1;2;48;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;15;755,622535201917
540433;1;2;70;32;40;1; ;1;1;2;192;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;00;54;9500;95;1;15;861,755594750723
540435;1;2;70;8;48;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;15;798,717801497189
540437;1;3;70;2;30;3; ;1;1;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;54;54;9500;95;1;15;856,073950995494
540437;1;5;70;1;28;3; ;1;1;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;300000;2;54;54;9500;95;1;15;856,073950995494
541305;2;1;70;5;60;4; ;1;1;2;2;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;240000;1;2400000;2;62;62;0111;01;1;63;448,917597888026
541411;1;1;70;8;70;3; ;1;1;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;2;54;54;9500;95;1;63;668,288344173732
541423;1;7;70;24;48;3; ;1;1;2;24;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2400000;2;54;54;9500;95;1;63;959,154465306919
541430;1;4;70;1;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;63;511,703088700705
541435;1;3;70;16;40;1; ;2;2;2;40;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1560000;2;45;45;3611;36;1;63;645,237852737496
542451;1;2;70;52;48;1; ;1;1;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0112;01;1;25;2812,06085994632
542467;1;3;70;8;48;1; ;1;1;2;8;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3600000;2;45;33;5211;52;1;25;2843,64406114732
542475;1;2;70;24;48;1; ;2;2;2;24;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;32;97;2109;21;1;25;3724,9949657542
542479;2;2;70;8;48;1; ;1;2;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;708000;2;45;53;1551;15;1;25;3213,25188959268
542481;1;6;70;1;24;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;25;1288,32816952708
542490;1;3;70;3;48;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;25;2795,07712712019
542506;1;1;70;16;48;1; ;2;2;2;16;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3360000;2;95;95;4521;45;1;25;2701,17501308793
542508;1;3;70;24;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;25;3243,82954550264
542514;1;2;70;6;48;1; ;2;2;2;24;2; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;53;8012;80;1;25;3079,72032698729
542520;1;2;70;8;48;1; ;1;1;2;336;1; ;6;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0116;01;1;25;2385,36943986735
542533;1;3;70;6;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;97; ; ; ;1;25;2486,73891770391
