DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
448060;05;1;4;4;1;1;1;1;1;4;2; ;280000;80000000;400000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;701,589142118332
448061;05;1;1;1;1;2;1;1;1;1;4; ; ; ;100000; ;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;4;1;2;1;2;1;1;1;2;2;1;01;05;1;821,412373343643
448062;05;1;2;2;1;2;1;1;1;1;4; ; ; ;120000; ;1;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;862,637053707853
448064;05;1;1;1;1;1;1;1;1;4;3; ; ; ; ;225000;1;1;2;1;1;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;764,332967808281
448065;05;1;3;1;1;1;1;1;1;1;3; ; ; ; ;300000;1;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;847,176674779566
448066;05;1;2;2;1;1;1;1;1;1;4; ; ; ;13000; ;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;05;1;960,008614601931
448067;05;1;1;1;1;2;1;1;1;1;4; ; ; ;80000; ;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;980,402190977192
448068;05;1;2;1;1;1;1;1;1;1;3; ; ; ; ;200000;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;707,253562272918
448069;05;1;3;2;1;1;1;1;1;1;3; ; ; ; ;355000;1;2;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;653,247638744421
448071;05;1;5;4;5;1;1;1;1;4;4; ; ; ;100000; ;1;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;05;1;771,412456827505
448072;05;1;4;3;1;1;1;1;1;1;3; ; ; ; ;180000;1;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;811,011607367658
448073;05;1;4;2;1;1;1;1;1;1;3; ; ; ; ;180000;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;662,207272989261
448074;05;1;3;2;1;1;1;1;1;1;3; ; ; ; ;350000;1;2;2;1;1;1;1;2;1;2;1;1;1;1;2;2;1;2;2;1;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;862,637053707853
