DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
578510,1,2,70,4,48,1,,2,4,1,,2,4,,,,,,,,,,1,,2,,2,2,1,95,95,4530,45,50,875.916.348.714.049
578521,1,1,70,3,48,1,,2,3,1,,3,1,,,,,,,,,,1,,1,400000,2,2,1,95,99,1110,11,50,887.635.437.059.352
581073,1,2,70,8,40,3,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,2,1,54,55,7493,74,25,451.985.587.914.661
581113,1,1,70,2,48,1,,2,3,1,,3,5,,,,,,,,,,1,,1,500000,2,2,1,95,95,4521,45,25,663.281.107.174.882
581140,1,7,70,24,48,1,,2,74,1,,9,1,,,,,,,,,,1,,2,,2,2,1,58,58,5233,52,25,225.063.737.783.987
581152,1,4,70,104,40,1,,2,2,1,,5,1,,,,,,,,,,1,,1,55000,2,2,1,53,53,5521,55,25,630.826.531.843.396
581179,1,2,70,6,56,4,,2,32,1,,2,1,,,,,,,,,,1,,2,,2,2,1,54,39,8532,85,25,23.482.481.600.437
581196,1,2,70,8,48,4,,2,8,1,,3,1,,,,,,,,,,1,,2,,2,2,1,54,53,5521,55,25,293.393.654.454.491
581198,1,1,70,1,48,3,,2,1,4,,1,9,HOJA SISBEN,,,,,,,,,1,,1,300000,2,2,1,58,45,5223,52,25,621.312.788.221.896
581198,1,2,70,12,36,3,,2,12,1,,3,9,HOJA SISBEN,,,,,,,,,1,,2,,2,2,1,54,62,123,1,25,621.312.788.221.896
581213,1,4,70,6,48,1,,2,288,1,,3,1,,,,,,,,,,1,,2,,2,2,1,53,45,5221,52,25,235.130.845.313.788
581232,1,2,70,3,36,4,,2,80,8,,5,8,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,25,576.830.411.317.272
581340,1,3,70,4,48,1,,2,4,1,,6,1,,,,,,,,,,1,,1,150000,2,2,1,79,79,3693,36,15,939.970.956.617.763
581359,1,3,70,2,40,4,,2,10,4,,2,1,,,,,,,,,,1,,2,,2,2,1,53,53,8042,80,15,167.156.775.497.894
581373,1,2,70,2,40,4,,2,7,4,,1,1,,,,,,,,1,,,,2,,2,2,1,54,54,8532,85,15,134.978.988.692.204
581380,1,3,70,12,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,15,130.434.748.479.934
581389,1,1,70,4,28,8,,2,52,4,,1,1,,,,,,,,,,1,,2,,2,2,1,62,75,1750,17,15,105.318.787.624.628
581391,1,3,70,1,48,1,,2,156,3,,1,1,,,,,,,,,,1,,2,,2,2,1,55,54,9500,95,15,768.673.223.554.426
581440,1,2,70,2,40,1,,2,36,4,,1,7,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,15,167.218.875.218.998
581440,1,3,70,2,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,15,167.218.875.218.998
581440,1,4,70,1,32,1,,2,5,1,,4,1,,,,,,,,,,1,,2,,2,2,1,71,71,1010,10,15,167.218.875.218.998
581452,1,1,70,1,48,8,,2,2,8,,3,1,,,,,,,,,,1,,1,100000,2,2,1,62,62,118,1,15,149.981.051.848.895
581453,1,1,70,5,48,1,,2,5,1,,3,1,,,,,,,,,,1,,1,98,2,2,1,71,71,1010,10,15,121.153.885.076.285
581453,1,2,70,5,30,1,,2,4,1,,2,1,,,,,,,,,,1,,1,98,2,2,1,75,75,1750,17,15,121.153.885.076.285
581453,1,3,70,2,48,3,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,2,1,54,45,5225,52,15,121.153.885.076.285
582455,1,2,70,4,48,8,,2,16,8,,3,8,,,,,,,,,,1,,2,,2,2,1,62,62,113,1,63,123.646.353.500.434
582455,1,4,70,3,24,4,,2,2,4,,4,1,,,,,,,,,,1,,1,10000,2,2,1,99,62,116,1,63,123.646.353.500.434
582458,1,2,70,2,40,8,,2,2,8,,5,1,,,,,,,,,,1,,1,110000,2,2,1,62,62,111,1,63,946.076.354.552.972
582458,1,3,70,2,40,3,,2,2,3,,1,1,,,,,,,,,,1,,1,26000,2,2,1,54,54,9500,95,63,946.076.354.552.972
582578,1,3,70,30,50,1,,2,48,1,,2,1,,,,,,,,,,1,,2,,2,2,1,55,53,5521,55,63,104.885.905.887.257
582621,1,4,70,3,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,63,131.176.800.032.493
582725,1,5,70,12,40,3,,2,48,3,,1,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,63,118.866.222.277.147
582747,1,1,70,8,40,4,,2,8,4,,1,2,,,,,,,,,,1,,2,,2,2,1,79,79,5271,52,63,914.720.157.643.482
582747,1,4,70,8,40,4,,2,8,4,,1,4,,,,,,,,,,1,,2,,2,2,1,79,79,5271,52,63,914.720.157.643.482
