DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,CLASE,INI,DPTO,fex_c_2011
682256,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,284.912.550.619.857
682256,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,284.912.550.619.857
682258,1,4,80,2,,,,2,,2,,1,1,,7,,2,1,25,552.087.705.540.958
682271,1,2,80,1,2,2,,2,,2,,,1,,8,1,2,1,25,570.744.859.048.533
682271,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,570.744.859.048.533
682286,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,619.622.067.078.462
682286,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,619.622.067.078.462
682289,1,1,80,1,4,8,EDAD,2,,2,,,,,9,2,2,1,25,355.033.358.411.153
682289,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,355.033.358.411.153
682289,2,1,80,1,4,2,,1,2,2,,,,,9,2,2,1,25,355.033.358.411.153
682289,3,2,80,1,4,3,,2,,2,,,,,9,2,2,1,25,355.033.358.411.153
684288,1,2,80,1,2,2,,2,,2,,,,,9,2,2,1,50,462.161.159.991.441
684288,1,4,80,1,1,2,,2,,2,,,,,9,2,2,1,50,462.161.159.991.441
684290,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,127.599.891.278.981
684294,1,2,80,1,2,2,,2,,2,,,,,9,2,2,1,50,961.050.192.411.668
684294,1,4,80,2,,,,2,,2,,2,,.,,,2,1,50,961.050.192.411.668
684300,1,2,80,1,1,2,,2,,2,,,,,9,2,2,1,50,127.599.891.278.981
684306,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,138.937.807.801.976
684317,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,50,106.783.435.123.652
684317,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,106.783.435.123.652
684319,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,50,111.619.992.793.178
684319,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,111.619.992.793.178
684324,1,2,80,1,3,6,,2,,2,,,,,1,2,2,1,50,174.117.083.924.384
692941,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,113.808.813.473.342
692941,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,113.808.813.473.342
692944,1,1,80,2,,,,2,,2,,2,,.,,,2,1,18,10.411.755.560.491
692944,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,10.411.755.560.491
692946,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,101.757.530.421.979
692947,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,929.045.249.320.908
692948,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,763.978.565.415.649
692948,1,5,80,2,,,,2,,2,,2,,.,,,2,1,18,763.978.565.415.649
692949,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,100.442.968.889.294
692952,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,110.084.656.863.032
692952,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,110.084.656.863.032
692954,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,81.948.275.425.668
692957,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,63.453.581.962.042
695631,1,1,80,1,4,4,,2,,2,,,,,10,2,2,1,25,259.322.880.829.235
695637,1,1,80,1,4,0,,2,,2,,,,,1,2,2,1,25,966.940.958.294.633
695637,1,3,80,2,,,,2,,2,,1,1,,6,,2,1,25,966.940.958.294.633
695637,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,966.940.958.294.633
695640,1,3,80,2,,,,2,,2,,1,1,,5,,2,1,25,966.940.958.294.633
695640,1,4,80,1,1,7,,2,,2,,,,,2,2,2,1,25,966.940.958.294.633
695660,1,3,80,1,1,1,,2,,2,,,,,2,2,2,1,25,385.401.878.398.355
695660,1,4,80,1,1,0,,2,,2,,,,,8,2,2,1,25,385.401.878.398.355
695660,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,385.401.878.398.355
695660,1,6,80,2,,,,2,,2,,2,,.,,,2,1,25,385.401.878.398.355
695664,1,1,80,1,3,4,,3,,2,,,,,4,2,2,1,25,733.579.493.924.462
695704,1,2,80,1,1,2,,2,,2,,,,,9,2,2,1,25,167.598.441.996.046
695706,1,2,80,1,4,6,,2,,2,,,,,9,2,2,1,25,195.324.295.247.818
695706,1,4,80,1,2,7,,2,,2,,,,,2,2,2,1,25,195.324.295.247.818
695706,1,5,80,2,,,,2,,2,,1,1,,8,,2,1,25,195.324.295.247.818
695706,1,6,80,2,,,,2,,2,,2,,.,,,2,1,25,195.324.295.247.818
695711,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,25,291.043.738.005.941
695711,1,2,80,2,,,,2,,2,,1,4,,4,,2,1,25,291.043.738.005.941
695711,1,3,80,1,4,3,,2,,2,,,,,4,2,2,1,25,291.043.738.005.941
695716,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,966.940.958.294.633
695734,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,342.400.273.748.089
695734,2,2,80,2,,,,2,,2,,2,,.,,,2,1,25,342.400.273.748.089
695734,2,3,80,2,,,,2,,2,,2,,.,,,2,1,25,342.400.273.748.089
695734,3,1,80,1,2,3,,2,,2,,,1,,9,1,2,1,25,342.400.273.748.089
695744,1,2,80,1,3,7,,2,,2,,,,,9,2,2,1,25,284.912.550.619.857
695744,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,284.912.550.619.857
695744,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,284.912.550.619.857
695773,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,25,210.511.223.830.716
695773,1,2,80,2,,,,2,,2,,1,1,,4,,2,1,25,210.511.223.830.716
695783,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,182.841.804.235.549
695783,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,182.841.804.235.549
695789,1,2,80,2,,,,2,,2,,1,1,,1,,2,1,25,159.819.896.899.912
695789,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,159.819.896.899.912
695791,1,2,80,1,4,2,,1,2,2,,,4,,9,1,2,1,25,144.576.534.660.408
695791,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,144.576.534.660.408
697614,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,862.539.373.662.994
697614,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,862.539.373.662.994
697614,1,5,80,2,,,,2,,2,,2,,.,,,2,1,63,862.539.373.662.994
697614,1,6,80,2,,,,2,,2,,2,,.,,,2,1,63,862.539.373.662.994
697616,1,3,80,1,1,7,,2,,2,,,,,2,2,2,1,63,956.613.065.656
697618,1,1,80,1,4,3,,2,,2,,,,,8,2,2,1,63,140.852.589.578.181
697618,1,2,80,2,,,,2,,2,,2,,.,,,2,1,63,140.852.589.578.181
697619,1,2,80,1,3,3,,2,,2,,,,,8,2,2,1,63,153.700.645.750.252
697619,1,3,80,1,1,7,,2,,2,,,,,1,2,2,1,63,153.700.645.750.252
697619,1,6,80,2,,,,2,,2,,2,,.,,,2,1,63,153.700.645.750.252
697621,1,2,80,2,,,,2,,2,,2,,.,,,2,1,63,955.038.490.321.794
697621,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,955.038.490.321.794
697623,1,3,80,1,1,1,,2,,2,,,,,2,2,2,1,63,964.084.808.658.226
697623,1,4,80,1,1,1,,2,,2,,,,,2,2,2,1,63,964.084.808.658.226
697623,1,5,80,2,,,,2,,2,,2,,.,,,2,1,63,964.084.808.658.226
697625,1,1,80,2,,,,2,,2,,2,,.,,,2,1,63,12.017.173.002.446
697625,1,4,80,1,1,7,,2,,2,,,,,1,2,2,1,63,12.017.173.002.446
697625,1,5,80,2,,,,2,,2,,2,,.,,,2,1,63,12.017.173.002.446
697626,1,2,80,1,2,2,,2,,2,,,,,9,2,2,1,63,16.275.079.164.628
697626,1,4,80,1,4,3,,2,,2,,,,,4,2,2,1,63,16.275.079.164.628
697629,1,2,80,1,2,6,,2,,2,,,,,9,2,2,1,63,129.436.190.941.742
697631,1,2,80,1,2,3,,2,,2,,,,,4,2,2,1,63,105.815.850.065.123
697632,1,1,80,2,,,,2,,2,,2,,.,,,2,1,63,127.716.384.067.529
697669,1,2,80,1,2,2,,2,,2,,,,,9,2,2,1,63,106.233.432.498.902
697671,1,5,80,2,,,,2,,2,,2,,.,,,2,1,63,169.455.355.692.073
697671,2,2,80,2,,,,2,,2,,2,,.,,,2,1,63,169.455.355.692.073
697675,1,2,80,2,,,,2,,2,,2,,.,,,2,1,63,130.698.046.078.658
697675,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,130.698.046.078.658
697677,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,938.444.012.884.723
697678,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,63,107.453.106.947.587
697678,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,107.453.106.947.587
697678,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,107.453.106.947.587
697680,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,177.932.793.555.208
697681,1,5,80,1,2,3,,2,,2,,,,,4,2,2,1,63,765.246.179.103.961
697683,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,63,132.978.343.668.668
697686,1,1,80,1,1,3,,2,,2,,,,,4,2,2,1,63,103.998.944.787.995
697686,1,2,80,2,,,,2,,2,,2,,.,,,2,1,63,103.998.944.787.995
697689,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,63,148.072.355.010.261
697689,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,148.072.355.010.261
697689,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,148.072.355.010.261
697689,1,5,80,2,,,,2,,2,,2,,.,,,2,1,63,148.072.355.010.261
697692,1,2,80,1,3,7,,2,,2,,,,,9,2,2,1,63,124.248.746.721.118
697694,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,63,136.423.462.910.293
697697,1,3,80,1,1,7,,2,,2,,,,,2,2,2,1,63,956.613.065.656
697699,1,2,80,2,,,,2,,2,,2,,.,,,2,1,63,144.306.751.737.772
697699,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,144.306.751.737.772
697699,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,144.306.751.737.772
697701,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,63,742.901.301.994.899
697701,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,742.901.301.994.899
697704,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,63,119.424.555.724.237
697704,1,3,80,1,4,2,,3,,2,,,,,8,2,2,1,63,119.424.555.724.237
697705,1,1,80,1,2,6,,2,,2,,,,,1,2,2,1,63,854.922.138.146.744
697707,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,130.183.365.241.965
697707,1,5,80,2,,,,2,,2,,2,,.,,,2,1,63,130.183.365.241.965
