DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P6016,P6020,P6030,P6030S1,P6030S3,P6050,P6060,P6060S1,P6070,P6081S1,P6081,P6082,P6083S1,P6083,P6084,P6085,P6071S1,P6071,P6085S1,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6992,P6992S1,P6160,P6170,P6175,P6180,P6180S1,P6180S2,P6190,P6190S1,P6200,P6200S1,P6210,P6210S1,P6220,P6177,P6177S1,P6040,DPTO,fex_c_2011
676573,1,1,5,10,1,2,1,7,1940,1,2,,5,,3,1,,3,1,2,,,,1,,,2,2,30000,1,,.,1,2,,,,,,,,,5,11,2,,,67,5,671.457.280.561.973
676573,1,2,5,10,2,2,1,12,1972,3,2,,6,,3,2,1,1,,2,,,,1,,,1,3,58000,2,,.,1,2,,,,,,,,,6,3,3,,,35,5,671.457.280.561.973
676573,1,3,5,10,2,1,1,2,2003,4,2,,,,2,3,2,1,,2,,,,1,,,1,5,,2,,.,2,1,1,2,,,2,,2,,2,0,,,,5,5,671.457.280.561.973
676574,1,1,5,10,1,2,1,2,1975,1,2,,6,,3,2,,2,1,2,,,,1,,,2,5,,2,,.,2,2,,,,,,,,,1,0,,,,33,5,824.543.668.681.635
676574,1,2,5,10,1,2,1,1,2004,3,2,,,,2,1,1,1,,2,,,,1,,,1,5,,2,,.,2,1,1,1,800,10000,2,,2,,1,0,,,,4,5,824.543.668.681.635
676576,1,1,5,10,1,2,1,1,1945,1,2,,4,,3,1,,3,1,2,,,,1,,,1,2,54000,2,,.,1,2,,,,,,,,,3,2,,,,63,5,720.567.282.963.594
676576,1,2,5,10,2,2,1,4,1975,3,2,,6,,2,2,1,1,,1,,,2,1,,,3,,,2,,.,1,2,,,,,,,,,5,11,2,,,33,5,720.567.282.963.594
676578,1,1,5,10,1,1,1,3,1948,1,2,,2,,3,1,,3,6,1,2,1,2,1,,,3,,,1,,.,1,2,,,,,,,,,3,5,,,,60,5,719.976.970.360.051
676578,1,2,5,10,2,2,1,11,1954,2,2,,2,,3,6,,2,6,1,1,1,2,1,,,3,,,1,,.,1,2,,,,,,,,,3,5,,,,53,5,719.976.970.360.051
676578,1,3,5,10,3,1,1,6,1994,3,2,,6,1,1,,2,1,,1,,,2,1,,,3,,,1,,.,1,1,1,2,,,1,5000,2,,4,6,,,,13,5,719.976.970.360.051
676579,1,1,5,10,1,1,1,9,1967,1,2,,2,,3,6,,2,6,2,2,1,,1,,,1,1,18000,2,,.,1,2,,,,,,,,,4,7,,,,40,5,881.664.307.373.023
676579,1,2,5,10,2,2,1,7,1971,2,2,,2,,2,1,,2,1,2,1,1,,1,,,1,5,,2,,.,1,2,,,,,,,,,3,5,,,,36,5,881.664.307.373.023
676579,1,3,5,10,2,2,1,4,1992,9,2,,6,,2,2,2,1,,2,,,,1,,,1,5,,2,,.,1,1,1,2,,,2,,2,,4,9,,,,16,5,881.664.307.373.023
676579,1,4,5,10,2,1,1,6,1997,9,2,,6,,2,2,2,1,,2,,,,1,,,1,5,,2,,.,1,1,1,1,50,1000,2,,2,,3,3,,,,10,5,881.664.307.373.023
676580,1,1,5,10,1,1,1,11,1933,1,2,,3,,3,1,,3,2,2,2,1,,1,,,1,5,,1,,.,1,2,,,,,,,,,3,5,,,,74,5,9.111.918.760.982
676580,1,2,5,10,2,2,1,9,1942,2,2,,3,,3,1,,2,2,2,1,1,,1,,,1,5,,1,,.,1,2,,,,,,,,,3,5,,,,65,5,9.111.918.760.982
676580,1,3,5,10,3,1,1,1,1982,3,2,,6,1,1,,2,1,,2,,,,1,,,1,4,,2,,.,1,2,,,,,,,,,5,11,2,,,26,5,9.111.918.760.982
676580,1,4,5,10,4,1,1,4,1977,3,2,,6,1,1,,2,1,,1,,,2,1,,,1,1,20000,2,,.,1,2,,,,,,,,,5,11,2,,,31,5,9.111.918.760.982
676580,1,5,5,10,5,2,1,11,1969,3,2,,5,1,1,,2,1,,1,,,2,1,,,3,,,1,,.,1,2,,,,,,,,,3,5,,,,38,5,9.111.918.760.982
676580,1,6,5,10,2,1,1,3,2001,4,2,,,,3,2,5,1,,1,,,2,1,,,3,,,2,,.,2,1,1,1,200,2000,2,,2,,3,0,,,,7,5,9.111.918.760.982
676581,1,1,5,10,1,2,1,10,1919,1,2,,6,,3,1,,3,1,1,,,2,1,,,3,,,1,,.,2,2,,,,,,,,,3,5,,,,88,5,713.751.364.220.745
676581,1,2,5,10,2,1,1,11,1947,3,2,,4,,3,2,1,1,,1,,,2,1,,,3,,,1,,.,1,2,,,,,,,,,3,5,,,,60,5,713.751.364.220.745
676583,1,1,5,10,1,2,1,8,1947,1,2,,5,,3,1,,2,1,2,,,,1,,,1,5,,2,,.,1,2,,,,,,,,,4,7,,,,60,5,203.215.155.334.485
676583,1,2,5,10,2,1,1,12,1980,3,2,,6,,3,1,1,1,,2,,,,1,,,1,3,58700,1,,.,1,1,2,2,,,1,2300000,2,,6,8,4,,,27,5,203.215.155.334.485
676583,1,3,5,10,3,1,1,1,1981,9,2,,6,,2,1,,2,1,2,,,,1,,,1,1,18000,1,,.,1,2,,,,,,,,,6,2,3,,,27,5,203.215.155.334.485
676584,1,1,5,10,1,2,1,3,1973,1,2,,3,,3,1,,2,3,1,2,1,2,1,,,1,5,,2,,.,1,2,,,,,,,,,4,8,,,,35,5,144.852.716.720.163
676584,1,2,5,10,2,1,1,3,1961,2,2,,3,,2,1,,3,1,1,1,1,2,1,,,1,3,58000,2,,.,1,2,,,,,,,,,4,6,,,,47,5,144.852.716.720.163
676584,1,3,5,10,1,1,1,11,1996,3,2,,6,2,1,,1,1,,1,,,2,1,,,1,5,,2,,.,1,1,1,1,200,5000,2,,2,,3,5,,,,11,5,144.852.716.720.163
676584,1,4,5,10,1,1,1,4,1998,3,2,,6,2,1,,1,1,,1,,,2,1,,,1,5,,2,,.,1,1,1,1,200,5000,1,37000,2,,3,3,,,,10,5,144.852.716.720.163
676584,1,5,5,10,1,1,1,2,2008,3,2,,,2,1,,1,1,,2,,,,1,,,1,5,,2,,.,,,,,,,,,,,,,,,,0,5,144.852.716.720.163
676585,1,1,5,10,1,1,1,12,1968,1,2,,3,,3,1,,2,3,2,,2,,2,1,1,,,,2,5,,1,2,,,,,,,,,5,11,2,,,39,5,17.460.376.358.523
676585,1,2,5,10,2,1,1,1,1999,3,2,,,1,1,,,2,3,2,,,,2,1,1,,,,2,8,EL PAPA  ESTA  DESVINCULADO  LABORALMENTE,1,1,1,1,200,5000,2,,2,,3,3,,,,9,5,17.460.376.358.523
676586,1,1,5,10,1,1,1,4,1974,1,2,,2,,2,3,,3,2,1,2,1,2,1,,,1,1,18000,2,,.,1,2,,,,,,,,,4,9,,,,34,5,145.392.071.055.334
676586,1,2,5,10,2,2,1,11,1976,2,2,,2,,3,1,,2,2,1,1,1,2,1,,,1,1,18000,1,,.,1,2,,,,,,,,,4,7,,,,31,5,145.392.071.055.334
676586,1,3,5,10,1,1,1,12,1993,3,2,,6,1,1,,2,1,,1,,,2,1,,,3,,,2,,.,1,1,1,1,200,1000,2,,2,,4,8,,,,14,5,145.392.071.055.334
676586,1,4,5,10,1,1,1,3,1996,3,2,,6,1,1,,2,1,,1,,,2,1,,,3,,,2,,.,1,1,1,1,300,2000,2,,2,,3,4,,,,12,5,145.392.071.055.334
676586,1,5,5,10,1,1,1,6,2000,3,2,,,1,1,,2,1,,1,,,2,1,,,3,,,2,,.,1,1,1,1,200,2000,2,,2,,3,2,,,,7,5,145.392.071.055.334
676586,1,6,5,10,6,1,1,6,2002,3,2,,,1,1,,2,1,,1,,,2,1,,,3,,,2,,.,2,1,1,1,0,2000,2,,2,,2,0,,,,5,5,145.392.071.055.334
676586,1,7,5,10,1,2,1,9,2003,3,2,,,1,1,,2,1,,1,,,2,1,,,3,,,2,,.,2,1,1,1,0,2000,2,,2,,1,0,,,,4,5,145.392.071.055.334
676587,1,1,5,10,1,1,1,3,1982,1,2,,6,,2,1,,2,3,1,,,2,1,,,3,,,2,,.,1,2,,,,,,,,,4,7,,,,26,5,863.568.269.624.437
676587,1,2,5,10,2,2,1,2,1986,5,2,,6,,2,2,,2,2,2,,,,2,2,,,,,2,3,,1,1,2,2,,,2,,2,,6,1,2,,,22,5,863.568.269.624.437
676587,1,3,5,10,3,1,1,8,1985,5,2,,6,,2,2,,2,1,2,,,,1,,,1,1,18000,2,,.,1,2,,,,,,,,,4,7,,2,,22,5,863.568.269.624.437
676588,1,1,5,10,1,2,1,9,1949,1,2,,6,,3,1,,3,2,1,,,2,1,,,3,,,1,,.,1,2,,,,,,,,,3,4,,,,58,5,61.300.665.165.564
676588,1,2,5,10,2,2,1,5,1975,5,2,,4,,3,6,,2,6,1,,,2,1,,,3,,,1,,.,1,2,,,,,,,,,5,11,2,,,32,5,61.300.665.165.564
676588,1,3,5,10,2,1,1,11,1994,5,2,,6,,2,4,2,1,,1,,,2,1,,,3,,,2,,.,1,1,1,1,200,2000,2,,2,,4,7,,,,13,5,61.300.665.165.564
676589,1,1,5,10,1,1,1,11,1965,1,1,1,3,,2,1,,2,1,2,2,1,,1,,,1,1,18000,2,,.,2,2,,,,,,,,,3,1,,,,42,5,781.924.271.171.488
676589,1,2,5,10,2,2,1,3,1966,2,1,1,3,1,1,,,2,1,2,1,1,,1,,,1,5,,2,,.,1,2,,,,,,,,,3,5,,,,42,5,781.924.271.171.488
676589,1,3,5,10,2,1,1,6,1996,3,2,,6,1,1,,2,1,,1,,,1,1,,,3,,,1,,.,1,1,1,1,200,5000,2,,2,,3,4,,,,11,5,781.924.271.171.488
676589,1,4,5,10,2,1,1,4,1997,3,2,,6,1,1,,2,1,,1,,,1,1,,,3,,,1,,.,1,1,1,1,200,5000,2,,2,,3,4,,,,11,5,781.924.271.171.488
676589,1,5,5,10,2,1,1,12,1999,3,2,,,1,1,,2,1,,1,,,1,1,,,3,,,1,,.,1,1,1,1,200,5000,2,,2,,3,2,,,,8,5,781.924.271.171.488
676589,1,6,5,10,2,1,1,8,2001,3,2,,,1,1,,2,1,,1,,,1,1,,,3,,,1,,.,1,1,1,1,200,5000,2,,2,,3,0,,,,6,5,781.924.271.171.488
676589,1,7,5,10,2,2,1,6,2003,3,2,,,1,1,,2,1,,2,,,,1,,,3,,,1,,.,2,2,,,,,,,,,1,0,,1,,4,5,781.924.271.171.488
676590,1,1,5,10,1,1,1,8,1963,1,2,,4,,3,1,,3,1,1,,,1,1,,,3,,,2,,.,1,2,,,,,,,,,3,4,,,,44,5,994.133.238.661.891
676591,1,1,5,10,1,1,1,6,1987,1,2,,2,,2,2,,2,2,1,2,1,1,1,,,3,,,1,,.,1,2,,,,,,,,,5,11,2,9,,20,5,817.863.741.771.452
676591,1,2,5,10,2,2,1,9,1989,2,2,,2,,2,1,,2,1,1,1,1,1,1,,,3,,,1,,.,1,1,1,2,,,2,,2,,3,5,,,,18,5,817.863.741.771.452
676591,1,3,5,10,2,2,1,11,2005,3,2,,,1,1,,2,1,,1,,,1,1,,,3,,,1,,.,,,,,,,,,,,,,,,,2,5,817.863.741.771.452
676593,1,1,5,10,1,1,1,1,1938,1,2,,4,,3,1,2,1,,2,,,,1,,,3,,,1,,.,1,2,,,,,,,,,3,2,,,,70,5,713.751.364.220.745
676593,1,2,5,10,2,2,1,12,1917,5,2,,5,,3,1,,3,1,1,,,3,1,,,3,,,1,,.,1,2,,,,,,,,,1,0,,,,90,5,713.751.364.220.745
676594,1,1,5,10,1,1,1,3,1931,1,1,1,5,,3,1,,3,1,1,,,1,1,,,3,,,2,,.,1,2,,,,,,,,,3,1,,,,77,5,766.115.006.940.239
676595,1,1,5,10,1,2,1,9,1948,1,2,,5,,2,2,,2,2,2,,,,1,,,1,2,57800,2,,.,1,2,,,,,,,,,5,11,2,,,59,5,774.066.896.046.623
676596,1,1,5,10,1,1,1,8,1951,1,2,,3,,3,6,,3,1,1,2,1,2,1,,,3,,,2,,.,1,2,,,,,,,,,3,3,,,,56,5,76.553.588.774.281
676596,1,2,5,10,2,2,1,5,1954,2,2,,3,,3,1,,3,2,1,1,1,2,1,,,3,,,2,,.,1,2,,,,,,,,,3,2,,,,54,5,76.553.588.774.281
676599,1,1,5,10,1,2,1,4,1953,1,2,,6,,3,2,,3,1,1,,,2,1,,,3,,,2,,.,1,2,,,,,,,,,3,4,,,,55,5,951.830.695.128.945
676599,1,2,5,10,2,1,1,4,1982,3,2,,6,,2,6,1,1,,2,,,,2,1,4,,,,1,2,,1,2,,,,,,,,,5,11,2,,,26,5,951.830.695.128.945
676600,1,1,5,10,1,2,1,3,1963,1,2,,6,,3,2,,3,2,1,,,2,1,,,3,,,2,,.,1,2,,,,,,,,,4,6,,,,45,5,685.647.357.670.258
676600,1,2,5,10,1,1,1,5,1987,3,2,,6,,2,2,1,1,,1,,,2,1,,,3,,,2,,.,1,2,,,,,,,,,3,5,,11,,21,5,685.647.357.670.258
676600,1,3,5,10,1,1,1,8,1994,3,2,,6,,2,2,1,1,,1,,,2,1,,,3,,,2,,.,1,1,1,1,250,2500,2,,2,,3,5,,,,13,5,685.647.357.670.258
676601,1,1,5,10,1,2,1,2,1991,1,2,,6,,2,3,,2,3,2,,,,1,,,1,5,,2,,.,1,2,,,,,,,,,5,11,2,15,VINO  DE  TUMACO  PARA  PRESENTARSE  A LA  UNIVERSIDAD,17,5,830.332.403.518.547
676603,1,1,5,10,1,2,1,10,1945,1,2,,4,,3,2,,2,2,1,,,2,1,,,1,5,,2,,.,1,2,,,,,,,,,3,5,,,,62,5,643.019.675.974.978
676603,1,2,5,10,2,2,1,7,1968,3,2,,6,,2,2,1,1,,1,,,2,1,,,1,1,18500,2,,.,1,2,,,,,,,,,6,5,4,,,39,5,643.019.675.974.978
676603,1,3,5,10,1,2,1,12,1993,5,2,,6,,2,3,,2,2,1,,,2,1,,,3,,,2,,.,1,2,,,,,,,,,3,5,,15,ESTUDIA  A  DISTANCIA,14,5,643.019.675.974.978
676604,1,1,5,10,1,2,1,10,1971,1,2,,6,,2,2,,3,1,1,,,2,1,,,3,,,2,,.,1,2,,,,,,,,,3,5,,,,36,5,69.548.914.831.648
676604,1,2,5,10,1,2,1,12,1992,3,2,,6,,2,3,1,1,,1,,,2,1,,,3,,,2,,.,1,1,1,1,200,3000,2,,2,,4,8,,,,15,5,69.548.914.831.648
676604,1,3,5,10,1,1,1,12,1994,3,2,,6,,2,3,1,1,,1,,,2,1,,,3,,,2,,.,1,1,1,1,200,3500,2,,2,,3,4,,,,13,5,69.548.914.831.648
676604,1,4,5,10,1,2,1,12,1996,3,2,,6,,2,3,1,1,,1,,,2,1,,,3,,,2,,.,1,1,1,1,200,3000,2,,2,,3,4,,,,11,5,69.548.914.831.648
