DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,AREA,FT,DPTO,fex_c_2011
846845,1,1,1,95,1,,2,1,,420000,,2,2,,,,,,,,,,,,,,,5,766.501.534.279.772,5,764.317.789.063.972
846845,1,2,1,95,2,,,,,,,,1,2,,1,,,65000,,,,2,2,2,,2,5,766.501.534.279.772,5,764.317.789.063.972
846846,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,89.444.773.029.182,5,895.285.598.973.072
846848,1,1,1,95,1,,2,1,,420000,,2,2,,,,,,,,,,,,,,,5,601.871.712.084.401,5,60.429.769.264.198
846848,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,601.871.712.084.401,5,60.429.769.264.198
846848,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,601.871.712.084.401,5,60.429.769.264.198
846848,1,5,1,95,2,,,,,,,,1,1,,2,,,,,1200000,,2,2,2,,2,5,601.871.712.084.401,5,60.429.769.264.198
846850,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,964.688.599.349.816,5,966.076.230.376.886
846850,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,964.688.599.349.816,5,966.076.230.376.886
846851,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,685.446.965.900.484,5,686.916.505.772.758
846851,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,685.446.965.900.484,5,686.916.505.772.758
846851,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,685.446.965.900.484,5,686.916.505.772.758
846851,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,685.446.965.900.484,5,686.916.505.772.758
846853,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,900.480.380.424.411,5,899.664.492.977.847
846853,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,900.480.380.424.411,5,899.664.492.977.847
846855,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,850.760.412.077.172,5,849.892.157.464.239
846856,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,628.957.629.001.912,5,629.171.083.947.772
846856,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,628.957.629.001.912,5,629.171.083.947.772
846856,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,628.957.629.001.912,5,629.171.083.947.772
846857,1,1,1,95,2,,,,,,,,1,2,,1,,,180000,,,,2,2,2,,2,5,85.585.853.430.197,5,855.702.861.100.724
846857,1,2,1,95,2,,,,,,,,1,2,,1,,,130000,,,,2,2,2,,2,5,85.585.853.430.197,5,855.702.861.100.724
846857,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,85.585.853.430.197,5,855.702.861.100.724
846860,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,735.631.220.316.754,5,733.401.366.765.677
846860,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,735.631.220.316.754,5,733.401.366.765.677
846860,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,735.631.220.316.754,5,733.401.366.765.677
846862,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,900.480.380.424.411,5,899.664.492.977.847
846862,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,900.480.380.424.411,5,899.664.492.977.847
846863,1,1,1,95,2,,,,,,,,1,1,,2,,,,,800000,,2,2,2,,2,5,86.450.805.443.916,5,864.968.552.119.062
846863,1,2,1,95,2,,,,,,,,1,1,,2,,,,,500000,,2,2,2,,2,5,86.450.805.443.916,5,864.968.552.119.062
846863,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,86.450.805.443.916,5,864.968.552.119.062
