DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,P5070,DPTO,ORDEN,fex_c_2011
846845,1,4,2,1,1,1,1,1,1,,,70000000,350000,,1,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,764.317.789.063.972
846846,1,2,1,1,1,1,1,1,3,,,,,150000,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,895.285.598.973.072
846848,1,4,3,1,1,1,1,4,3,,,,,200000,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,60.429.769.264.198
846850,1,3,2,1,1,1,1,1,3,,,,,200000,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,966.076.230.376.886
846851,1,4,2,1,1,1,1,4,4,,,,250000,,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,686.916.505.772.758
846853,1,1,1,1,1,1,1,4,1,,,2000000,120000,,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,899.664.492.977.847
846855,1,2,1,1,1,1,1,1,3,,,,,120000,1,1,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,849.892.157.464.239
846856,1,3,2,1,1,1,1,4,3,,,,,200000,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,629.171.083.947.772
846857,1,3,2,1,1,1,1,3,3,,,,,350000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,855.702.861.100.724
846860,1,3,2,1,1,1,1,1,3,,,,,250000,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,733.401.366.765.677
846862,1,2,1,1,1,1,1,3,1,,,30000000,250000,,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,899.664.492.977.847
846863,1,3,2,1,1,1,1,4,1,,,15000000,180000,,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,864.968.552.119.062
846863,2,2,1,1,2,1,1,4,3,,,,,70000,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,1,5,,5,1,864.968.552.119.062
846867,1,3,2,1,1,1,1,1,4,,,,100000,,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,1,2,1,1,5,1,5,1,782.982.174.378.034
846869,1,3,2,1,1,1,1,4,2,,100000,2000000,100000,,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,782.982.174.378.034
846870,1,1,1,1,1,1,1,,1,,,10000000,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,1,1,5,6,5,1,895.285.598.973.072
846871,1,5,3,1,1,1,1,4,1,,,22000000,170000,,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,1,2,1,1,5,1,5,1,852.616.571.802.909
846873,1,2,1,1,1,1,2,5,4,,,,100000,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,2,1,2,1,1,1,1,2,1,1,5,1,5,1,166.145.905.292.602
846875,1,1,1,1,2,1,2,4,4,,,,80000,,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,5,2,1,2,1,1,1,1,2,1,1,5,2,5,1,187.568.194.824.102
846877,1,3,3,1,1,1,2,4,1,,,98,25000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,2,1,5,1,5,1,199.671.929.562.408
846878,1,3,2,1,1,1,2,4,1,,,8000000,50000,,1,2,2,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,5,2,1,2,1,1,1,1,2,1,1,5,1,5,1,156.420.968.718.707
846882,1,5,3,1,1,1,1,3,1,,,60000000,400000,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,1,2,1,4,1,1,1,1,1,2,2,1,1,5,1,5,1,101.914.284.175.499
846883,1,4,3,1,1,1,1,4,4,,,,300000,,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,997.129.479.841.315
846885,1,5,3,1,1,1,1,4,1,,,70000000,300000,,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,645.551.629.978.147
846886,1,3,1,1,1,1,1,1,1,,,45000000,230000,,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,895.285.598.973.072
846887,1,7,2,1,1,1,1,3,6,POR TRABAJO,,,1200000,,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,106.477.138.521.108
846888,1,5,1,1,1,1,1,4,1,,,120000000,550000,,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,4,2,1,1,5,1,5,1,759.938.895.059.197
846889,1,2,1,1,1,1,1,4,3,,,,,170000,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,929.424.681.297.202
846892,1,3,2,1,1,1,1,3,3,,,,,250000,1,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,853.772.805.781.848
846894,1,4,2,1,1,1,1,3,1,,,35000000,400000,,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,695.382.822.549.136
846895,1,4,3,1,1,1,1,4,1,,,70000000,400000,,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,759.938.895.059.197
846898,1,3,1,1,1,1,1,4,3,,,,,180000,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,974.633.535.177.691
