DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1745960;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;380,658725731843
1745961;1;2;1;80;2;1;4;6; ;2; ;2; ; ; ; ;1;2;1;63;636,643610902406
1745961;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;636,643610902406
1745962;1;2;1;80;2;1;1;7; ;2; ;2; ; ; ; ;8;2;1;63;547,903810285764
1745963;1;2;1;80;2;1;1;9;DESPLAZAMIENTO;2; ;2; ; ; ; ;9;2;1;63;457,841327614668
1745963;1;4;1;80;2;1;2;9;VIAJE;2; ;2; ; ; ; ;1;2;1;63;457,841327614668
1745964;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;63;411,424960334886
1745965;1;1;1;80;2;1;4;4; ;3; ;2; ; ; ; ;4;2;1;63;614,597182065649
1745965;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;614,597182065649
1745965;1;3;1;80;2;1;4;6; ;2; ;2; ; ; ; ;9;2;1;63;614,597182065649
1745965;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;614,597182065649
1745966;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;63;507,359415731556
1745966;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;507,359415731556
1745967;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;63;686,58242126934
1745967;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;686,58242126934
1745968;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;952,929553675096
1745968;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;952,929553675096
1745969;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;527,130367789742
1745970;1;1;1;80;2;1;4;4; ;3; ;2; ; ; ; ;4;2;1;63;319,207077467314
1745970;1;3;1;80;2;1;2;9;PARA CUIDAR A SUS PADRES;2; ;2; ; ; ; ;6;2;1;63;319,207077467314
1745970;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;319,207077467314
1745971;1;1;1;80;2;1;1;4; ;2; ;1;330000; ; ; ;4;2;1;63;575,993555552062
1745971;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;63;575,993555552062
1745971;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;575,993555552062
1745973;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;63;478,500639516061
1745979;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;11;2;1;63;478,500639516061
1745980;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;1065,45014207115
1745980;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;1065,45014207115
1745980;1;8;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;1065,45014207115
1745981;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;63;622,233902601414
1745982;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;558,907357914324
1745982;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;558,907357914324
1745983;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;63;478,500639516061
1745985;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;561,759867481499
1745985;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;561,759867481499
1745985;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;561,759867481499
1745986;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;450,614110869653
