DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;AREA;fex_c_2011
1994050;1;2;1;80;1;1;2;5; ;3; ;2; ; ; ; ;11;2;1;68;68;574,613193160333
1994050;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;574,613193160333
1994051;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;560,279978724604
1994053;1;1;1;80;1;1;1;6; ;2; ;2; ; ; ; ;8;2;1;68;68;1070,58599977178
1994053;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;1070,58599977178
1994070;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;586,255405034647
1994072;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;1062,06914312672
1994073;1;2;1;80;1;1;2;6; ;2; ;2; ; ;2; ;2;1;1;68;68;965,843749483675
1994073;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;965,843749483675
1994084;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;407,085660123714
1994087;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;437,293595266552
1994088;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;68;68;481,021792407408
1994088;1;4;1;80;1;1;4;4; ;3; ;2; ; ; ; ;8;2;1;68;68;481,021792407408
1994088;1;5;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;68;68;481,021792407408
1994089;1;1;1;80;1;1;4;7; ;3; ;2; ; ; ; ;8;2;1;68;68;476,352035459669
1994089;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;68;68;476,352035459669
1994090;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;328,518649428588
1994106;1;2;1;80;1;1;2;7; ;2; ;2; ; ; ; ;8;2;1;68;68;463,772270900675
1994106;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;463,772270900675
1994106;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;68;463,772270900675
