DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;DPTO;ORDEN;AREA;fex_c_2011
1161216;1;3;2;1;1;1;1;1;3;3; ; ; ; ;170000;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1101,85484571241
1161217;1;5;4;1;1;1;1;1;3;3; ; ; ; ;280000;1;2;1;2;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;897,966009409484
1161218;1;1;1;1;1;1;1;2;4;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;2;1;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;989,013602309064
1161220;1;2;1;1;1;1;1;3;4;3; ; ; ; ;200000;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;1048,08078133978
1161222;1;5;4;1;1;1;1;1;3;4; ; ; ;500000; ;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;3;2;1;01;1;05;1;05;1249,50080995279
1161223;1;3;2;1;1;1;1;1;4;3; ; ; ; ;280000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;1080,36539011418
1161224;1;3;3;1;1;1;1;1;3;3; ; ; ; ;300000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;950,238153125892
1161225;1;3;2;1;1;1;1;1;3;3; ; ; ; ;380000;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;973,991457540888
1161228;1;3;2;1;1;1;1;1;3;4; ; ; ;250000; ;1;2;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1045,05151549847
1161229;1;4;2;1;1;1;1;1;4;3; ; ; ; ;280000;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1016,63808560214
1161230;1;3;2;1;1;1;1;1;1;1; ; ;20000000;150000; ;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;1012,76690672406
1161231;1;3;2;1;1;1;1;1;3;4; ; ; ;300000; ;1;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1101,85484571241
1161232;1;3;2;1;1;1;1;1;1;3; ; ; ; ;250000;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1026,39092551936
1161233;1;7;3;1;1;1;1;1;4;4; ; ; ;300000; ;1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;1073,18987611125
1161234;1;4;3;1;1;1;1;1;1;1; ; ;45000000;350000; ;1;1;1;1;1;1;2;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;1120,74816935867
1161235;1;3;2;1;1;1;1;1;3;4; ; ; ;200000; ;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;882,131866785077
1161236;1;4;2;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1102,86534802806
1161237;1;5;2;1;1;1;1;1;1;3; ; ; ; ;180000;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1090,72740940103
1161238;1;7;5;1;1;1;1;1;3;1; ; ;150000000;250000; ;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1013,12886041604
1161240;1;8;6;1;1;1;1;1;3;1; ; ;120000000;500000; ;1;1;1;1;1;1;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;1229,38595074873
1161241;1;6;2;1;1;1;1;1;3;1; ; ;70000000;350000; ;1;2;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;926,554414186515
1161242;1;3;1;1;1;1;1;1;1;3; ; ; ; ;200000;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;1011,64385003473
1161243;1;5;3;1;1;1;1;3;1;1; ; ;30000000;180000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1091,49282642557
1161244;1;5;3;1;1;1;1;1;3;1; ; ;35000000;200000; ;1;2;1;2;2;1;2;2;2;1;1;2;2;2;1;2;1;1;1;1;1;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;956,728993534656
1161245;1;6;2;1;1;1;1;1;3;1; ; ;30000000;300000; ;1;1;1;1;1;2;2;2;2;1;2;1;1;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1102,86534802806
1161246;1;4;2;1;1;1;1;1;1;3; ; ; ; ;210000;1;1;1;1;1;1;2;2;2;2;1;2;1;2;2;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1056,17895180985
1161247;1;2;1;1;1;1;1;1;1;3; ; ; ; ;160000;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1128,37980189487
1161249;1;5;3;1;1;1;1;1;4;1; ; ;30000000;300000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;874,154946208046
1161251;1;2;1;1;1;1;1;1;1;1; ; ;25000000;180000; ;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;1128,37980189487
1161252;1;7;3;1;1;1;1;1;3;1; ; ;99;300000; ;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;791,246788795354
